DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
1109.3196,8.5,8.7275,2.3071,-0.005895,110.0148,90.7706,0.308102,0.311409,2.9556,20.1718,14.3538,6.9621,-36.268,42.674,1375.2944
1109.472,8.5,8.7092,2.3062,-0.003675,109.7557,91.1177,0.300841,0.304463,2.9382,20.3653,14.4649,7.0313,-36.425,42.674,1376.4828
1109.6244,8.5,8.722,2.3075,-0.002819,109.6779,89.8575,0.301866,0.305464,2.9645,20.4044,14.4924,7.0635,-36.3287,42.674,1377.1831
1109.7768,8.5,8.7419,2.3092,-0.002269,109.641,88.2355,0.304755,0.308255,3.0007,20.4087,14.5011,7.0874,-36.1754,42.674,1377.7734
1109.9292,8.5,8.7617,2.3109,-0.001719,109.604,86.6136,0.307645,0.311046,3.0369,20.413,14.5098,7.1112,-36.0221,42.674,1378.3638
1110.0816,8.5,8.7737,2.3148,-0.002476,109.3737,86.4913,0.313437,0.316761,3.0389,20.4441,14.5555,7.1756,-35.8574,42.674,1379.0914
1110.234,8.5,8.7788,2.3207,-0.004367,108.9757,87.6701,0.321746,0.325015,3.0112,20.4985,14.6332,7.2752,-35.6828,42.674,1379.938
1110.3864,8.5,8.7838,2.3266,-0.006258,108.5776,88.849,0.330055,0.333268,2.9835,20.5529,14.7108,7.3748,-35.5083,42.674,1380.7847
1110.5388,8.5,8.7848,2.3299,-0.007744,108.3488,89.6422,0.336069,0.339244,2.9665,20.5172,14.7149,7.4228,-35.4759,42.674,1379.3114
1110.6912,8.5,8.7735,2.3258,-0.008048,108.6158,89.3063,0.335363,0.338555,2.9807,20.2178,14.5033,7.32,-35.8597,42.674,1371.046
1110.8436,8.5,8.7623,2.3216,-0.008352,108.8828,88.9703,0.334657,0.337865,2.995,19.9185,14.2917,7.2172,-36.2435,42.674,1362.7805
1110.996,8.5,8.7511,2.3174,-0.008657,109.1498,88.6344,0.333951,0.337176,3.0092,19.6191,14.0801,7.1143,-36.6273,42.674,1354.515
1111.1484,8.5,8.7472,2.3186,-0.007495,108.9902,88.9586,0.323847,0.327213,3.0364,19.4898,14.0418,7.1545,-37.3453,42.674,1366.4967
1111.3008,8.5,8.7434,2.3199,-0.006294,108.8192,89.3005,0.31349,0.317,3.064,19.3652,14.0082,7.1984,-38.0723,42.674,1379.0242
1111.4532,8.5,8.7397,2.3213,-0.005094,108.6482,89.6424,0.303133,0.306787,3.0916,19.2405,13.9746,7.2424,-38.7994,42.674,1391.5515
1111.6056,8.5,8.7401,2.3261,-0.005113,108.5989,90.7519,0.306616,0.310178,3.0836,18.9695,13.8751,7.3011,-39.2237,42.674,1393.7434
1111.758,8.5,8.7423,2.3324,-0.005673,108.6035,92.2016,0.316232,0.319597,3.0599,18.6337,13.7465,7.3662,-39.514,42.674,1391.3546
1111.9104,8.5,8.7446,2.3387,-0.006232,108.6081,93.6513,0.325848,0.329017,3.0362,18.2979,13.6179,7.4314,-39.8042,42.674,1388.9659
1112.0628,8.5,8.7349,2.3414,-0.006252,108.6761,94.8653,0.331888,0.334973,3.027,18.1014,13.5305,7.4468,-39.7217,42.674,1388.1553
1112.2152,8.5,8.7082,2.3389,-0.005502,108.8345,95.7431,0.332826,0.335988,3.0384,18.104,13.5018,7.3911,-39.1073,42.674,1389.5961
1112.3676,8.5,8.6815,2.3365,-0.004752,108.9929,96.621,0.333764,0.337003,3.0499,18.1065,13.4731,7.3354,-38.493,42.674,1391.037
1112.52,8.5,8.6613,2.3346,-0.004229,109.0702,97.2625,0.334331,0.337624,3.0613,18.1328,13.4614,7.2939,-37.9551,42.674,1391.5381
1112.6724,8.5,8.6834,2.3366,-0.005209,108.6115,96.3395,0.332442,0.335639,3.0725,18.3168,13.5625,7.3463,-37.9233,42.674,1385.8187
1112.8248,8.5,8.7055,2.3386,-0.006189,108.1528,95.4165,0.330554,0.333653,3.0838,18.5008,13.6635,7.3987,-37.8916,42.674,1380.0992
1112.9772,8.5,8.7277,2.3406,-0.007169,107.6941,94.4936,0.328665,0.331667,3.0951,18.6848,13.7646,7.4511,-37.8598,42.674,1374.3799
1113.1296,8.5,8.7136,2.3398,-0.008581,107.7541,96.0672,0.324835,0.327867,3.0989,19.2097,14.0823,7.5784,-38.0961,42.674,1371.6921
1113.282,8.5,8.6933,2.3386,-0.010069,107.9054,98.08,0.320662,0.323749,3.1015,19.7946,14.4381,7.7188,-38.3795,42.674,1369.5377
1113.4344,8.5,8.6729,2.3373,-0.011557,108.0567,100.0928,0.31649,0.31963,3.104,20.3794,14.7939,7.8592,-38.6629,42.674,1367.3833
1113.5868,8.5,8.6739,2.3341,-0.011197,108.9914,98.6984,0.311156,0.31444,3.0826,20.4767,14.7964,7.7857,-38.2666,42.674,1368.9835
1113.7392,8.5,8.6912,2.3295,-0.009441,110.5183,94.7288,0.304943,0.308441,3.0431,20.2055,14.5319,7.5505,-37.3566,42.674,1373.4213
1113.8916,8.5,8.7084,2.3249,-0.007685,112.0452,90.7592,0.29873,0.302441,3.0037,19.9343,14.2674,7.3154,-36.4465,42.674,1377.8591
1114.044,8.5,8.7158,2.3236,-0.00636,112.1053,88.1894,0.295766,0.299575,2.9796,20.0446,14.3204,7.2368,-35.5871,42.674,1378.0239
1114.1964,8.5,8.699,2.3308,-0.006098,108.552,89.0678,0.300809,0.304428,2.9934,21.0945,15.1558,7.5443,-34.8522,42.674,1367.6616
1114.3488,8.5,8.6821,2.338,-0.005836,104.9986,89.9463,0.305851,0.309281,3.0073,22.1445,15.9911,7.8518,-34.1173,42.674,1357.2994
1114.5012,8.5,8.6654,2.3451,-0.005564,101.4973,90.8077,0.310803,0.314045,3.0209,23.1791,16.8144,8.1541,-33.3892,42.674,1347.051
1114.6536,8.5,8.6621,2.3361,-0.004149,104.5465,89.5158,0.304233,0.307708,3.0008,22.2802,16.131,7.812,-33.5276,42.674,1351.1499
1114.806,8.5,8.6588,2.327,-0.002735,107.5957,88.2239,0.297664,0.301371,2.9807,21.3813,15.4476,7.4698,-33.6659,42.674,1355.2488
1114.9584,8.5,8.6555,2.318,-0.00132,110.645,86.9319,0.291094,0.295033,2.9607,20.4824,14.7642,7.1277,-33.8042,42.674,1359.3477
1115.1108,8.5,8.7116,2.3129,-0.002816,111.2766,87.1105,0.295102,0.298866,2.9595,20.1082,14.5156,7.0883,-34.1739,42.674,1366.0
1115.2632,8.5,8.7899,2.3093,-0.005404,111.0005,87.8411,0.303081,0.306517,2.9653,19.931,14.4303,7.1625,-34.6305,42.674,1373.611
1115.4156,8.5,8.8683,2.3056,-0.007992,110.7245,88.5717,0.31106,0.314168,2.9712,19.7538,14.3449,7.2368,-35.087,42.674,1381.2219
1115.568,8.5,8.8937,2.3085,-0.009495,110.3147,89.8697,0.315,0.31797,2.9756,19.7874,14.4507,7.3297,-35.4222,42.674,1384.974
1115.7204,8.5,8.8535,2.3195,-0.009651,109.739,91.8717,0.313927,0.316996,2.9782,20.0825,14.7938,7.4458,-35.6068,42.674,1383.9368
1115.8728,8.5,8.8133,2.3305,-0.009808,109.1632,93.8737,0.312855,0.316022,2.9809,20.3777,15.1368,7.5619,-35.7914,42.674,1382.8994
1116.0252,8.5,8.7826,2.3384,-0.009889,108.7331,94.961,0.313471,0.316721,2.9866,20.5457,15.354,7.6364,-35.8949,42.674,1382.0907
1116.1776,8.5,8.8005,2.3307,-0.009592,109.0381,91.4311,0.322611,0.325871,3.008,20.0724,14.9358,7.5005,-35.5894,42.674,1382.4351
1116.33,8.5,8.8184,2.3229,-0.009294,109.3431,87.9012,0.331752,0.335022,3.0294,19.599,14.5176,7.3646,-35.2838,42.674,1382.7794
1116.4824,8.5,8.8363,2.3151,-0.008996,109.648,84.3714,0.340892,0.344172,3.0508,19.1257,14.0994,7.2287,-34.9782,42.674,1383.1238
1116.6348,8.5,8.8177,2.3142,-0.008089,109.7846,86.1488,0.333342,0.336634,3.0479,18.8838,13.8927,7.1098,-34.6339,42.674,1379.0455
1116.7872,8.5,8.7943,2.3141,-0.007104,109.8992,88.6191,0.323612,0.326918,3.0419,18.6722,13.7136,6.9931,-34.2845,42.674,1374.3899
1116.9396,8.5,8.7709,2.314,-0.006118,110.0138,91.0894,0.313882,0.317201,3.0359,18.4605,13.5345,6.8764,-33.9351,42.674,1369.7343
