DEPTH,BS,CALI,DENS,DENS_CORR,DRHO,DTC,DTS,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
39.624,12.25,,,,,,,,,,,,,,,,
39.7764,12.25,,,,,,,,,,,,,,,,
39.9288,12.25,,,,,,,,,,,,,,,,
40.0812,12.25,,,,,,,,,,,,,,,,
40.2336,12.25,,,,,,,,,,,,,,,,
40.386,12.25,,,,,,,,,,,,,,,,
40.5384,12.25,,,,,,,,,,,,,,,,
40.6908,12.25,,,,,,,,,,,,,,,,
40.8432,12.25,,,,,,,,,,,,,,,,
40.9956,12.25,,,,,,,,,,,,,,,,
41.148,12.25,,,,,,,,,,,,,,,,
41.3004,12.25,,,,,,,,,,,,,,,,
41.4528,12.25,,,,,,,,,,,,,,,,
41.6052,12.25,,,,,,,,,,,,,,,,
41.7576,12.25,,,,,,,,,,,,,,,,
41.91,12.25,,,,,,,,,,,,,,,,
42.0624,12.25,,,,,,,,,,,,,,,,
42.2148,12.25,,,,,,,,,,,,,,,,
42.3672,12.25,,,,,,,,,,,,,,,,
42.5196,12.25,,,,,,,,,,,,,,,,
42.672,12.25,,,,,,,,,,,,,,,,
42.8244,12.25,,,,,,,,,,,,,,,,
42.9768,12.25,,,,,,,,,,,,,,,,
43.1292,12.25,,,,,,,,,,,,,,,,
43.2816,12.25,,,,,,,,,,,,,,,,
43.434,12.25,,,,,,,,,,,,,,,,
43.5864,12.25,,,,,,,,,,,,,,,,
43.7388,12.25,,,,,,,,,,,,,,,,
43.8912,12.25,,,,,,,,,,,,,,,,
44.0436,12.25,,,,,,,,,,,,,,,,
44.196,12.25,,,,,,,,,,,,,,,,
44.3484,12.25,,,,,,,,,,,,,,,,
44.5008,12.25,,,,,,,,,,,,,,,,
44.6532,12.25,,,,,,,,,,,,,,,,
44.8056,12.25,,,,,,,,,,,,,,,,
44.958,12.25,,,,,,,,,,,,,,,,
45.1104,12.25,,,,,,,,,,,,,,,,
45.2628,12.25,,,,,,,,,,,,,,,,
45.4152,12.25,,,,,,,,,,,,,,,,
45.5676,12.25,,,,,,,,,,,,,,,,
45.72,12.25,,,,,,,,,,,,,,,,
45.8724,12.25,,,,,,,,,,,,,,,,
46.0248,12.25,,,,,,,,,,,,,,,,
46.1772,12.25,,,,,,,,,,,,,,,,
46.3296,12.25,,,,,,,,,,,,,,,,
46.482,12.25,,,,,,,,,,,,,,,,
46.6344,12.25,,,,,,,,,,,,,,,,
46.7868,12.25,,,,,,,,,,,,,,,,
46.9392,12.25,,,,,,,,,,,,,,,,
47.0916,12.25,,,,,,,,,,,,,,,,
47.244,12.25,,,,,,,,,,,,,,,,
47.3964,12.25,,,,,,,,,,,,,,,,
47.5488,12.25,,,,,,,,,,,,,,,,
47.7012,12.25,,,,,,,,,,,,,,,,
47.8536,12.25,,,,,,,,,,,,,,,,
48.006,12.25,,,,,,,,,,,,,,,,
48.1584,12.25,,,,,,,,,,,,,,,,
48.3108,12.25,,,,,,,,,,,,,,,,
48.4632,12.25,,,,,,,,,,,,,,,,
48.6156,12.25,,,,,,,,,,,,,,,,
48.768,12.25,,,,,,,,,,,,,,,,
48.9204,12.25,,,,,,,,,,,,,,,,
49.0728,12.25,,,,,,,,,,,,,,,,
49.2252,12.25,,,,,,,,,,,,,,,,
49.3776,12.25,,,,,,,,,,,,,,,,
49.53,12.25,,,,,,,,,,,,,,,,
49.6824,12.25,,,,,,,,,,,,,,,,
49.8348,12.25,,,,,,,,,,,,,,,,
49.9872,12.25,,,,,,,,,,,,,,,,
50.1396,12.25,,,,,,,,,,,,,,,,
50.292,12.25,,,,,,,,,,,,,,,,
50.4444,12.25,,,,,,,,,,,,,,,,
50.5968,12.25,,,,,,,,,,,,,,,,
50.7492,12.25,,,,,,,,,,,,,,,,
50.9016,12.25,,,,,,,,,,,,,,,,
51.054,12.25,,,,,,,,,,,,,,,,
51.2064,12.25,,,,,,,,,,,,,,,,
51.3588,12.25,,,,,,,,,,,,,,,,
51.5112,12.25,,,,,,,,,,,,,,,,
51.6636,12.25,,,,,,,,,,,,,,,,
51.816,12.25,,,,,,,,,,,,,,,,
51.9684,12.25,,,,,,,,,,,,,,,,
52.1208,12.25,,,,,,,,,,,,,,,,
52.2732,12.25,,,,,,,,,,,,,,,,
52.4256,12.25,,,,,,,,,,,,,,,,
52.578,12.25,,,,,,,,,,,,,,,,
52.7304,12.25,,,,,,,,,,,,,,,,
52.8828,12.25,,,,,,,,,,,,,,,,
53.0352,12.25,,,,,,,,,,,,,,,,
53.1876,12.25,,,,,,,,,,,,,,,,
53.34,12.25,,,,,,,,,,,,,,,,
53.4924,12.25,,,,,,,,,,,,,,,,
53.6448,12.25,,,,,,,,,,,,,,,,
53.7972,12.25,,,,,,,,,,,,,,,,
53.9496,12.25,,,,,,,,,,,,,,,,
54.102,12.25,,,,,,,,,,,,,,,,
54.2544,12.25,,,,,,,,,,,,,,,,
54.4068,12.25,,,,,,,,,,,,,,,,
54.5592,12.25,,,,,,,,,,,,,,,,
54.7116,12.25,,,,,,,,,,,,,,,,
54.864,12.25,,,,,,,,,,,,,,,,
55.0164,12.25,,,,,,,,,,,,,,,,
55.1688,12.25,,,,,,,,,,,,,,,,
55.3212,12.25,,,,,,,,,,,,,,,,
55.4736,12.25,,,,,,,,,,,,,,,,
55.626,12.25,,,,,,,,,,,,,,,,
55.7784,12.25,,,,,,,,,,,,,,,,
55.9308,12.25,,,,,,,,,,,,,,,,
56.0832,12.25,,,,,,,,,,,,,,,,
56.2356,12.25,,,,,,,,,,,,,,,,
56.388,12.25,,,,,,,,,,,,,,,,
56.5404,12.25,,,,,,,,,,,,,,,,
56.6928,12.25,,,,,,,,,,,,,,,,
56.8452,12.25,,,,,,,,,,,,,,,,
56.9976,12.25,,,,,,,,,,,,,,,,
57.15,12.25,,,,,,,,,,,,,,,,
57.3024,12.25,,,,,,,,,,,,,,,,
57.4548,12.25,,,,,,,,,,,,,,,,
57.6072,12.25,,,,,,,,,,,,,,,,
57.7596,12.25,,,,,,,,,,,,,,,,
57.912,12.25,,,,,,,,,,,,,,,,
58.0644,12.25,,,,,,,,,,,,,,,,
58.2168,12.25,,,,,,,,,,,,,,,,
58.3692,12.25,,,,,,,,,,,,,,,,
58.5216,12.25,,,,,,,,,,,,,,,,
58.674,12.25,,,,,,,,,,,,,,,,
58.8264,12.25,,,,,,,,,,,,,,,,
58.9788,12.25,,,,,,,,,,,,,,,,
59.1312,12.25,,,,,,,,,,,,,,,,
59.2836,12.25,,,,,,,,,,,,,,,,
59.436,12.25,,,,,,,,,,,,,,,,
59.5884,12.25,,,,,,,,,,,,,,,,
59.7408,12.25,,,,,,,,,,,,,,,,
59.8932,12.25,,,,,,,,,,,,,,,,
60.0456,12.25,,,,,,,,,,,,,,,,
60.198,12.25,,,,,,,,,,,,,,,,
60.3504,12.25,,,,,,,,,,,,,,,,
60.5028,12.25,,,,,,,,,,,,,,,,
60.6552,12.25,,,,,,,,,,,,,,,,
60.8076,12.25,,,,,,,,,,,,,,,,
60.96,12.25,,,,,,,,,,,,,,,,
61.1124,12.25,,,,,,,,,,,,,,,,
61.2648,12.25,,,,,,,,,,,,,,,,
61.4172,12.25,,,,,,,,,,,,,,,,
61.5696,12.25,,,,,,,,,,,,,,,,
61.722,12.25,,,,,,,,,,,,,,,,
61.8744,12.25,,,,,,,,,,,,,,,,
62.0268,12.25,,,,,,,,,,,,,,,,
62.1792,12.25,,,,,,,,,,,,,,,,
62.3316,12.25,,,,,,,,,,,,,,,,
62.484,12.25,,,,,,,,,,,,,,,,
62.6364,12.25,,,,,,,,,,,,,,,,
62.7888,12.25,,,,,,,,,,,,,,,,
62.9412,12.25,,,,,,,,,,,,,,,,
63.0936,12.25,,,,,,,,,,,,,,,,
63.246,12.25,,,,,,,,,,,,,,,,
63.3984,12.25,,,,,,,,,,,,,,,,
63.5508,12.25,,,,,,,,,,,,,,,,
63.7032,12.25,,,,,,,,,,,,,,,,
63.8556,12.25,,,,,,,,,,,,,,,,
64.008,12.25,,,,,,,,,,,,,,,,
64.1604,12.25,,,,,,,,,,,,,,,,
64.3128,12.25,,,,,,,,,,,,,,,,
64.4652,12.25,,,,,,,,,,,,,,,,
64.6176,12.25,,,,,,,,,,,,,,,,
64.77,12.25,,,,,,,,,,,,,,,,
64.9224,12.25,,,,,,,,,,,,,,,,
65.0748,12.25,,,,,,,,,,,,,,,,
65.2272,12.25,,,,,,,,,,,,,,,,
65.3796,12.25,,,,,,,,,,,,,,,,
65.532,12.25,,,,,,,,,,,,,,,,
65.6844,12.25,,,,,,,,,,,,,,,,
65.8368,12.25,,,,,,,,,,,,,,,,
65.9892,12.25,,,,,,,,,,,,,,,,
66.1416,12.25,,,,,,,,,,,,,,,,
66.294,12.25,,,,,,,,,,,,,,,,
66.4464,12.25,,,,,,,,,,,,,,,,
66.5988,12.25,,,,,,,,,,,,,,,,
66.7512,12.25,,,,,,,,,,,,,,,,
66.9036,12.25,,,,,,,,,,,,,,,,
67.056,12.25,,,,,,,,,,,,,,,,
67.2084,12.25,,,,,,,,,,,,,,,,
67.3608,12.25,,,,,,,,,,,,,,,,
67.5132,12.25,,,,,,,,,,,,,,,,
67.6656,12.25,,,,,,,,,,,,,,,,
67.818,12.25,,,,,,,,,,,,,,,,
67.9704,12.25,,,,,,,,,,,,,,,,
68.1228,12.25,,,,,,,,,,,,,,,,
68.2752,12.25,,,,,,,,,,,,,,,,
68.4276,12.25,,,,,,,,,,,,,,,,
68.58,12.25,,,,,,,,,,,,,,,,
68.7324,12.25,,,,,,,,,,,,,,,,
68.8848,12.25,,,,,,,,,,,,,,,,
69.0372,12.25,,,,,,,,,,,,,,,,
69.1896,12.25,,,,,,,,,,,,,,,,
69.342,12.25,,,,,,,,,,,,,,,,
69.4944,12.25,,,,,,,,,,,,,,,,
69.6468,12.25,,,,,,,,,,,,,,,,
69.7992,12.25,,,,,,,,,,,,,,,,
69.9516,12.25,,,,,,,,,,,,,,,,
70.104,12.25,,,,,,,,,,,,,,,,
70.2564,12.25,,,,,,,,,,,,,,,,
70.4088,12.25,,,,,,,,,,,,,,,,
70.5612,12.25,,,,,,,,,,,,,,,,
70.7136,12.25,,,,,,,,,,,,,,,,
70.866,12.25,,,,,,,,,,,,,,,,
71.0184,12.25,,,,,,,,,,,,,,,,
71.1708,12.25,,,,,,,,,,,,,,,,
71.3232,12.25,,,,,,,,,,,,,,,,
71.4756,12.25,,,,,,,,,,,,,,,,
71.628,12.25,,,,,,,,,,,,,,,,
71.7804,12.25,,,,,,,,,,,,,,,,
71.9328,12.25,,,,,,,,,,,,,,,,
72.0852,12.25,,,,,,,,,,,,,,,,
72.2376,12.25,,,,,,,,,,,,,,,,
72.39,12.25,,,,,,,,,,,,,,,,
72.5424,12.25,,,,,,,,,,,,,,,,
72.6948,12.25,,,,,,,,,,,,,,,,
72.8472,12.25,,,,,,,,,,,,,,,,
72.9996,12.25,,,,,,,,,,,,,,,,
73.152,12.25,,,,,,,,,,,,,,,,
73.3044,12.25,,,,,,,,,,,,,,,,
73.4568,12.25,,,,,,,,,,,,,,,,
73.6092,12.25,,,,,,,,,,,,,,,,
73.7616,12.25,,,,,,,,,,,,,,,,
73.914,12.25,,,,,,,,,,,,,,,,
74.0664,12.25,,,,,,,,,,,,,,,,
74.2188,12.25,,,,,,,,,,,,,,,,
74.3712,12.25,,,,,,,,,,,,,,,,
74.5236,12.25,,,,,,,,,,,,,,,,
74.676,12.25,,,,,,,,,,,,,,,,
74.8284,12.25,,,,,,,,,,,,,,,,
74.9808,12.25,,,,,,,,,,,,,,,,
75.1332,12.25,,,,,,,,,,,,,,,,
75.2856,12.25,,,,,,,,,,,,,,,,
75.438,12.25,,,,,,,,,,,,,,,,
75.5904,12.25,,,,,,,,,,,,,,,,
75.7428,12.25,,,,,,,,,,,,,,,,
75.8952,12.25,,,,,,,,,,,,,,,,
76.0476,12.25,,,,,,,,,,,,,,,,
76.2,12.25,,,,,,,,,,,,,,,,
76.3524,12.25,,,,,,,,,,,,,,,,
76.5048,12.25,,,,,,,,,,,,,,,,
76.6572,12.25,,,,,,,,,,,,,,,,
76.8096,12.25,,,,,,,,,,,,,,,,
76.962,12.25,,,,,,,,,,,,,,,,
77.1144,12.25,,,,,,,,,,,,,,,,
77.2668,12.25,,,,,,,,,,,,,,,,
77.4192,12.25,,,,,,,,,,,,,,,,
77.5716,12.25,,,,,,,,,,,,,,,,
77.724,12.25,,,,,,,,,,,,,,,,
77.8764,12.25,,,,,,,,,,,,,,,,
78.0288,12.25,,,,,,,,,,,,,,,,
78.1812,12.25,,,,,,,,,,,,,,,,
78.3336,12.25,,,,,,,,,,,,,,,,
78.486,12.25,,,,,,,,,,,,,,,,
78.6384,12.25,,,,,,,,,,,,,,,,
78.7908,12.25,,,,,,,,,,,,,,,,
78.9432,12.25,,,,,,,,,,,,,,,,
79.0956,12.25,,,,,,,,,,,,,,,,
79.248,12.25,,,,,,,,,,,,,,,,
79.4004,12.25,,,,,,,,,,,,,,,,
79.5528,12.25,,,,,,,,,,,,,,,,
79.7052,12.25,,,,,,,,,,,,,,,,
79.8576,12.25,,,,,,,,,,,,,,,,
80.01,12.25,,,,,,,,,,,,,,,,
80.1624,12.25,,,,,,,,,,,,,,,,
80.3148,12.25,,,,,,,,,,,,,,,,
80.4672,12.25,,,,,,,,,,,,,,,,
80.6196,12.25,,,,,,,,,,,,,,,,
80.772,12.25,,,,,,,,,,,,,,,,
80.9244,12.25,,,,,,,,,,,,,,,,
81.0768,12.25,,,,,,,,,,,,,,,,
81.2292,12.25,,,,,,,,,,,,,,,,
81.3816,12.25,,,,,,,,,,,,,,,,
81.534,12.25,,,,,,,,,,,,,,,,
81.6864,12.25,,,,,,,,,,,,,,,,
81.8388,12.25,,,,,,,,,,,,,,,,
81.9912,12.25,,,,,,,,,,,,,,,,
82.1436,12.25,,,,,,,,,,,,,,,,
82.296,12.25,,,,,,,,,,,,,,,,
82.4484,12.25,,,,,,,,,,,,,,,,
82.6008,12.25,,,,,,,,,,,,,,,,
82.7532,12.25,,,,,,,,,,,,,,,,
82.9056,12.25,,,,,,,,,,,,,,,,
83.058,12.25,,,,,,,,,,,,,,,,
83.2104,12.25,,,,,,,,,,,,,,,,
83.3628,12.25,,,,,,,,,,,,,,,,
83.5152,12.25,,,,,,,,,,,,,,,,
83.6676,12.25,,,,,,,,,,,,,,,,
83.82,12.25,,,,,,,,,,,,,,,,
83.9724,12.25,,,,,,,,,,,,,,,,
84.1248,12.25,,,,,,,,,,,,,,,,
84.2772,12.25,,,,,,,,,,,,,,,,
84.4296,12.25,,,,,,,,,,,,,,,,
84.582,12.25,,,,,,,,,,,,,,,,
84.7344,12.25,,,,,,,,,,,,,,,,
84.8868,12.25,,,,,,,,,,,,,,,,
85.0392,12.25,,,,,,,,,,,,,,,,
85.1916,12.25,,,,,,,,,,,,,,,,
85.344,12.25,,,,,,,,,,,,,,,,
85.4964,12.25,,,,,,,,,,,,,,,,
85.6488,12.25,,,,,,,,,,,,,,,,
85.8012,12.25,,,,,,,,,,,,,,,,
85.9536,12.25,,,,,,,,,,,,,,,,
86.106,12.25,,,,,,,,,,,,,,,,
86.2584,12.25,,,,,,,,,,,,,,,,
86.4108,12.25,,,,,,,,,,,,,,,,
86.5632,12.25,,,,,,,,,,,,,,,,
86.7156,12.25,,,,,,,,,,,,,,,,
86.868,12.25,,,,,,,,,,,,,,,,
87.0204,12.25,,,,,,,,,,,,,,,,
87.1728,12.25,,,,,,,,,,,,,,,,
87.3252,12.25,,,,,,,,,,,,,,,,
87.4776,12.25,,,,,,,,,,,,,,,,
87.63,12.25,,,,,,,,,,,,,,,,
87.7824,12.25,,,,,,,,,,,,,,,,
87.9348,12.25,,,,,,,,,,,,,,,,
88.0872,12.25,,,,,,,,,,,,,,,,
88.2396,12.25,,,,,,,,,,,,,,,,
88.392,12.25,,,,,,,,,,,,,,,,
88.5444,12.25,,,,,,,,,,,,,,,,
88.6968,12.25,,,,,,,,,,,,,,,,
88.8492,12.25,,,,,,,,,,,,,,,,
