DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESS,SP,TEMP,TENS
86.868,8.5,,,,,,,,,,,,
87.0204,8.5,,,,,,,,,,,,
87.1728,8.5,,,,,,,,,,,,
87.3252,8.5,,,,,,,,,,,,
87.4776,8.5,,,,,,,,,,,,
87.63,8.5,,,,,,,,,,,,
87.7824,8.5,,,,,,,,,,,,
87.9348,8.5,,,,,,,,,,,,
88.0872,8.5,,,,,,,,,,,,
88.2396,8.5,,,,,,,,,,,,
88.392,8.5,,,,,,,,,,,,
88.5444,8.5,,,,,,,,,,,,
88.6968,8.5,,,,,,,,,,,,
88.8492,8.5,,,,,,,,,,,,
89.0016,8.5,,,,,,,,,,,,
89.154,8.5,,,,,,,,,,,,
89.3064,8.5,,,,,,,,,,,,
89.4588,8.5,,,,,,,,,,,,
89.6112,8.5,,,,,,,,,,,,
89.7636,8.5,,,,,,,,,,,,
89.916,8.5,,,,,,,,,,,,
90.0684,8.5,,,,,,,,,,,,
90.2208,8.5,,,,,,,,,,,,
90.3732,8.5,,,,,,,,,,,,
90.5256,8.5,,,,,,,,,,,,
90.678,8.5,,,,,,,,,,,,
90.8304,8.5,,,,,,,,,,,,
90.9828,8.5,,,,,,,,,,,,
91.1352,8.5,,,,,,,,,,,,
91.2876,8.5,,,,,,,,,,,,
91.44,8.5,,,,,,,,,,,,
91.5924,8.5,,,,,,,,,,,,
91.7448,8.5,,,,,,,,,,,,
91.8972,8.5,,,,,,,,,,,,
92.0496,8.5,,,,,,,,,,,,
92.202,8.5,,,,,,,,,,,,
92.3544,8.5,,,,,,,,,,,,
92.5068,8.5,,,,,,,,,,,,
92.6592,8.5,,,,,,,,,,,,
92.8116,8.5,,,,,,,,,,,,
92.964,8.5,,,,,,,,,,,,
93.1164,8.5,,,,,,,,,,,,
93.2688,8.5,,,,,,,,,,,,
93.4212,8.5,,,,,,,,,,,,
93.5736,8.5,,,,,,,,,,,,
93.726,8.5,,,,,,,,,,,,
93.8784,8.5,,,,,,,,,,,,
94.0308,8.5,,,,,,,,,,,,
94.1832,8.5,,,,,,,,,,,,
94.3356,8.5,,,,,,,,,,,,
94.488,8.5,,,,,,,,,,,,
94.6404,8.5,,,,,,,,,,,,
94.7928,8.5,,,,,,,,,,,,
94.9452,8.5,,,,,,,,,,,,
95.0976,8.5,,,,,,,,,,,,
95.25,8.5,,,,,,,,,,,,
95.4024,8.5,,,,,,,,,,,,
95.5548,8.5,,,,,,,,,,,,
95.7072,8.5,,,,,,,,,,,,
95.8596,8.5,,,,,,,,,,,,
96.012,8.5,,,,,,,,,,,,
96.1644,8.5,,,,,,,,,,,,
96.3168,8.5,,,,,,,,,,,,
96.4692,8.5,,,,,,,,,,,,
96.6216,8.5,,,,,,,,,,,,
96.774,8.5,,,,,,,,,,,,
96.9264,8.5,,,,,,,,,,,,
97.0788,8.5,,,,,,,,,,,,
97.2312,8.5,,,,,,,,,,,,
97.3836,8.5,,,,,,,,,,,,
97.536,8.5,,,,,,,,,,,,
97.6884,8.5,,,,,,,,,,,,
97.8408,8.5,,,,,,,,,,,,
97.9932,8.5,,,,,,,,,,,,
98.1456,8.5,,,,,,,,,,,,
98.298,8.5,,,,,,,,,,,,
98.4504,8.5,,,,,,,,,,,,
98.6028,8.5,,,,,,,,,,,,
98.7552,8.5,,,,,,,,,,,,
98.9076,8.5,,,,,,,,,,,,
99.06,8.5,,,,,,,,,,,,
99.2124,8.5,,,,,,,,,,,,
99.3648,8.5,,,,,,,,,,,,
99.5172,8.5,,,,,,,,,,,,
99.6696,8.5,,,,,,,,,,,,
99.822,8.5,,,,,,,,,,,,
99.9744,8.5,,,,,,,,,,,,
100.1268,8.5,,,,,,,,,,,,
100.2792,8.5,,,,,,,,,,,,
100.4316,8.5,,,,,,,,,,,,
100.584,8.5,,,,,,,,,,,,
100.7364,8.5,,,,,,,,,,,,
100.8888,8.5,,,,,,,,,,,,
101.0412,8.5,,,,,,,,,,,,
101.1936,8.5,,,,,,,,,,,,
101.346,8.5,,,,,,,,,,,,
101.4984,8.5,,,,,,,,,,,,
101.6508,8.5,,,,,,,,,,,,
101.8032,8.5,,,,,,,,,,,,
101.9556,8.5,,,,,,,,,,,,
102.108,8.5,,,,,,,,,,,,
102.2604,8.5,,,,,,,,,,,,
102.4128,8.5,,,,,,,,,,,,
102.5652,8.5,,,,,,,,,,,,
102.7176,8.5,,,,,,,,,,,,
102.87,8.5,,,,,,,,,,,,
103.0224,8.5,,,,,,,,,,,,
103.1748,8.5,,,,,,,,,,,,
103.3272,8.5,,,,,,,,,,,,
103.4796,8.5,,,,,,,,,,,,
103.632,8.5,,,,,,,,,,,,
103.7844,8.5,,,,,,,,,,,,
103.9368,8.5,,,,,,,,,,,,
104.0892,8.5,,,,,,,,,,,,
104.2416,8.5,,,,,,,,,,,,
104.394,8.5,,,,,,,,,,,,
104.5464,8.5,,,,,,,,,,,,
104.6988,8.5,,,,,,,,,,,,
104.8512,8.5,,,,,,,,,,,,
105.0036,8.5,,,,,,,,,,,,
105.156,8.5,,,,,,,,,,,,
105.3084,8.5,,,,,,,,,,,,
105.4608,8.5,,,,,,,,,,,,
105.6132,8.5,,,,,,,,,,,,
105.7656,8.5,,,,,,,,,,,,
105.918,8.5,,,,,,,,,,,,
106.0704,8.5,,,,,,,,,,,,
106.2228,8.5,,,,,,,,,,,,
106.3752,8.5,,,,,,,,,,,,
106.5276,8.5,,,,,,,,,,,,
106.68,8.5,,,,,,,,,,,,
106.8324,8.5,,,,,,,,,,,,
106.9848,8.5,,,,,,,,,,,,
107.1372,8.5,,,,,,,,,,,,
107.2896,8.5,,,,,,,,,,,,
107.442,8.5,,,,,,,,,,,,
107.5944,8.5,,,,,,,,,,,,
107.7468,8.5,,,,,,,,,,,,
107.8992,8.5,,,,,,,,,,,,
108.0516,8.5,,,,,,,,,,,,
108.204,8.5,,,,,,,,,,,,
108.3564,8.5,,,,,,,,,,,,
108.5088,8.5,,,,,,,,,,,,
108.6612,8.5,,,,,,,,,,,,
108.8136,8.5,,,,,,,,,,,,
108.966,8.5,,,,,,,,,,,,
109.1184,8.5,,,,,,,,,,,,
109.2708,8.5,,,,,,,,,,,,
109.4232,8.5,,,,,,,,,,,,
109.5756,8.5,,,,,,,,,,,,
109.728,8.5,,,,,,,,,,,,
109.8804,8.5,,,,,,,,,,,,
110.0328,8.5,,,,,,,,,,,,
110.1852,8.5,,,,,,,,,,,,
110.3376,8.5,,,,,,,,,,,,
110.49,8.5,,,,,,,,,,,,
110.6424,8.5,,,,,,,,,,,,
110.7948,8.5,,,,,,,,,,,,
110.9472,8.5,,,,,,,,,,,,
111.0996,8.5,,,,,,,,,,,,
