DEPTH,BS,CALI,DENS,DRHO,DTC,GR,GR_CORR,NEUT,NEUT_CORR,PEF,RESD,RESD_CORR,RESS,RESS_CORR,SP,TEMP,TENS
597.8652,8.5,9.0947,,,116.5759,89.1754,92.3458,,,,23.9942,24.0591,15.7702,16.3499,153.4014,33.007,645.7701
598.0176,8.5,9.0462,,,117.7892,93.2512,96.195,,,,22.8059,22.9137,14.8406,15.4332,155.27,33.0078,644.2001
598.17,8.5,9.0218,,,117.7291,94.5478,97.3284,,,,25.6886,25.6255,16.1012,16.5063,156.5593,33.0078,646.3967
598.3224,8.5,8.9974,,,117.669,95.8445,98.4618,,,,28.5714,28.3373,17.3617,17.5793,157.8486,33.0078,648.5933
598.4748,8.5,8.973,,,117.609,97.1411,99.5952,,,,31.4542,31.0492,18.6222,18.6523,159.1379,33.0078,650.7898
598.6272,8.5,8.9651,,,117.1983,95.8869,98.3607,,,,32.3785,31.9833,18.6926,18.7829,160.0272,33.0078,650.9803
598.7796,8.5,8.9604,,,116.7182,94.1272,96.6571,,,,32.9147,32.5653,18.5272,18.7268,160.8373,33.0078,650.7735
598.932,8.5,8.9558,,,116.2381,92.3676,94.9534,,,,33.4509,33.1473,18.3618,18.6706,161.6474,33.0078,650.5666
599.0844,8.5,8.9536,,,116.2626,92.1105,94.7063,,,,34.3129,33.9944,18.443,18.7718,162.1857,33.0078,650.6013
599.2368,8.5,8.9533,,,116.6936,93.0641,95.6328,,,,35.4374,35.055,18.7228,18.9996,162.5049,33.0078,650.8307
599.3892,8.5,8.9531,,,117.1247,94.0176,96.5592,,,,36.5619,36.1157,19.0027,19.2274,162.8242,33.0078,651.06
599.5416,8.5,8.9528,,,117.46,94.841,97.3846,,,,37.2539,36.7705,19.1554,19.3487,162.999,33.0078,651.6927
599.694,8.5,8.9526,,,117.5402,95.3175,97.941,,,,36.7941,36.3445,18.9689,19.1866,162.7895,33.0078,653.3997
599.8464,8.5,8.9524,,,117.6205,95.794,98.4974,,,,36.3343,35.9184,18.7825,19.0244,162.58,33.0078,655.1066
599.9988,8.5,8.9522,,,117.7008,96.2705,99.0538,,,,35.8745,35.4924,18.5961,18.8623,162.3704,33.0078,656.8135
600.1512,8.5,8.962,,,117.3067,98.0613,100.8616,,,,34.362,34.0288,18.1083,18.3835,162.2878,33.0078,654.1766
600.3036,8.5,8.972,,,116.9088,99.8624,102.6793,,,,32.8411,32.557,17.6181,17.9023,162.2061,33.0078,651.5052
600.456,8.5,8.9819,,,116.511,101.6636,104.4969,,,,31.3203,31.0852,17.1278,17.421,162.1245,33.0078,648.8338
600.6084,8.5,8.9882,,,116.3565,101.2079,104.0374,,,,30.5688,30.3563,16.8413,17.1385,161.9888,33.0078,649.4171
600.7608,8.5,8.9931,,,116.3007,99.8362,102.6535,,,,30.1297,29.9289,16.6375,16.9367,161.8313,33.0078,651.3213
600.9132,8.5,8.9979,,,116.2449,98.4645,101.2695,,,,29.6906,29.5015,16.4337,16.7348,161.6737,33.0078,653.2256
601.0656,8.5,8.9992,,,116.2888,96.7633,99.5768,,,,29.3511,29.1681,16.2779,16.5714,161.3018,33.0078,653.2492
601.218,8.5,8.9958,,,116.4646,94.6261,97.4755,,,,29.1435,28.9591,16.1857,16.4587,160.6464,33.0078,650.7843
601.3704,8.5,8.9924,,,116.6404,92.4889,95.3742,,,,28.9359,28.7501,16.0935,16.3461,159.991,33.0078,648.3194
601.5228,8.5,8.9879,,,116.7733,91.1281,94.0263,,,,28.6754,28.4912,15.9763,16.2132,159.3148,33.0078,646.3002
601.6752,8.5,8.9769,,,116.6623,94.1806,96.9613,,,,28.1135,27.949,15.7171,15.9659,158.5211,33.0078,646.8148
601.8276,8.5,8.9659,,,116.5513,97.233,99.8963,,,,27.5516,27.4069,15.4578,15.7185,157.7275,33.0078,647.3292
601.98,8.5,8.9549,,,116.4403,100.2855,102.8313,,,,26.9897,26.8647,15.1986,15.4711,156.9338,33.0078,647.8438
602.1324,8.5,8.9528,,,116.4978,101.0383,103.5982,,,,26.6934,26.5688,15.1075,15.3513,156.3394,33.0078,650.0682
602.2848,8.5,8.9521,,,116.5808,101.4437,104.0377,,,,26.4372,26.31,15.0418,15.2508,155.7751,33.0078,652.551
602.4372,8.5,8.9513,,,116.6637,101.8491,104.4771,,,,26.181,26.0513,14.9761,15.1504,155.2108,33.0078,655.0338
602.5896,8.5,8.9511,,,116.5889,100.1111,102.7522,,,,25.8432,25.7284,14.7824,14.9727,154.784,33.0078,655.0516
602.742,8.5,8.9512,,,116.4035,96.8708,99.5104,,,,25.4481,25.3605,14.4992,14.741,154.4536,33.0078,653.3416
602.8944,8.5,8.9514,,,116.2181,93.6306,96.2686,,,,25.0531,24.9926,14.2159,14.5092,154.1231,33.0078,651.6317
603.0468,8.5,8.9518,,,116.1292,91.5427,94.1859,,,,24.8309,24.7784,14.0834,14.3937,153.9333,33.0078,651.0449
603.1992,8.5,8.9528,,,116.2579,92.055,94.7187,,,,24.9988,24.9111,14.291,14.5404,154.0609,33.0078,652.9927
603.3516,8.5,8.9538,,,116.3867,92.5673,95.2515,,,,25.1667,25.0437,14.4986,14.6871,154.1884,33.0078,654.9406
603.504,8.5,8.9548,,,116.5274,93.1169,95.8212,,,,25.313,25.1566,14.6944,14.825,154.3167,33.0078,656.7752
603.6564,8.5,8.9547,,,117.1116,95.0489,97.7628,,,,24.6551,24.5389,14.451,14.6406,154.4721,33.0078,654.4131
603.8088,8.5,8.9547,,,117.6957,96.9809,99.7045,,,,23.9973,23.9212,14.2075,14.4561,154.6275,33.0078,652.0511
603.9612,8.5,8.9546,,,118.2799,98.9129,101.6461,,,,23.3395,23.3034,13.9641,14.2716,154.7829,33.0078,649.6891
604.1136,8.5,8.9548,,,117.8543,99.2982,102.0128,,,,23.7217,23.6952,14.3746,14.6972,155.5839,33.0078,649.9306
604.266,8.5,8.9551,,,117.0839,99.1553,101.8416,,,,24.4592,24.4318,15.0084,15.331,156.6055,33.0078,651.0614
