DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
1172.718,8.5,8.981,111.501,-378.263,5.986,8.991,10.512,2.387,0.313,0.006,3.037,103.068
1172.87,8.5,8.981,110.249,-377.402,5.703,8.489,9.898,2.36,0.322,0.008,3.03,102.069
1173.023,8.5,8.835,106.517,-376.467,5.555,8.415,9.821,2.36,0.338,0.014,3.053,101.577
1173.175,8.5,8.578,97.335,-375.258,5.516,8.538,9.981,2.376,0.325,0.015,3.086,102.265
1173.328,8.5,8.342,106.281,-374.433,5.22,8.192,9.606,2.392,0.313,0.013,3.094,102.668
1173.48,8.5,8.458,98.315,-373.546,5.322,8.442,9.951,2.391,0.298,0.006,3.06,103.004
1173.632,8.5,8.465,98.998,-373.15,5.387,8.681,10.28,2.371,0.32,0.003,3.001,100.166
1173.785,8.5,8.488,108.577,-373.259,5.233,8.664,10.322,2.392,0.291,0.002,2.946,98.982
1173.937,8.5,8.54,89.806,-372.987,4.808,7.944,9.409,2.365,0.276,0.001,2.928,98.405
1174.09,8.5,8.488,102.363,-372.317,5.528,9.584,11.319,2.387,0.26,0.004,2.961,98.096
1174.242,8.5,8.465,89.523,-371.321,5.698,9.756,11.428,2.387,0.288,0.004,2.993,99.809
1174.394,8.5,8.477,107.545,-370.388,5.654,9.633,11.224,2.389,0.305,0.003,2.995,101.278
1174.547,8.5,8.499,99.467,-369.65,5.145,8.868,10.324,2.365,0.311,-0.003,2.958,102.689
1174.699,8.5,8.54,98.656,-368.906,4.386,7.301,8.469,2.311,0.294,-0.007,2.905,102.968
1174.852,8.5,8.645,96.704,-368.604,5.187,8.827,10.267,2.335,0.285,-0.007,2.869,103.576
1175.004,8.5,8.622,101.958,-368.902,5.613,9.783,11.459,2.34,0.302,-0.003,2.836,104.098
1175.156,8.5,8.611,92.048,-369.2,4.592,7.619,8.91,2.298,0.314,0.001,2.827,102.973
1175.309,8.5,8.566,102.375,-369.108,5.019,8.499,9.979,2.352,0.305,0.004,2.852,102.801
1175.461,8.5,8.585,104.097,-368.647,5.308,8.759,10.242,2.368,0.312,0.006,2.927,102.816
1175.614,8.5,8.622,103.93,-367.179,5.311,8.926,10.401,2.394,0.32,0.007,2.994,102.23
1175.766,8.5,8.6,111.803,-365.5,4.926,8.031,9.269,2.415,0.335,0.006,2.996,102.73
1175.918,8.5,8.592,109.385,-363.95,5.015,8.21,9.462,2.401,0.326,0.003,2.945,104.038
1176.071,8.5,8.622,102.616,-363.254,5.02,9.163,10.64,2.343,0.342,0.001,2.853,105.457
1176.223,8.5,8.723,100.325,-362.835,4.554,8.398,9.745,2.246,0.324,0.0,2.757,106.362
1176.376,8.5,8.817,93.503,-362.458,4.679,8.737,10.158,2.228,0.317,0.0,2.637,106.722
1176.528,8.5,8.813,82.218,-361.857,4.852,8.828,10.335,2.21,0.316,0.001,2.562,106.047
1176.68,8.5,8.817,91.763,-361.313,4.835,8.754,10.268,2.219,0.328,0.001,2.54,105.489
1176.833,8.5,8.839,82.64,-360.417,4.603,8.635,10.192,2.241,0.333,0.001,2.553,103.317
1176.985,8.5,8.802,77.788,-359.616,4.432,8.448,10.018,2.268,0.334,0.002,2.582,96.742
1177.138,8.5,8.839,82.971,-359.171,5.856,12.502,15.085,2.401,0.303,0.003,2.598,93.306
1177.29,8.5,8.876,80.772,-359.098,5.315,10.425,12.633,2.317,0.295,0.003,2.613,93.231
1177.442,8.5,8.387,70.011,-359.2,4.245,7.223,8.68,2.241,0.309,0.002,2.615,95.46
1177.595,8.5,8.6,77.794,-359.388,4.692,8.286,9.987,2.23,0.32,0.001,2.605,102.401
1177.747,8.5,8.764,81.059,-359.92,4.641,8.963,10.796,2.237,0.336,0.0,2.579,105.166
1177.9,8.5,8.847,75.444,-360.067,4.241,8.431,10.064,2.249,0.341,0.0,2.556,105.26
1178.052,8.5,8.861,83.38,-360.17,4.002,7.803,9.249,2.243,0.337,0.0,2.527,105.749
1178.204,8.5,8.779,82.765,-360.242,3.925,7.842,9.26,2.245,0.332,0.001,2.51,106.464
1178.357,8.5,8.757,80.868,-360.396,3.861,8.209,9.653,2.251,0.338,0.001,2.49,106.907
1178.509,8.5,8.779,88.724,-360.5,3.819,8.228,9.704,2.246,0.343,0.001,2.501,107.084
1178.662,8.5,8.79,79.822,-360.783,3.809,7.952,9.45,2.243,0.346,0.0,2.513,107.094
1178.814,8.5,8.742,85.859,-360.92,3.801,7.873,9.443,2.233,0.333,0.0,2.539,107.103
1178.966,8.5,8.768,84.381,-361.346,3.737,7.798,9.406,2.248,0.334,-0.002,2.56,106.825
1179.119,8.5,8.779,82.765,-361.658,3.729,7.795,9.414,2.253,0.323,-0.004,2.583,106.724
1179.271,8.5,8.794,85.135,-361.996,3.755,7.852,9.546,2.243,0.328,-0.005,2.595,106.703
1179.424,8.5,8.88,84.608,-362.683,3.697,7.536,9.162,2.222,0.323,-0.006,2.596,106.54
1179.576,8.5,8.858,85.691,-363.674,3.669,7.466,9.057,2.238,0.314,-0.007,2.589,106.565
1179.728,8.5,8.794,87.455,-364.325,3.716,7.782,9.387,2.223,0.326,-0.008,2.575,106.466
1179.881,8.5,8.757,97.24,-364.992,3.733,7.93,9.533,2.23,0.328,-0.008,2.566,106.316
1180.033,8.5,8.764,86.353,-365.522,3.696,7.973,9.603,2.22,0.336,-0.007,2.555,106.457
1180.186,8.5,8.779,82.435,-365.888,3.657,7.892,9.524,2.235,0.314,-0.007,2.547,106.454
1180.338,8.5,8.79,73.86,-367.204,3.774,7.92,9.593,2.239,0.33,-0.005,2.529,106.327
1180.49,8.5,8.727,80.603,-369.107,3.906,7.485,9.076,2.235,0.329,-0.003,2.54,106.328
1180.643,8.5,8.69,85.507,-371.658,3.784,6.75,8.203,2.22,0.329,0.0,2.586,106.53
1180.795,8.5,8.712,71.639,-373.879,3.491,6.038,7.329,2.248,0.32,0.003,2.692,105.125
1180.948,8.5,8.727,88.861,-375.579,4.092,7.407,9.007,2.345,0.323,0.009,2.849,103.338
1181.1,8.5,8.592,103.472,-376.379,5.338,9.098,10.962,2.434,0.309,0.012,3.021,101.894
1181.252,8.5,8.566,115.254,-377.167,5.197,8.105,9.713,2.401,0.3,0.011,3.129,100.852
1181.405,8.5,8.592,103.799,-377.746,5.016,7.452,8.94,2.405,0.293,0.005,3.144,99.758
1181.557,8.5,8.667,105.034,-378.531,5.25,7.499,8.992,2.43,0.305,0.0,3.125,97.931
1181.71,8.5,8.667,98.525,-379.054,5.426,7.67,9.247,2.471,0.293,-0.001,3.081,98.075
