DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS
27.2796,17.0,,,,,,,,,,,,29.2525,661.7862
27.432,17.0,,,,,,,,,,,,29.2525,663.6586
27.5844,17.0,,,,,,,,,,,,29.253,663.934
27.7368,17.0,,,,,,,,,,,,29.2538,662.9229
27.8892,17.0,,,,,,,,,,,,29.2546,661.9117
28.0416,17.0,,,,,,,,,,,,29.2549,661.5424
28.194,17.0,,,,,,,,,,,,29.2541,662.8829
28.3464,17.0,,,,,,,,,,,,29.2533,664.2233
28.4988,17.0,,,,,,,,,,,,29.2525,665.5637
28.6512,17.0,,,,,,,,,,,,29.2617,663.8777
28.8036,17.0,,,,,,,,,,,,29.2709,662.1677
28.956,17.0,,,,,,,,,,,,29.2801,660.4576
29.1084,17.0,,,,,,,,,,,,29.2811,659.6293
29.2608,17.0,,,,,,,,,,,,29.2788,659.1589
29.4132,17.0,,,,,,,,,,,,29.2765,658.6885
29.5656,17.0,,,,,,,,,,,,29.2927,659.1946
29.718,17.0,,,,,,,,,,,,29.3335,660.9926
29.8704,17.0,,,,,,,,,,,,29.3742,662.7906
30.0228,17.0,,,,,,,,,,,,29.4096,663.9202
30.1752,17.0,,,,,,,,,,,,29.4145,661.2507
30.3276,17.0,,,,,,,,,,,,29.4194,658.5811
30.48,17.0,,,,,,,,,,,,29.4243,655.9116
30.6324,17.0,,,,,,,,,,,,29.4456,656.6987
30.7848,17.0,,,,,,,,,,,,29.4693,658.0078
30.9372,17.0,,,,,,,,,,,,29.4931,659.317
31.0896,17.0,,,,,,,,,,,,29.4646,659.4347
31.242,17.0,,,,,,,,,,,,29.3994,658.7172
31.3944,17.0,,,,,,,,,,,,29.3343,657.9997
31.5468,17.0,,,,,,,,,,,,29.3119,658.3091
31.6992,17.0,,,,,,,,,,,,29.386,660.9355
31.8516,17.0,,,,,,,,,,,,29.46,663.562
32.004,17.0,,,,,,,,,,,,29.5318,666.0502
32.1564,17.0,,,,,,,,,,,,29.5195,663.411
32.3088,17.0,,,,,,,,,,,,29.5073,660.7719
32.4612,17.0,,,,,,,,,,,,29.4951,658.1326
32.6136,17.0,,,,,,,,,,,,29.5011,656.5349
32.766,17.0,,,,,,,,,,,,29.5133,655.2927
32.9184,17.0,,,,,,,,,,,,29.5256,654.0506
33.0708,17.0,,,,,,,,,,,,29.5216,654.536
33.2232,17.0,,,,,,,,,,,,29.499,657.0125
33.3756,17.0,,,,,,,,,,,,29.4765,659.4888
33.528,17.0,,,,,,,,,,,,29.4622,661.4579
33.6804,17.0,,,,,,,,,,,,29.4848,661.1727
33.8328,17.0,,,,,,,,,,,,29.5073,660.8875
33.9852,17.0,,,,,,,,,,,,29.5299,660.6024
34.1376,17.0,,,,,,,,,,,,29.5321,661.4418
34.29,17.0,,,,,,,,,,,,29.5321,662.4023
34.4424,17.0,,,,,,,,,,,,29.5321,663.3627
34.5948,17.0,,,,,,,,,,,,29.5321,662.6418
