DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
471.068,8.5,8.226,119.909,8.319,26.922,38.196,2.259,0.377,0.001,2.812,117.589
471.221,8.5,8.226,106.317,7.566,21.417,29.973,2.266,0.419,0.019,2.797,118.306
471.373,8.5,8.249,104.701,6.988,18.335,25.426,2.261,0.41,0.034,2.906,118.515
471.526,8.5,8.307,115.318,7.349,20.161,28.053,2.292,0.436,0.041,2.882,118.331
471.678,8.5,8.327,106.082,7.996,23.824,33.388,2.325,0.385,0.027,2.775,117.858
471.83,8.5,8.435,101.77,8.285,27.311,38.464,2.274,0.363,0.014,2.829,117.211
471.983,8.5,8.632,111.658,8.578,32.63,46.454,2.253,0.345,0.013,2.845,117.203
472.135,8.5,8.76,92.547,9.16,35.191,49.794,2.248,0.376,0.016,2.75,117.065
472.288,8.5,8.853,112.331,9.846,34.98,49.135,2.279,0.38,0.02,2.784,117.284
472.44,8.5,8.853,106.326,9.654,31.28,44.051,2.289,0.399,0.028,2.986,117.705
472.592,8.5,8.806,110.941,9.382,28.389,40.355,2.257,0.388,0.043,2.903,117.872
472.745,8.5,8.829,100.577,9.336,27.093,38.669,2.26,0.417,0.062,2.946,118.338
472.897,8.5,8.659,100.22,8.992,25.211,35.8,2.159,0.445,0.063,2.635,118.549
473.05,8.5,8.493,112.4,9.14,25.785,36.29,2.237,0.436,0.051,2.871,118.324
473.202,8.5,8.226,105.974,8.97,27.341,37.995,2.277,0.414,0.036,2.994,117.914
473.354,8.5,8.157,113.891,8.249,26.281,36.076,2.237,0.381,0.025,2.82,117.283
473.507,8.5,8.133,104.696,8.384,26.67,36.285,2.281,0.406,0.021,2.75,117.028
473.659,8.5,8.133,92.188,9.057,30.88,42.21,2.245,0.384,0.018,2.774,116.692
473.812,8.5,8.188,102.707,8.796,32.187,44.358,2.213,0.395,0.021,2.879,118.59
473.964,8.5,8.188,113.356,7.883,27.405,37.754,2.194,0.399,0.022,2.825,119.275
474.116,8.5,8.157,107.03,8.049,27.402,37.717,2.25,0.407,0.016,2.744,120.198
474.269,8.5,8.087,101.58,8.205,28.428,39.279,2.291,0.404,0.004,2.867,120.751
474.421,8.5,7.994,102.195,8.088,28.355,39.205,2.298,0.404,-0.006,2.893,119.207
474.574,8.5,7.956,122.827,7.942,30.116,42.001,2.286,0.391,-0.01,2.844,119.372
474.726,8.5,7.948,111.85,7.353,26.335,36.295,2.277,0.407,-0.011,2.807,118.783
474.878,8.5,7.994,109.008,7.468,27.25,37.214,2.25,0.416,-0.011,2.892,118.519
475.031,8.5,8.017,104.345,7.675,31.025,42.476,2.285,0.439,-0.012,2.893,118.846
475.183,8.5,8.072,108.69,7.336,28.139,37.818,2.299,0.436,-0.011,2.854,118.156
475.336,8.5,8.11,117.43,7.264,27.062,36.038,2.288,0.418,-0.01,2.868,117.498
475.488,8.5,8.157,119.037,7.779,31.311,42.273,2.314,0.39,-0.008,2.915,117.286
475.64,8.5,8.133,119.261,7.938,34.008,46.349,2.292,0.367,-0.008,2.973,116.612
475.793,8.5,8.172,96.117,7.847,31.927,43.346,2.259,0.355,-0.009,2.966,116.511
475.945,8.5,8.188,111.294,7.931,30.207,40.868,2.264,0.371,-0.01,2.878,116.848
476.098,8.5,8.145,115.548,8.196,29.714,40.064,2.27,0.399,-0.011,2.883,116.614
476.25,8.5,8.017,111.903,7.928,27.41,36.451,2.282,0.386,-0.008,2.799,116.229
476.402,8.5,8.041,114.916,7.966,30.152,40.483,2.307,0.355,-0.006,2.907,116.047
476.555,8.5,8.056,110.667,8.096,31.24,42.041,2.311,0.347,-0.004,2.904,115.683
476.707,8.5,8.102,122.525,8.367,32.419,43.315,2.308,0.342,-0.005,2.903,115.433
476.86,8.5,8.087,112.867,8.453,31.004,40.992,2.307,0.341,-0.007,2.813,115.187
477.012,8.5,8.052,113.38,8.341,28.647,37.652,2.293,0.338,-0.008,2.962,114.289
477.164,8.5,8.006,112.983,8.418,27.878,36.713,2.3,0.335,-0.01,2.86,114.345
477.317,8.5,7.986,115.783,8.509,28.305,37.653,2.302,0.344,-0.01,2.93,113.976
477.469,8.5,8.01,104.992,8.833,29.153,39.284,2.295,0.365,-0.009,2.917,114.119
477.622,8.5,8.075,101.529,8.951,27.148,36.298,2.315,0.375,-0.007,2.844,113.588
477.774,8.5,8.087,110.814,9.358,29.56,39.577,2.317,0.376,-0.004,2.784,112.911
477.926,8.5,8.133,119.604,9.719,37.712,50.943,2.287,0.367,-0.001,2.916,112.83
478.079,8.5,8.164,107.294,9.527,49.319,68.759,2.264,0.366,0.001,2.857,113.776
478.231,8.5,8.188,108.89,9.777,49.599,69.415,2.174,0.377,0.001,2.681,115.879
478.384,8.5,8.265,101.323,11.171,46.713,64.593,2.156,0.381,0.0,2.672,118.655
