DEPTH,BS,CALI,DENS,DRHO,DTC,GR,GR_CORR,NEUT,NEUT_CORR,PEF,RESD,RESD_CORR,RESM,RESS,RESS_CORR,SP,TEMP,TENS
1600.5048,8.5,14.6653,2.4307,0.044385,93.265,114.0616,144.7467,0.22276,0.156525,3.15,4.0968,4.3293,,3.165,3.898,88.3763,46.4356,751.0687
1600.6572,8.5,14.5842,2.4352,0.048417,92.5991,112.4706,142.413,0.222245,0.156572,3.1564,4.2402,4.4813,,3.2622,4.0111,88.1438,46.4356,746.9987
1600.8096,8.5,14.5031,2.4397,0.052449,91.9331,110.8796,140.0794,0.22173,0.15662,3.1628,4.3837,4.6333,,3.3593,4.1243,87.9114,46.4356,742.9287
1600.962,8.5,14.422,2.4443,0.056481,91.2672,109.2886,137.7457,0.221215,0.156667,3.1692,4.5272,4.7853,,3.4564,4.2374,87.6789,46.4356,738.8587
1601.1144,8.5,14.4054,2.4348,0.051158,91.1724,106.8068,134.5504,0.221947,0.157319,3.1653,4.5214,4.779,,3.4676,4.2494,87.6979,46.4356,743.1001
1601.2668,8.5,14.4102,2.4207,0.042728,91.2673,104.029,131.0688,0.223093,0.15817,3.158,4.4661,4.7201,,3.4502,4.2277,87.8005,46.4356,750.1022
1601.4192,8.5,14.4149,2.4066,0.034298,91.3621,101.2513,127.5873,0.224238,0.159022,3.1507,4.4109,4.6613,,3.4328,4.2061,87.903,46.4356,757.1044
1601.5716,8.5,14.4468,2.397,0.031388,92.0291,102.2087,128.9278,0.227783,0.161554,3.1197,4.3033,4.5469,,3.3623,4.1198,88.0944,46.438,759.1973
1601.724,8.5,14.5091,2.3924,0.034708,93.3416,107.3814,135.71,0.234036,0.16598,3.0621,4.1369,4.37,,3.2319,3.9606,88.3861,46.4433,755.7502
1601.8764,8.5,14.5715,2.3879,0.038028,94.6541,112.554,142.4922,0.240288,0.170407,3.0044,3.9705,4.193,,3.1015,3.8015,88.6778,46.4486,752.3031
1602.0288,8.5,14.6223,2.3848,0.041347,95.7919,116.4528,147.6178,0.244347,0.173224,2.9658,3.8249,4.0383,,2.988,3.6625,88.9249,46.4519,749.6595
1602.1812,8.5,14.6235,2.3883,0.044665,96.1802,114.8847,145.6336,0.238991,0.169131,3.0093,3.7692,3.9787,,2.9471,3.6101,88.9805,46.4467,750.4639
1602.3336,8.5,14.6247,2.3918,0.047982,96.5684,113.3165,143.6494,0.233636,0.165039,3.0528,3.7134,3.9191,,2.9063,3.5577,89.0361,46.4416,751.2684
1602.486,8.5,14.6259,2.3953,0.051299,96.9567,111.7483,141.6652,0.22828,0.160947,3.0962,3.6577,3.8595,,2.8654,3.5053,89.0917,46.4365,752.0728
1602.6384,8.5,14.7125,2.4056,0.04912,95.3169,107.7358,136.8708,0.226373,0.159044,3.1302,3.6666,3.8699,,2.8661,3.5171,89.0727,46.4359,748.7255
1602.7908,8.5,14.8078,2.4166,0.046386,93.472,103.4761,131.7922,0.224814,0.157364,3.1632,3.6821,3.8874,,2.871,3.5354,89.0462,46.4358,744.9582
1602.9432,8.5,14.9031,2.4276,0.043651,91.627,99.2163,126.7136,0.223256,0.155683,3.1962,3.6976,3.9048,,2.876,3.5536,89.0197,46.4356,741.1909
1603.0956,8.5,14.8419,2.4304,0.042927,90.4024,98.817,125.9856,0.221811,0.154906,3.1796,3.6988,3.9055,,2.8691,3.5373,88.9445,46.4356,739.0034
1603.248,8.5,14.6877,2.4282,0.043397,89.5465,100.7114,127.8425,0.220433,0.154667,3.1337,3.6916,3.8963,,2.8552,3.5004,88.8402,46.4356,737.7546
1603.4004,8.5,14.5335,2.4261,0.043868,88.6905,102.6057,129.6994,0.219056,0.154427,3.0878,3.6844,3.887,,2.8413,3.4635,88.736,46.4356,736.5057
1603.5528,8.5,14.4439,2.4238,0.046438,88.6597,105.0755,132.5129,0.219045,0.154889,3.0573,3.6707,3.8715,,2.8237,3.4299,88.5876,46.4356,736.3651
1603.7052,8.5,14.4763,2.4215,0.052967,90.1854,108.6308,137.131,0.221613,0.156674,3.0563,3.6448,3.8442,,2.7993,3.4027,88.356,46.4356,738.3149
1603.8576,8.5,14.5086,2.4192,0.059497,91.7111,112.1862,141.7491,0.224181,0.158459,3.0552,3.6189,3.8168,,2.7749,3.3755,88.1243,46.4356,740.2647
1604.01,8.5,14.5332,2.4164,0.065003,93.1714,115.4113,145.9192,0.227067,0.160533,3.0545,3.5965,3.7931,,2.7535,3.3511,87.9258,46.4356,742.0575
1604.1624,8.5,14.4472,2.4076,0.055939,93.6998,113.9341,143.7098,0.234489,0.16673,3.0608,3.6247,3.8223,,2.7742,3.367,88.199,46.4356,741.6135
1604.3148,8.5,14.3612,2.3988,0.046875,94.2282,112.457,141.5005,0.241912,0.172927,3.067,3.653,3.8515,,2.7948,3.383,88.4721,46.4356,741.1696
1604.4672,8.5,14.2752,2.39,0.037811,94.7566,110.9799,139.2911,0.249334,0.179124,3.0732,3.6812,3.8807,,2.8154,3.399,88.7452,46.4356,740.7256
1604.6196,8.5,14.3904,2.3927,0.039673,95.1069,108.6858,136.8213,0.248347,0.177704,3.0714,3.6629,3.8624,,2.8051,3.3993,88.7697,46.4399,741.6035
1604.772,8.5,14.5608,2.3985,0.044531,95.4085,106.1677,134.2801,0.245054,0.174194,3.0673,3.6319,3.831,,2.7862,3.3954,88.7259,46.4454,742.844
1604.9244,8.5,14.7311,2.4044,0.049389,95.71,103.6496,131.7389,0.241761,0.170685,3.0633,3.6009,3.7997,,2.7673,3.3915,88.6821,46.4509,744.0845
1605.0768,8.5,14.8408,2.4063,0.052745,95.78,103.9192,132.5144,0.235212,0.165088,3.0634,3.5944,3.7938,,2.7592,3.3941,88.6664,46.4508,746.7809
1605.2292,8.5,14.8909,2.4044,0.054622,95.6221,106.933,136.5548,0.225456,0.157437,3.0675,3.612,3.8131,,2.7616,3.4031,88.6782,46.4454,750.9106
1605.3816,8.5,14.9409,2.4025,0.056499,95.4641,109.9468,140.5952,0.2157,0.149787,3.0717,3.6296,3.8324,,2.764,3.4121,88.69,46.4399,755.0402
1605.534,8.5,14.9462,2.4009,0.05699,95.4894,112.519,143.8933,0.208749,0.144491,3.0721,3.6459,3.8499,,2.7677,3.4175,88.6595,46.4381,756.9084
1605.6864,8.5,14.7956,2.4006,0.052657,96.1526,113.5535,144.6063,0.211563,0.147398,3.0594,3.6577,3.8611,,2.776,3.4105,88.4817,46.4489,750.9012
1605.8388,8.5,14.645,2.4003,0.048324,96.8158,114.5881,145.3192,0.214377,0.150305,3.0466,3.6696,3.8723,,2.7843,3.4035,88.3039,46.4597,744.8941
1605.9912,8.5,14.4944,2.4,0.04399,97.4789,115.6226,146.0322,0.217191,0.153211,3.0339,3.6814,3.8835,,2.7926,3.3965,88.1261,46.4705,738.887
1606.1436,8.5,14.587,2.3971,0.043952,97.5827,113.8918,144.1988,0.226267,0.159606,3.0215,3.6577,3.8591,,2.7754,3.3852,87.9984,46.4651,739.917
1606.296,8.5,14.6945,2.3941,0.044177,97.6523,111.9914,142.2093,0.235726,0.166214,3.0092,3.6319,3.8325,,2.7566,3.3736,87.8737,46.4586,741.3782
1606.4484,8.5,14.802,2.3911,0.044402,97.7218,110.0911,140.2198,0.245185,0.172822,2.9969,3.6061,3.806,,2.7379,3.362,87.749,46.4522,742.8395
1606.6008,8.5,14.7999,2.3924,0.048495,97.8461,108.9889,138.8181,0.247728,0.174782,2.9978,3.5727,3.7702,,2.7177,3.336,87.9023,46.453,742.2128
1606.7532,8.5,14.7417,2.3959,0.054567,97.9984,108.2951,137.7173,0.246732,0.174363,3.0056,3.5354,3.7297,,2.6969,3.3026,88.1977,46.4576,740.5173
1606.9056,8.5,14.6836,2.3994,0.060639,98.1507,107.6014,136.6165,0.245736,0.173944,3.0134,3.4981,3.6893,,2.676,3.2692,88.4932,46.4622,738.8218
1607.058,8.5,14.7386,2.4031,0.063095,98.1154,107.0636,136.1302,0.244555,0.172779,3.0326,3.4925,3.6837,,2.6714,3.2696,88.695,46.466,739.9359
1607.2104,8.5,14.9781,2.4071,0.059667,97.7745,106.7795,136.6442,0.243072,0.170401,3.0702,3.5385,3.7348,,2.6932,3.3249,88.7442,46.4685,745.6229
1607.3628,8.5,15.2176,2.4111,0.056238,97.4337,106.4955,137.1582,0.241589,0.168023,3.1078,3.5846,3.7859,,2.715,3.3802,88.7934,46.4711,751.31
1607.5152,8.5,15.4334,2.4139,0.05292,97.1064,106.3117,137.7151,0.240048,0.165728,3.1413,3.6272,3.8332,,2.7363,3.4323,88.8277,46.4733,756.4421
1607.6676,8.5,15.4358,2.4054,0.050601,96.9007,107.033,138.659,0.237985,0.164176,3.1376,3.6393,3.8462,,2.7534,3.4556,88.7268,46.4725,756.5654
1607.82,8.5,15.4383,2.3969,0.048282,96.6951,107.7542,139.603,0.235922,0.162625,3.134,3.6515,3.8592,,2.7706,3.4789,88.6259,46.4718,756.6887
1607.9724,8.5,15.4407,2.3884,0.045964,96.4895,108.4755,140.5469,0.233859,0.161073,3.1303,3.6636,3.8722,,2.7877,3.5022,88.525,46.4711,756.8119
