DEPTH,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP
404.4696,8.5,10.4939,2.2281,127.4829,130.1732,0.421625,2.8497,24.1073,18.2068,9.1578,-278.2461
404.622,8.5,10.4543,2.222,127.6074,116.296,0.431955,2.8152,24.7007,18.6235,9.0909,-278.0144
404.7744,8.5,10.4663,2.2171,127.5996,120.0282,0.397932,2.9011,24.97,18.7901,8.947,-277.8326
404.9268,8.5,10.3891,2.2128,127.5803,111.4053,0.410248,2.9148,24.6117,18.5778,8.6363,-277.7497
405.0792,8.5,10.3139,2.2326,127.4521,119.765,0.383232,2.8474,25.4146,19.1304,8.1869,-277.5534
405.2316,8.5,10.2606,2.2421,126.9085,112.5638,0.374305,2.9494,26.6363,19.9139,7.7335,-277.3351
405.384,8.5,10.1366,2.2267,126.0265,108.6754,0.3515,2.8886,26.494,19.8482,7.5598,-277.024
405.5364,8.5,10.0281,2.2358,125.8773,117.5569,0.355675,2.8006,25.1007,18.9483,7.2711,-276.6936
405.6888,8.5,10.0162,2.2463,126.3113,119.2747,0.352193,2.8109,24.4422,18.4796,6.7219,-276.3419
405.8412,8.5,9.8503,2.1441,126.0564,128.2327,0.352561,3.0381,24.4398,18.6448,6.4074,-276.0512
405.9936,8.5,9.7645,2.222,126.6239,119.9858,0.357137,2.8532,25.6785,19.8624,6.5721,-275.7753
406.146,8.5,9.7497,2.267,126.1252,111.113,0.372264,2.9532,25.5216,20.314,6.3349,-275.4002
406.2984,8.5,9.7584,2.2588,125.4843,134.9269,0.387202,2.9381,25.8492,21.3872,6.2244,-275.1965
406.4508,8.5,9.7476,2.2435,125.544,116.466,0.386468,2.9457,25.5425,21.8265,6.3774,-275.0623
406.6032,8.5,9.6738,2.2406,125.4917,111.5183,0.367581,2.975,24.7255,21.372,6.7138,-274.765
406.7556,8.5,9.577,2.2444,125.5346,118.8847,0.345679,2.8612,25.3592,21.8486,7.3801,-274.5888
406.908,8.5,9.4999,2.2443,125.0425,111.7691,0.35931,2.9714,25.2698,21.5599,8.248,-274.1073
