DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
1710.9948,8.5,8.6394,2.4778,0.0029388,88.453,114.3194,0.276579,0.275312,3.4014,5.5329,5.8803,-440.5547,48.2664,1720.7314
1711.1472,8.5,8.6469,2.4829,0.0031107,88.0879,113.1708,0.281361,0.280232,3.4012,5.5903,5.9346,-440.5596,48.2664,1711.176
1711.2996,8.5,8.6545,2.4885,0.003293,87.6969,111.9394,0.286138,0.285144,3.4003,5.6558,5.9976,-440.5714,48.2664,1700.9974
1711.452,8.5,8.6621,2.4941,0.0034753,87.3058,110.7081,0.290914,0.290057,3.3994,5.7214,6.0606,-440.5831,48.2664,1690.8188
1711.6044,8.5,8.6638,2.4953,0.0027988,87.0643,109.9525,0.287246,0.286213,3.3757,5.8088,6.1247,-440.7935,48.2664,1687.0419
1711.7568,8.5,8.6627,2.4945,0.0017273,86.8915,109.4156,0.279694,0.278343,3.3414,5.9062,6.1891,-441.0953,48.2664,1686.2081
1711.9092,8.5,8.6617,2.4936,0.0006558,86.7188,108.8788,0.272143,0.270472,3.3071,6.0036,6.2536,-441.397,48.2664,1685.3743
1712.0616,8.5,8.6648,2.4905,0.0004497,86.7539,109.9432,0.270919,0.269183,3.2841,6.0121,6.2446,-441.5585,48.2664,1685.7902
1712.214,8.5,8.674,2.4841,0.0015191,87.0955,113.368,0.279021,0.277596,3.2777,5.8894,6.1271,-441.5132,48.2664,1688.0479
1712.3664,8.5,8.6831,2.4776,0.0025885,87.437,116.7929,0.287122,0.286009,3.2713,5.7668,6.0097,-441.4679,48.2664,1690.3055
1712.5188,8.5,8.6919,2.472,0.0034387,87.7764,119.8513,0.293956,0.293108,3.2648,5.649,5.8959,-441.3992,48.2664,1692.1656
1712.6712,8.5,8.6978,2.4731,0.0027315,88.1005,120.306,0.291779,0.290876,3.2575,5.5657,5.8081,-441.1643,48.2664,1691.2001
1712.8236,8.5,8.7037,2.4741,0.0020242,88.4245,120.7607,0.289601,0.288644,3.2502,5.4824,5.7202,-440.9295,48.2664,1690.2344
1712.976,8.5,8.7096,2.4752,0.001317,88.7486,121.2154,0.287424,0.286412,3.2428,5.3992,5.6323,-440.6947,48.2664,1689.2688
