DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
79.0956,8.5,,,,,55.0957,,,,,,,,596.1125
79.248,8.5,,,,,55.9533,,,,,,,,596.5472
79.4004,8.5,,,,,56.8108,,,,,,,,596.9818
79.5528,8.5,,,,,57.4006,,,,,,,,597.1509
79.7052,8.5,,,,,57.4851,,,,,,,,596.8191
79.8576,8.5,,,,,57.5696,,,,,,,,596.4873
80.01,8.5,,,,,57.6501,,,,,,,,596.2621
80.1624,8.5,,,,,57.6733,,,,,,,,597.5556
80.3148,8.5,,,,,57.6965,,,,,,,,598.8491
80.4672,8.5,,,,,57.7198,,,,,,,,600.1426
80.6196,8.5,,,,,57.8956,,,,,,,,600.6609
80.772,8.5,,,,,58.1132,,,,,,,,600.9667
80.9244,8.5,,,,,58.3308,,,,,,,,601.2725
81.0768,8.5,,,,,58.0177,,,,,,,,601.2566
81.2292,8.5,,,,,57.1821,,,,,,,,600.9241
81.3816,8.5,,,,,56.3464,,,,,,,,600.5915
81.534,8.5,,,,,55.791,,,,,,,,600.5056
81.6864,8.5,,,,,56.2114,,,,,,,,601.2787
81.8388,8.5,,,,,56.6318,,,,,,,,602.0518
81.9912,8.5,,,,,57.0521,,,,,,,,602.825
82.1436,8.5,,,,,56.9298,,,,,,,,603.6188
82.296,8.5,,,,,56.7742,,,,,,,,604.4139
82.4484,8.5,,,,,56.6187,,,,,,,,605.2091
82.6008,8.5,,,,,57.3792,,,,,,,,605.1808
82.7532,8.5,,,,,58.6087,,,,,,,,604.7308
82.9056,8.5,,,,,59.8382,,,,,,,,604.2809
83.058,8.5,,,,,59.8685,,,,,,,,603.6667
83.2104,8.5,,,,,57.9468,,,,,,,,602.7849
83.3628,8.5,,,,,56.0251,,,,,,,,601.9031
83.5152,8.5,,,,,54.4271,,,,,,,,601.2039
83.6676,8.5,,,,,55.7512,,,,,,,,602.1528
83.82,8.5,,,,,57.0753,,,,,,,,603.1017
83.9724,8.5,,,,,58.3994,,,,,,,,604.0506
84.1248,8.5,,,,,59.2171,,,,,,,,604.1402
84.2772,8.5,,,,,59.9227,,,,,,,,604.0397
84.4296,8.5,,,,,60.6284,,,,,,,,603.9393
84.582,8.5,,,,,61.2043,,,,,,,,604.5587
84.7344,8.5,,,,,61.6688,,,,,,,,605.7962
84.8868,8.5,,,,,62.1333,,,,,,,,607.0336
85.0392,8.5,,,,,61.703,,,,,,,,607.7034
85.1916,8.5,,,,,58.6889,,,,,,,,606.7336
85.344,8.5,,,,,55.6747,,,,,,,,605.7639
85.4964,8.5,,,,,52.6606,,,,,,,,604.7941
85.6488,8.5,,,,,52.1334,,,,,,,,605.2562
85.8012,8.5,,,,,51.6664,,,,,,,,605.7529
85.9536,8.5,,,,,51.1994,,,,,,,,606.2496
86.106,8.5,,,,,50.6832,,,,,,,,606.5197
86.2584,8.5,,,,,50.1456,,,,,,,,606.6907
86.4108,8.5,,,,,49.608,,,,,,,,606.8616
86.5632,8.5,,,,,50.2053,,,,,,,,607.1843
86.7156,8.5,,,,,52.4044,,,,,,,,607.7211
86.868,8.5,,,,,54.6036,,,,,,,,608.2579
87.0204,8.5,,,,,56.9204,,,,,,,,608.6785
87.1728,8.5,,,,,59.9983,,,,,,,,608.3473
87.3252,8.5,,,,,63.0762,,,,,,,,608.0161
87.4776,8.5,,,,,66.1541,,,,,,,,607.6849
87.63,8.5,,,,,69.4077,,,,,,,,608.4421
87.7824,8.5,,,,,72.6915,,,,,,,,609.3868
87.9348,8.5,,,,,75.9753,,,,,,,,610.3315
88.0872,8.5,,,,,77.7371,,,,,,,,609.8661
88.2396,8.5,,,,,78.361,,,,,,,,608.3461
88.392,8.5,,,,,78.9848,,,,,,,,606.8262
88.5444,8.5,,,,,79.1428,,,,,,,,606.1318
88.6968,8.5,,,,,78.1679,,,,,,,,607.4454
88.8492,8.5,,,,,77.193,,,,,,,,608.7589
89.0016,8.5,,,,,76.2546,,,,,,,,610.0555
89.154,8.5,,,,,78.7519,,,,,,,,609.7617
89.3064,8.5,,,,,81.2493,,,,,,,,609.4679
