DEPTH,BS,CALI,DENS,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
1650.6444,8.5,8.8593,2.4524,99.3576,124.5267,0.29833,0.285443,3.4239,4.8617,4.7625,4.4712,-137.6875,41.6903,1972.8245
1650.7968,8.5,8.8359,2.4767,99.8008,125.2069,0.31579,0.299157,3.3275,4.8435,4.7381,4.4715,-137.4625,41.6941,1977.4215
1650.9492,8.5,8.8359,2.4301,100.1779,119.2652,0.30812,0.293349,3.4582,4.8572,4.7498,4.5136,-137.5167,41.698,1968.9231
1651.1016,8.5,8.8476,2.4477,100.0494,129.1089,0.29744,0.284691,3.4931,4.7781,4.6713,4.4396,-137.5167,41.7019,1988.3671
1651.254,8.5,8.9061,2.4593,100.0755,107.6411,0.30163,0.288626,3.4825,4.7522,4.654,4.3901,-137.3281,41.7057,1993.0548
1651.4064,8.5,8.9412,2.4649,98.6136,122.2849,0.30858,0.293686,3.3693,4.7304,4.6314,4.3529,-137.0208,41.7096,1992.1471
1651.5588,8.5,8.9295,2.478,98.3753,109.2996,0.31883,0.302083,3.5298,5.1212,5.0133,4.6755,-136.9542,41.7134,1999.5563
1651.7112,8.5,8.9217,2.4597,98.2863,111.6867,0.27532,0.259862,3.512,5.0721,4.9668,4.6449,-137.0167,41.7173,2012.1926
1651.8636,8.5,8.8827,2.473,98.7767,107.347,0.29846,0.28555,3.4326,4.802,4.6952,4.4273,-137.3208,41.7211,2002.1873
1652.016,8.5,8.8593,2.4735,100.8762,127.1287,0.30427,0.290455,3.4265,4.73,4.6279,4.3588,-137.4453,41.725,1953.4102
1652.1684,8.5,8.8827,2.4654,101.2298,113.0526,0.28993,0.277141,3.3533,4.6806,4.5853,4.3254,-137.7167,41.7289,1970.9441
1652.3208,8.5,8.8359,2.4546,101.2939,125.2687,0.29219,0.279426,3.3593,4.6677,4.5764,4.3216,-137.6208,41.7327,1999.4678
1652.4732,8.5,8.8125,2.4845,101.2996,135.9652,0.27937,0.264116,3.3101,4.6442,4.5692,4.3255,-137.875,41.7366,1978.1169
1652.6256,8.5,8.8593,2.4825,100.6383,109.2867,0.27922,0.263938,3.2106,4.5695,4.4999,4.2543,-138.2875,41.7405,1978.2972
1652.778,8.5,8.8359,2.4538,100.1572,110.3531,0.32295,0.306219,3.4746,4.5483,4.4851,4.2389,-138.3984,41.7443,2013.6783
1652.9304,8.5,8.8359,2.4555,100.2092,124.2789,0.32537,0.308834,3.5643,4.4673,4.41,4.1573,-137.7545,41.7482,2025.9854
1653.0828,8.5,8.8437,2.4481,99.9204,122.3999,0.30147,0.288508,3.4905,4.4853,4.4193,4.1554,-138.2461,41.752,2019.4541
1653.2352,8.5,8.8593,2.4328,98.7984,120.8099,0.33116,0.315484,3.4314,4.475,4.4164,4.1493,-137.8292,41.7559,2007.1748
1653.3876,8.5,8.7969,2.3943,98.6437,103.8066,0.33648,0.322035,3.4744,4.329,4.2662,4.0142,-137.5042,41.7598,1984.7083
1653.54,8.5,8.8125,2.4787,97.9713,119.6419,0.38982,0.37844,3.5724,4.333,4.2822,4.0096,-137.2542,41.7636,1985.4343
1653.6924,8.5,8.8437,2.4687,97.5141,103.5181,0.36749,0.352683,3.5385,4.4377,4.3657,4.0957,-137.2792,41.7675,1983.6498
1653.8448,8.5,8.8476,2.4852,96.5332,108.8596,0.30086,0.287763,3.4917,4.5673,4.4875,4.209,-137.6289,41.7713,1983.7406
1653.9972,8.5,8.8359,2.4657,95.8145,116.9758,0.31847,0.301726,3.4195,4.8391,4.7523,4.4151,-138.2333,41.7752,1994.3242
1654.1496,8.5,8.8125,2.471,95.1609,129.7823,0.30873,0.293796,3.3916,4.8808,4.7788,4.4426,-138.2292,41.7791,1988.2375
1654.302,8.5,8.7891,2.4586,95.2712,117.4842,0.31108,0.295555,3.492,4.8525,4.7584,4.4272,-138.1625,41.7829,1981.9265
1654.4544,8.5,8.8125,2.471,95.5397,123.2288,0.29496,0.282152,3.3808,4.8454,4.753,4.4399,-138.3083,41.7868,1989.0328
1654.6068,8.5,8.8476,2.4569,95.7316,112.142,0.35079,0.337871,3.428,4.8235,4.7221,4.4342,-138.207,41.7906,1978.6309
1654.7592,8.5,8.8437,2.4695,95.8489,115.9,0.30551,0.29138,3.3991,4.7298,4.6225,4.3601,-137.9875,41.7945,1980.3236
1654.9116,8.5,8.8437,2.4711,95.8737,112.185,0.27475,0.259254,3.4383,4.8169,4.7048,4.442,-137.9542,41.7984,1980.243
1655.064,8.5,8.871,2.4808,95.5299,124.1561,0.31295,0.297,3.2894,4.6809,4.5752,4.3181,-137.8292,41.8022,1992.3287
1655.2164,8.5,8.8476,2.4787,96.129,128.9212,0.3015,0.28853,3.3613,4.6901,4.5889,4.318,-137.4922,41.8061,2019.2419
1655.3688,8.5,8.8359,2.4817,96.7434,116.9134,0.34104,0.327502,3.4511,4.7354,4.6436,4.355,-137.5833,41.81,1988.6903
1655.5212,8.5,8.8203,2.4687,97.6611,113.9291,0.28363,0.269238,3.4261,4.7826,4.7024,4.3998,-137.8792,41.8138,1957.4023
1655.6736,8.5,8.8125,2.4618,98.2492,128.36,0.27763,0.262162,3.4412,4.8543,4.7803,4.4483,-137.9125,41.8177,1985.3743
1655.826,8.5,8.8125,2.4512,98.0869,120.9409,0.26746,0.252006,3.376,4.7912,4.7271,4.4251,-138.0583,41.8215,1979.3865
1655.9784,8.5,8.8515,2.4733,97.4541,123.6174,0.2891,0.276107,3.3748,4.8002,4.7283,4.4517,-138.457,41.8254,1984.2853
1656.1308,8.5,8.8593,2.4597,96.751,110.9583,0.29736,0.284626,3.588,4.7311,4.6668,4.3833,-138.825,41.8293,1969.7705
1656.2832,8.5,8.871,2.4474,96.3306,114.4845,0.27612,0.260727,3.4994,4.6802,4.6228,4.3458,-138.7833,41.8331,1977.1185
1656.4356,8.5,8.8125,2.4942,97.4195,115.7465,0.29221,0.279449,3.5023,4.6242,4.5702,4.3011,-138.6917,41.837,2017.7491
1656.588,8.5,8.8983,2.4847,99.7387,118.0923,0.2908,0.277819,3.3931,4.7371,4.6811,4.3873,-138.7625,41.8409,1980.505
1656.7404,8.5,8.8827,2.4747,100.1765,123.7806,0.28316,0.268654,3.3188,5.0985,5.0355,4.6739,-138.7583,41.8447,1992.2379
1656.8928,8.5,8.8944,2.4604,100.6696,125.5188,0.34338,0.330365,3.4124,5.0272,4.9851,4.6398,-138.2813,41.8486,2053.2913
