DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
211.4,25.602732,888.671875,91.945465,0.443226,12.125225,0.117603,2.115928,2.80122,150.731613,178.789917,1.631794,31.381109,33.23019,34.523052,36.210094,39.457218,41.782173,52.698715,12.25
211.5,25.778074,878.90625,91.615486,0.454691,12.111014,0.114275,2.110497,2.75286,150.645721,178.912964,1.641059,29.768227,31.478487,32.672905,34.229862,37.221725,39.360207,49.40984,12.25
211.6,25.642759,888.671875,91.571022,0.46855,12.121055,0.102658,2.107643,2.708175,150.501373,178.967651,1.620221,31.061171,32.808899,34.028351,35.6166,38.664574,40.840126,51.086433,12.25
211.7,25.814762,883.789063,92.557892,0.48033,12.166705,0.086656,2.106891,2.692485,150.404037,178.862823,1.584287,34.062943,35.947544,37.26152,38.971737,42.250351,44.587936,55.5966,12.25
211.8,25.617069,888.671875,92.386002,0.487747,12.259913,0.072812,2.110871,2.713916,150.349365,178.882874,1.547803,37.205235,39.283501,40.733112,42.620579,46.241142,48.82415,60.983585,12.25
211.9,25.662937,888.671875,92.118935,0.487252,12.357656,0.065401,2.118119,2.77528,150.333298,178.952164,1.52448,33.10273,35.005814,36.334938,38.067535,41.397041,43.77697,54.951088,12.25
212.0,25.566401,888.671875,90.307404,0.478495,12.403613,0.067308,2.127761,2.826097,150.32692,178.88562,1.514191,31.782667,33.689777,35.024345,36.767143,40.125603,42.533333,53.800545,12.25
212.1,25.655993,888.671875,88.856232,0.461798,12.368362,0.076056,2.132355,2.868348,150.377136,178.863739,1.521827,32.795288,34.844936,36.282051,38.162083,41.79501,44.407131,56.584061,12.25
212.2,25.67182,888.671875,87.879967,0.444085,12.266892,0.089875,2.135968,2.877246,150.469894,178.810867,1.532874,35.298229,37.570568,39.166161,41.256279,45.303562,48.219997,61.792213,12.25
212.3,25.835209,878.90625,87.85202,0.423566,12.151177,0.102839,2.13724,2.873791,150.599991,178.852798,1.543779,35.023232,37.276253,38.858219,40.930428,44.942818,47.833958,61.274094,12.25
212.4,25.812975,883.789063,86.705322,0.406331,12.06829,0.110135,2.136863,2.840961,150.709152,178.771667,1.536523,31.391724,33.374363,34.765213,36.585564,40.105736,42.638737,54.426003,12.25
212.5,25.844717,878.90625,85.559593,0.395687,12.041939,0.107238,2.13105,2.812858,150.788803,178.917526,1.526484,31.030233,32.94524,34.287125,36.041603,39.428978,41.862305,53.198872,12.25
