DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
197.9,25.656,859.375,86.676,0.536,12.942,0.071,2.081,2.642,154.149,177.559,1.673,26.184,28.925,30.909,33.583,38.991,43.072,60.392,12.25
198.0,25.669,864.258,85.255,0.543,12.964,0.064,2.082,2.666,153.481,177.002,1.665,26.196,28.948,30.941,33.627,39.063,43.167,60.589,12.25
198.1,25.653,859.375,83.703,0.523,12.988,0.059,2.086,2.713,153.062,176.814,1.649,26.063,28.796,30.775,33.441,38.837,42.909,60.195,12.25
198.2,25.66,859.375,83.686,0.495,13.026,0.056,2.09,2.742,152.931,176.79,1.626,26.454,29.218,31.219,33.914,39.365,43.478,60.975,12.25
198.3,25.685,854.492,85.063,0.476,13.076,0.056,2.093,2.773,153.115,176.924,1.622,26.228,28.93,30.884,33.513,38.822,42.821,59.88,12.25
198.4,25.709,854.492,87.9,0.479,13.123,0.06,2.096,2.781,153.516,177.225,1.633,25.918,28.538,30.43,32.972,38.094,41.944,58.444,12.25
198.5,25.726,849.609,88.579,0.488,13.152,0.066,2.096,2.797,153.952,177.606,1.648,25.979,28.543,30.392,32.872,37.857,41.593,57.675,12.25
198.6,25.69,854.492,88.97,0.498,13.135,0.074,2.096,2.794,154.322,177.802,1.673,25.326,27.78,29.547,31.914,36.663,40.215,55.575,12.25
198.7,25.724,844.727,89.05,0.5,13.044,0.079,2.084,2.791,154.507,177.814,1.686,23.701,25.962,27.588,29.764,34.123,37.378,51.486,12.25
198.8,25.707,844.727,89.627,0.498,12.894,0.083,2.064,2.775,154.389,177.851,1.688,23.033,25.219,26.79,28.892,33.1,36.24,49.88,12.25
198.9,25.664,844.727,88.734,0.484,12.743,0.088,2.042,2.75,153.849,177.626,1.621,23.279,25.488,27.075,29.2,33.453,36.628,50.418,12.25
199.0,25.522,844.727,88.776,0.468,12.655,0.093,2.029,2.733,152.999,177.478,1.562,22.931,25.114,26.684,28.785,32.991,36.132,49.777,12.25
199.1,25.601,844.727,88.339,0.451,12.637,0.094,2.026,2.731,152.018,177.43,1.506,22.639,24.797,26.349,28.426,32.585,35.692,49.185,12.25
199.2,25.69,844.727,88.887,0.443,12.663,0.09,2.039,2.753,151.212,177.401,1.51,23.104,25.302,26.881,28.995,33.229,36.389,50.121,12.25
199.3,25.526,839.844,88.474,0.441,12.703,0.083,2.064,2.776,150.806,177.309,1.524,24.001,26.274,27.908,30.093,34.467,37.73,51.931,12.25
199.4,25.499,844.727,89.775,0.448,12.743,0.073,2.092,2.804,151.065,177.47,1.595,23.754,25.983,27.584,29.724,34.004,37.195,51.101,12.25
199.5,25.63,849.609,90.96,0.456,12.767,0.063,2.113,2.835,151.9,177.742,1.679,23.386,25.555,27.112,29.191,33.345,36.437,49.945,12.25
199.6,25.676,839.844,92.501,0.466,12.75,0.058,2.124,2.855,153.085,177.926,1.781,23.454,25.602,27.143,29.2,33.303,36.355,49.713,12.25
199.7,25.623,844.727,93.63,0.472,12.672,0.057,2.119,2.869,154.111,178.023,1.838,23.012,25.099,26.595,28.59,32.567,35.521,48.483,12.25
199.8,25.697,844.727,93.938,0.48,12.583,0.062,2.105,2.858,154.68,178.257,1.861,22.687,24.725,26.185,28.132,32.007,34.883,47.519,12.25
199.9,25.486,844.727,91.894,0.485,12.514,0.071,2.089,2.83,154.479,178.356,1.844,22.745,24.783,26.241,28.186,32.056,34.927,47.554,12.25
200.0,25.507,849.609,89.086,0.492,12.475,0.081,2.084,2.774,153.613,178.31,1.793,21.082,22.971,24.324,26.128,29.718,32.382,44.08,12.25
200.1,25.634,844.727,85.667,0.496,12.411,0.083,2.081,2.741,152.295,178.217,1.718,20.61,22.482,23.824,25.614,29.182,31.833,43.452,12.25
200.2,25.562,844.727,83.677,0.496,12.32,0.081,2.089,2.721,151.021,178.041,1.629,23.617,25.809,27.381,29.483,33.68,36.805,50.424,12.25
200.3,25.669,849.609,82.645,0.484,12.235,0.073,2.1,2.747,150.176,177.815,1.557,28.192,30.906,32.859,35.475,40.719,44.639,61.611,12.25
200.4,25.591,849.609,83.904,0.467,12.185,0.065,2.11,2.778,150.009,177.797,1.506,31.451,34.603,36.879,39.935,46.087,50.707,70.548,12.25
200.5,25.573,854.492,85.366,0.45,12.168,0.061,2.111,2.817,150.617,177.671,1.49,31.066,34.29,36.623,39.763,46.11,50.894,71.308,12.25
200.6,25.568,849.609,87.115,0.44,12.166,0.069,2.11,2.83,151.796,177.588,1.491,27.884,30.825,32.957,35.83,41.647,46.041,64.691,12.25
200.7,25.617,849.609,86.715,0.433,12.163,0.088,2.11,2.833,153.31,177.723,1.514,25.364,28.053,30.002,32.63,37.954,41.977,59.03,12.25
200.8,25.532,849.609,86.217,0.427,12.156,0.11,2.109,2.812,154.68,177.608,1.549,25.559,28.254,30.206,32.837,38.164,42.187,59.25,12.25
200.9,25.622,849.609,85.463,0.42,12.151,0.127,2.107,2.79,155.72,177.57,1.571,26.18,28.909,30.885,33.546,38.927,42.986,60.227,12.25
201.0,25.636,849.609,84.507,0.414,12.148,0.133,2.105,2.772,156.147,177.662,1.572,25.549,28.189,30.099,32.67,37.863,41.775,58.411,12.25
201.1,25.519,854.492,85.037,0.407,12.149,0.126,2.1,2.778,155.929,177.867,1.551,25.446,28.082,29.99,32.558,37.747,41.658,58.289,12.25
201.2,25.508,844.727,85.801,0.409,12.157,0.109,2.099,2.809,155.101,177.97,1.537,25.604,28.281,30.218,32.829,38.108,42.091,59.011,12.25
201.3,25.444,849.609,88.087,0.416,12.173,0.089,2.101,2.851,154.017,177.986,1.513,27.237,30.105,32.184,34.984,40.654,44.936,63.091,12.25
