DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
1677.4668,-0.0164,0.0242,86.518,120.3234,8.6462,-0.0031,3.082,3.2365,5.5069,5.6623,5.8794,6.0863,6.5988,0.0183,0.0296,7.1286,4.7013,4.6123,3818.5002,0.2868
1677.3144,-0.0181,0.0242,88.4334,116.9233,8.6578,-0.004,3.3134,3.3018,5.3492,5.4628,5.6672,5.8471,6.3355,0.0001,0.0001,6.747,4.5088,4.5586,3845.4285,0.2809
1677.162,-0.0077,0.0122,90.3543,117.0517,8.6578,-0.0029,3.3464,3.3324,5.0801,5.2003,5.3715,5.5251,5.9988,0.0001,0.0001,6.359,4.527,4.5458,3868.429,0.2882
1677.0096,-0.0011,0.0084,89.9787,115.4976,8.6809,-0.0026,3.3788,3.3583,5.0442,5.1895,5.3439,5.5032,5.9672,0.0001,0.0001,6.3424,4.6358,4.6416,3855.6428,0.2998
1676.8572,-0.016,0.0084,89.7667,115.0025,8.6578,-0.0018,3.2639,3.3228,5.0986,5.2448,5.4,5.5508,6.0407,0.0001,0.0001,6.4154,4.7604,4.7041,3846.7856,0.2987
1676.7048,-0.0079,0.0025,89.7741,112.2248,8.6115,0.0001,3.2992,3.2601,5.1828,5.3311,5.4874,5.6396,6.1482,0.0001,0.0001,6.5321,4.6836,4.6435,3792.7144,0.3113
1676.5524,0.0104,0.0112,89.7178,111.4445,8.5537,0.0035,3.1972,3.2086,5.0318,5.1391,5.3104,5.458,5.9649,0.0001,0.0001,6.3128,4.399,4.4189,3817.0715,0.2904
1676.4,0.0808,0.0199,89.1874,107.5666,8.3456,0.0059,3.3364,3.1959,4.892,5.0094,5.185,5.3271,5.8364,0.0157,0.0279,6.2252,4.0118,4.18,3818.5713,0.285
1676.2476,0.0569,0.0207,88.9257,107.7635,8.4728,0.0062,3.0698,3.1961,4.6773,4.7731,4.9429,5.0765,5.5585,0.1022,0.069,5.8948,4.0831,4.2305,3815.5,0.267
1676.0952,0.0102,0.0176,88.6155,110.0951,8.5653,0.0028,3.1872,3.2273,5.124,5.2277,5.4019,5.546,6.084,0.0869,0.0524,6.4417,4.4836,4.4503,3833.7859,0.27
1675.9428,-0.0061,0.0045,88.4124,114.6535,8.6115,-0.0009,3.2764,3.2593,5.2651,5.3707,5.5429,5.7039,6.2525,0.0001,0.008,6.6174,4.7339,4.7189,3793.4287,0.2766
1675.7904,0.0241,0.0318,89.2111,115.8035,8.6115,-0.0057,3.4253,3.334,5.2938,5.4085,5.5753,5.737,6.2875,0.0001,0.0001,6.6565,4.8654,4.8273,3800.2859,0.2752
1675.638,0.097,0.059,89.3065,115.8039,8.6115,-0.0085,3.3965,3.3862,5.2202,5.3337,5.501,5.6828,6.2193,0.0001,0.0001,6.6239,4.7927,4.8116,3812.0715,0.2913
1675.4856,0.0796,0.0895,89.2098,113.5031,8.6115,-0.0107,3.3795,3.4491,5.1612,5.2548,5.4321,5.6149,6.1378,0.0001,0.0001,6.5178,4.7604,4.8009,3824.0002,0.2775
1675.3332,0.0794,0.0833,89.1556,112.333,8.6346,-0.0096,3.4961,3.458,5.2138,5.2847,5.4814,5.6737,6.2007,0.0001,0.0001,6.5938,4.8013,4.7842,3810.2144,0.2859
1675.1808,0.0784,0.0723,88.6259,111.2882,8.6578,-0.0075,3.4687,3.4461,5.2783,5.3312,5.5359,5.7443,6.2742,0.0001,0.0001,6.6612,4.7847,4.8311,3830.4287,0.2819
1675.0284,0.0658,0.0643,88.193,115.3479,8.6231,-0.0071,3.3934,3.4546,5.3065,5.3643,5.5765,5.7867,6.321,0.0001,0.0001,6.7422,4.847,4.8432,3819.6431,0.2813
1674.876,0.0024,0.062,87.8528,115.4037,8.6346,-0.0059,3.378,3.4545,5.3286,5.4119,5.6277,5.847,6.3813,0.0001,0.0001,6.8857,4.9226,4.9474,3819.3845,0.2737
1674.7236,0.0064,0.0537,87.6682,112.8448,8.6346,-0.0058,3.4225,3.4584,5.4519,5.5707,5.7897,6.016,6.5681,0.0001,0.0001,7.0655,5.0868,5.0605,3813.2856,0.2669
1674.5712,-0.0049,0.0187,87.9985,110.4139,8.6346,-0.0041,3.4024,3.3992,5.5553,5.6933,5.9169,6.1453,6.7224,0.0001,0.0001,7.2006,5.1457,5.0097,3811.7141,0.2786
1674.4188,0.0221,0.0232,88.1116,114.3434,8.6269,-0.005,3.3315,3.3705,5.3833,5.4859,5.702,5.9097,6.5039,0.0001,0.0001,6.9045,4.8079,4.8657,3826.1428,0.2802
1674.2664,0.0615,0.0414,88.6645,113.9964,8.6346,-0.0067,3.3315,3.3699,5.1984,5.2608,5.4518,5.6465,6.237,0.0001,0.0001,6.6336,4.6538,4.6607,3798.9998,0.2922
1674.114,-0.0046,0.0414,89.0438,117.0823,8.6115,-0.0064,3.2496,3.3508,5.1395,5.1599,5.3457,5.5284,6.1104,0.0001,0.0001,6.4338,4.577,4.6109,3811.2141,0.292
1673.9616,0.0367,0.0403,89.6718,116.8642,8.6192,-0.0064,3.3523,3.3589,5.0507,5.0907,5.2677,5.4369,6.0074,0.0001,0.0001,6.3293,4.5581,4.5381,3828.5713,0.2917
1673.8092,0.0341,0.0429,90.2266,117.849,8.6115,-0.0065,3.3287,3.3765,4.9951,5.0514,5.2117,5.3781,5.9502,0.0001,0.0001,6.2778,4.491,4.5025,3827.2141,0.3009
1673.6568,0.0783,0.0739,90.6614,114.7445,8.6038,-0.0091,3.4073,3.4528,4.9721,5.0307,5.1792,5.338,5.9017,0.0001,0.0001,6.1977,4.4645,4.4881,3819.5,0.3007
1673.5044,0.0977,0.0863,90.9225,111.9694,8.6115,-0.0099,3.4939,3.4875,4.9806,5.0383,5.1903,5.3463,5.9096,0.0001,0.0001,6.2012,4.4809,4.4691,3803.2856,0.3055
1673.352,0.0755,0.0863,91.0178,113.631,8.6115,-0.01,3.511,3.5066,4.9646,5.0491,5.1985,5.3504,5.917,0.0001,0.0001,6.2502,4.448,4.4697,3779.8572,0.308
1673.1996,0.0706,0.0861,91.1324,117.9768,8.6115,-0.01,3.4647,3.5086,4.9574,5.0349,5.1928,5.3575,5.9114,0.0001,0.0001,6.2676,4.4687,4.4637,3789.8572,0.3045
