TVD,GR,T-TEMP,ROP
69.4944,39.8963,24.093,20.0577
69.6468,39.8864,24.0866,20.3295
69.7992,39.7784,24.0782,20.616
69.9516,38.2705,24.0698,20.9026
70.104,38.9384,24.0613,21.0133
70.2564,39.1754,24.0878,21.0468
70.4088,40.651,24.0922,21.0804
70.5612,42.0368,24.0966,21.0899
70.7136,41.6613,24.101,21.0655
70.866,43.5385,24.1019,21.0411
71.0184,42.975,24.1019,21.0106
71.1708,42.4666,24.1019,20.9405
71.3232,42.5613,24.1309,20.8704
71.4756,42.9691,24.1216,20.8003
71.628,44.1332,24.1107,20.6211
71.7804,44.5476,24.1164,20.4229
71.9328,43.661,24.1172,20.2248
72.0852,43.8059,24.1172,20.4015
72.2376,41.664,24.1172,20.8587
72.39,41.4857,24.1172,21.3159
72.5424,41.2292,24.1599,21.49
72.6948,40.791,24.1561,20.9749
72.8472,41.4887,24.1523,20.4598
72.9996,42.0511,24.1485,19.9527
73.152,43.3452,24.1726,20.2118
73.3044,44.063,24.163,20.4708
73.4568,42.697,24.1535,20.7299
73.6092,42.4462,24.1629,20.5954
73.7616,41.6833,24.1629,20.315
73.914,41.3411,24.1629,20.0346
74.0664,43.3369,24.1629,19.9881
74.2188,44.6139,24.1629,20.2289
74.3712,44.6701,24.1629,20.4697
74.5236,44.3553,24.1935,20.3407
74.676,42.77,24.1935,18.3808
74.8284,41.3577,24.1935,16.4209
74.9808,40.5036,24.1125,14.461
75.1332,40.6919,24.1341,18.483
75.2856,41.3975,24.1369,23.2654
75.438,42.5532,24.1398,28.0478
75.5904,42.2821,24.1426,28.9596
75.7428,42.3967,24.1454,27.3593
75.8952,41.7132,24.1769,25.7591
76.0476,39.8129,24.175,24.8646
76.2,40.7161,24.1719,25.4316
76.3524,39.2967,24.1687,25.9985
76.5048,39.2991,24.1655,26.4882
76.6572,40.8084,24.1775,25.333
76.8096,40.8004,24.1935,24.1778
76.962,40.3561,24.1935,23.0225
77.1144,40.1546,24.1935,23.2041
77.2668,39.7043,24.1935,23.7985
77.4192,39.7187,24.2278,24.3929
77.5716,39.8143,24.2392,24.6926
77.724,40.9356,24.2392,24.6774
77.8764,40.4551,24.2392,24.6622
78.0288,40.0216,24.2622,24.687
78.1812,39.7904,24.2495,24.8699
78.3336,39.3087,24.2402,25.0528
78.486,38.6839,24.2453,25.2357
78.6384,38.0774,24.2504,25.4186
78.7908,38.4376,24.2862,25.6014
78.9432,38.0,24.2926,25.7843
79.0956,38.0439,24.2989,24.8635
79.248,38.8873,24.3064,23.3242
79.4004,38.2622,24.2946,21.7849
