DEPT,GR,T-TEMP,ROP
68.1228,43.2615,24.0708,19.8756
68.2752,39.4329,24.0574,20.0067
68.4276,37.2781,24.0439,20.1377
68.58,36.6809,24.0818,20.3408
68.7324,36.4808,24.0733,20.609
68.8848,37.1862,24.0648,20.8772
69.0372,38.581,24.0564,21.0034
69.1896,39.9985,24.1104,20.6894
69.342,41.1463,24.1017,20.3755
69.4944,39.8963,24.0931,20.0615
69.6468,39.8707,24.0866,20.326
69.7992,39.7887,24.0784,20.6125
69.9516,38.3032,24.0699,20.899
70.104,38.9384,24.0614,21.0129
70.2564,39.1629,24.0877,21.0464
70.4088,40.5993,24.0921,21.0799
70.5612,42.0368,24.0965,21.0902
70.7136,41.6629,24.1009,21.0658
70.866,43.5417,24.1019,21.0414
71.0184,42.9942,24.1019,21.0115
71.1708,42.4666,24.1019,20.9414
71.3232,42.538,24.129,20.8713
71.4756,42.9769,24.1218,20.8012
71.628,44.1236,24.1109,20.6236
71.7804,44.5414,24.1154,20.4255
71.9328,43.6604,24.1172,20.2274
72.0852,43.8155,24.1172,20.3956
72.2376,41.6709,24.1172,20.8528
72.39,41.4869,24.1172,21.31
72.5424,41.2229,24.16,21.4967
72.6948,40.7845,24.1562,20.9816
72.8472,41.4855,24.1523,20.4665
72.9996,42.0332,24.1485,19.9514
73.152,43.3246,24.1727,20.2084
73.3044,44.0719,24.1631,20.4675
73.4568,42.7196,24.1536,20.7266
73.6092,42.4421,24.1629,20.5991
73.7616,41.6826,24.1629,20.3187
73.914,41.3264,24.1629,20.0382
74.0664,43.3201,24.1629,19.9849
74.2188,44.6139,24.1629,20.2257
74.3712,44.6677,24.1629,20.4665
74.5236,44.3687,24.1935,20.3665
74.676,42.77,24.1935,18.4066
74.8284,41.3624,24.1935,16.4468
74.9808,40.5139,24.1152,14.4869
75.1332,40.6772,24.1341,18.4198
75.2856,41.3709,24.1369,23.2021
75.438,42.5836,24.1397,27.9844
75.5904,42.2692,24.1426,28.9808
75.7428,42.4412,24.1454,27.3806
75.8952,41.7164,24.1751,25.7804
76.0476,39.8676,24.1751,24.8571
76.2,40.7059,24.1719,25.424
76.3524,39.305,24.1687,25.9909
76.5048,39.3037,24.1655,26.5036
76.6572,40.7602,24.1765,25.3484
76.8096,40.7936,24.1935,24.1932
76.962,40.3622,24.1935,23.038
77.1144,40.1467,24.1935,23.1962
77.2668,39.7135,24.1935,23.7905
77.4192,39.6947,24.2254,24.3849
77.5716,39.8108,24.2392,24.6928
77.724,40.9304,24.2392,24.6776
77.8764,40.4551,24.2392,24.6624
78.0288,40.0293,24.2624,24.6846
78.1812,39.7926,24.2497,24.8674
78.3336,39.3038,24.2401,25.0503
78.486,38.6847,24.2453,25.2332
78.6384,38.0714,24.2504,25.4161
78.7908,38.4442,24.2861,25.599
78.9432,38.0075,24.2925,25.7818
79.0956,38.0049,24.2988,24.8844
79.248,38.9021,24.3065,23.3452
79.4004,38.2648,24.2947,21.806
79.5528,39.2833,24.3207,20.7799
79.7052,39.6526,24.3251,20.722
79.8576,39.3888,24.3192,20.6641
80.01,39.8825,24.3176,20.6178
80.1624,38.6113,24.323,20.7367
80.3148,38.7281,24.3285,20.8555
80.4672,39.2329,24.3308,20.9744
80.6196,39.0583,24.3308,20.8493
80.772,38.4337,24.345,20.6573
80.9244,38.3723,24.338,20.4653
81.0768,37.9853,24.3309,20.3516
81.2292,39.336,24.3465,20.315
81.3816,40.7273,24.3586,20.2784
81.534,42.6641,24.3415,20.2799
81.6864,42.7783,24.3272,20.414
81.8388,41.5366,24.3176,20.5481
81.9912,40.9865,24.3198,20.6823
82.1436,40.3649,24.3007,20.7474
82.296,40.3317,24.3214,20.8084
82.4484,40.9788,24.3003,20.8694
82.6008,41.5982,24.3003,20.9283
82.7532,42.2432,24.2919,20.9862
82.9056,42.4482,24.2702,21.0441
83.058,42.8993,24.2632,20.9257
83.2104,41.7959,24.2224,20.5203
83.3628,41.3147,24.2138,20.115
83.5152,41.4586,24.2091,19.7637
83.6676,40.7858,24.0202,19.9008
83.82,40.8362,23.7135,20.038
83.9724,41.8992,23.6949,20.1752
84.1248,41.3475,23.6763,20.19
84.2772,41.6652,23.6838,20.1778
84.4296,42.1859,23.6864,20.1656
84.582,41.4843,23.6768,19.0284
84.7344,40.6799,23.6705,16.9253
84.8868,41.1536,23.6895,14.8222
85.0392,40.8161,23.7001,13.9828
85.1916,40.7057,23.6753,16.7931
85.344,42.0539,23.6677,19.6034
85.4964,41.6739,23.6983,22.4136
85.6488,42.574,22.9222,22.6615
85.8012,43.4651,22.5999,22.8475
85.9536,43.1304,22.4863,23.0334
86.106,42.662,22.41,23.09
86.2584,42.585,22.3337,23.09
86.4108,41.9242,22.3,23.09
86.5632,41.2643,22.259,23.1886
86.7156,41.2966,22.2522,23.4263
86.868,40.2239,22.2131,23.6641
87.0204,40.1459,22.1695,23.7619
87.1728,40.6446,22.1291,22.9542
87.3252,41.0898,22.1037,22.1464
87.4776,41.8731,22.0782,21.3387
87.63,43.4951,22.125,21.1108
87.7824,43.2016,22.1087,20.9828
87.9348,42.8791,22.0833,20.8548
88.0872,43.3788,22.0579,20.9273
88.2396,43.1476,22.0836,21.1498
88.392,43.6597,22.0781,21.3723
88.5444,42.8301,22.0727,21.5558
88.6968,42.4981,22.0912,21.6441
88.8492,41.2765,22.0759,21.7325
89.0016,40.9211,22.0606,21.8191
89.154,42.4104,22.109,21.7307
89.3064,42.2434,22.1191,21.6423
89.4588,43.1299,22.1293,21.5539
89.6112,42.659,22.1974,21.3209
89.7636,41.6877,22.2022,21.0344
