DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
1242.3,38.901852,1865.234375,102.245026,0.345493,8.464574,0.03906,2.310453,2.813286,100.170769,-111.83683,1.43395,12.248462,13.404858,14.235826,15.347344,17.571314,19.230249,26.486588,8.5
1242.4,38.888409,1870.117188,102.571709,0.354362,8.453198,0.039189,2.309811,2.828734,100.241608,-111.51107,1.43963,12.146601,13.286445,14.105164,15.199868,17.388849,19.02063,26.15341,8.5
1242.5,38.811932,1865.234375,102.705528,0.36036,8.441103,0.038979,2.308061,2.850281,100.268951,-111.142685,1.444705,12.790092,13.9553,14.790502,15.905141,18.127413,19.778866,27.050896,8.5
1242.6,39.04575,1865.234375,101.84317,0.363028,8.432236,0.039114,2.307588,2.877591,100.238617,-110.826065,1.458751,11.769045,12.776208,13.49509,14.45084,16.344973,17.743731,23.951811,8.5
1242.7,39.081543,1860.351563,101.647919,0.361266,8.43305,0.039065,2.308036,2.889226,100.292854,-110.585556,1.459516,11.972,12.93474,13.619204,14.525939,16.312883,17.624699,23.517288,8.5
1242.8,39.09317,1865.234375,100.599594,0.357066,8.44311,0.038888,2.308469,2.895346,100.4104,-110.454636,1.477506,12.448733,13.384407,14.046942,14.921417,16.634933,17.88525,23.541758,8.5
1242.9,38.850647,1865.234375,99.944366,0.351619,8.456518,0.038569,2.307436,2.884974,100.643097,-110.445511,1.486424,13.593593,14.579638,15.276425,16.194424,17.988056,19.292866,25.233795,8.5
1243.0,38.983757,1865.234375,100.194527,0.348774,8.467318,0.038603,2.30705,2.880362,100.897163,-110.393753,1.484371,13.06561,14.004322,14.667306,15.540345,17.244843,18.483816,24.132494,8.5
1243.1,39.117699,1870.117188,100.055817,0.349754,8.474283,0.037006,2.303443,2.886317,101.148529,-110.317642,1.451623,11.717534,12.57454,13.180425,13.978996,15.540316,16.676916,21.858574,8.5
1243.2,39.109142,1875.0,100.623199,0.35369,8.479407,0.035106,2.299992,2.917901,101.244469,-110.284142,1.421943,11.375428,12.224514,12.825496,13.61844,15.171311,16.30373,21.442801,8.5
1243.3,39.045658,1879.882813,101.210655,0.357578,8.485307,0.032588,2.295471,2.945791,101.15461,-110.293289,1.398468,11.991623,12.919217,13.577142,14.446862,16.155146,17.404802,23.051216,8.5
1243.4,39.000118,1875.0,103.625175,0.35864,8.490409,0.031631,2.296003,2.972328,100.864632,-110.390701,1.395992,13.303945,14.373225,15.133409,16.140423,18.124899,19.581656,26.104477,8.5
1243.5,38.986168,1875.0,105.895615,0.355629,8.493842,0.031266,2.298545,2.965105,100.489212,-110.539879,1.41104,13.322054,14.460866,15.273657,16.354187,18.495394,20.076439,27.10441,8.5
1243.6,39.024944,1870.117188,110.037689,0.348824,8.496325,0.033004,2.305205,2.974052,100.104134,-110.777344,1.443382,12.856356,14.013911,14.842955,15.948565,18.150301,19.784512,26.965008,8.5
1243.7,38.971027,1865.234375,112.214287,0.340928,8.498602,0.036131,2.312448,2.974891,99.814713,-111.051353,1.487721,12.188163,13.344993,14.176588,15.28933,17.516954,19.179564,26.4363,8.5
1243.8,39.036121,1850.585938,113.817139,0.334237,8.499064,0.040043,2.319369,3.005823,99.629005,-111.35276,1.519501,12.078874,13.250281,14.093674,15.223802,17.491261,19.187561,26.537426,8.5
1243.9,38.996155,1855.46875,112.820305,0.330436,8.495362,0.042291,2.321453,3.01504,99.538376,-111.581093,1.535463,13.075946,14.355085,15.276629,16.512194,18.993444,20.851456,28.91308,8.5
1244.0,38.980537,1875.0,111.388695,0.330882,8.488816,0.044551,2.324488,3.040143,99.53614,-111.873367,1.541817,12.787848,14.005177,14.880448,16.051857,18.397635,20.148981,27.769268,8.5
1244.1,39.02903,1850.585938,107.724785,0.334685,8.483045,0.045221,2.32396,3.035528,99.620811,-112.028625,1.556901,13.01474,14.204101,15.056796,16.195005,18.464964,20.152395,27.570421,8.5
1244.2,39.097698,1850.585938,105.304649,0.339661,8.48083,0.046105,2.323527,3.012701,99.849403,-112.141273,1.566546,13.658554,14.826363,15.659861,16.767931,18.963755,20.585159,27.768387,8.5
1244.3,39.023575,1904.296875,103.539505,0.3439,8.481601,0.045052,2.316445,2.960923,100.221298,-112.205215,1.547371,13.77142,14.891082,15.687651,16.743549,18.826466,20.357119,27.207544,8.5
1244.4,39.010193,1870.117188,104.466965,0.349303,8.483584,0.046163,2.313804,2.919116,100.720596,-112.244789,1.483641,12.944426,13.955902,14.673758,15.623222,17.489738,18.856384,24.986084,8.5
1244.5,39.022263,1860.351563,104.206818,0.356285,8.486082,0.044372,2.303797,2.88707,101.186134,-112.3209,1.40875,11.670054,12.593503,13.249383,14.117476,15.825869,17.078165,22.694748,8.5
1244.6,38.954964,1860.351563,104.535667,0.364317,8.49202,0.043185,2.298524,2.855464,101.469063,-112.576637,1.340886,11.889362,12.874661,13.576484,14.507804,16.34811,17.702915,23.719326,8.5
1244.7,38.961132,1865.234375,102.906837,0.370176,8.503031,0.038147,2.287773,2.838742,101.486626,-112.859764,1.302143,12.114795,13.213227,14.000304,15.050406,17.143024,18.697361,25.530571,8.5
1244.8,38.90519,1865.234375,103.572403,0.373335,8.518284,0.035834,2.2877,2.844971,101.289581,-113.130714,1.304195,12.344679,13.549323,14.417041,15.580246,17.915585,19.663862,27.229691,8.5
1244.9,38.873329,1860.351563,103.813362,0.371043,8.536819,0.033109,2.286481,2.869817,101.003685,-113.432129,1.348165,13.470777,14.862163,15.868709,17.223288,19.959522,22.021126,30.876944,8.5
1245.0,38.993202,1860.351563,105.563179,0.363571,8.55565,0.034981,2.294035,2.895229,100.73024,-113.636108,1.414294,12.93036,14.268474,15.236626,16.539709,19.172478,21.156563,29.642391,8.5
1245.1,39.118534,1865.234375,106.222778,0.352706,8.570495,0.037875,2.299518,2.901008,100.555557,-113.770058,1.460084,12.371819,13.617755,14.517333,15.725827,18.160234,19.989109,27.869717,8.5
1245.2,38.935265,1855.46875,108.818375,0.343921,8.579645,0.043081,2.308434,2.902467,100.451462,-113.785278,1.481621,11.879033,13.002073,13.80915,14.888806,17.049324,18.661161,25.665051,8.5
1245.3,38.800041,1860.351563,110.540733,0.337916,8.582973,0.045899,2.311689,2.898201,100.363258,-113.770058,1.481124,11.779331,12.830079,13.582149,14.584529,16.57889,18.057772,24.561724,8.5
1245.4,39.059727,1855.46875,111.575333,0.334713,8.586711,0.047489,2.313003,2.902175,100.23143,-113.742661,1.491564,12.428692,13.483366,14.235747,15.235535,17.215399,18.676262,25.147654,8.5
1245.5,39.1008,1855.46875,112.125923,0.330416,8.595963,0.048187,2.311,2.899336,100.096687,-113.745705,1.508218,13.604626,14.7361,15.542226,16.612177,18.727098,20.284601,27.213589,8.5
1245.6,38.837055,1855.46875,112.49585,0.326716,8.611621,0.049681,2.307864,2.920793,100.015137,-113.797462,1.530192,12.951192,14.035804,14.808885,15.835386,17.865698,19.361881,26.015064,8.5
1245.7,38.800217,1860.351563,112.483284,0.322834,8.630773,0.052702,2.305118,2.933418,100.036041,-113.937515,1.537324,11.552205,12.54617,13.255884,14.199747,16.071264,17.454054,23.58132,8.5
1245.8,38.922894,1855.46875,109.780762,0.322121,8.644397,0.056026,2.301581,2.947647,100.120491,-114.165848,1.51886,11.193516,12.189847,12.902864,13.853065,15.743218,17.144518,23.323053,8.5
1245.9,38.800873,1860.351563,107.375473,0.32457,8.639287,0.059089,2.300617,2.938968,100.23558,-114.43071,1.480453,11.390118,12.432146,13.179271,14.176629,16.165899,17.644842,24.100388,8.5
1246.0,38.855953,1850.585938,103.911827,0.332537,8.613019,0.059778,2.301672,2.955907,100.31456,-114.744286,1.440758,11.307626,12.398175,13.183033,14.234339,16.342438,17.918564,24.733162,8.5
1246.1,38.900661,1860.351563,103.519478,0.341569,8.583131,0.058321,2.305942,2.97128,100.326164,-114.996986,1.434459,12.378821,13.648472,14.566454,15.801238,18.293558,20.169861,28.185612,8.5
1246.2,38.83065,1855.46875,103.476006,0.349737,8.566645,0.055024,2.3103,2.994294,100.231056,-115.277077,1.458534,12.289715,13.618005,14.582364,15.884408,18.528,20.530535,29.011782,8.5
1246.3,38.819561,1855.46875,105.740936,0.353969,8.568027,0.051958,2.315169,2.993175,100.05825,-115.551071,1.497779,11.843475,13.142353,14.086478,15.362576,17.957878,19.927324,28.230326,8.5
1246.4,38.942326,1855.46875,107.014633,0.35733,8.574427,0.049037,2.316091,3.003213,99.816307,-115.742882,1.544724,11.906304,13.188518,14.119153,15.375332,17.924746,19.855097,28.045391,8.5
1246.5,39.040474,1855.46875,109.063301,0.359203,8.578656,0.048557,2.316582,2.991993,99.554916,-115.940758,1.591731,12.039638,13.258718,14.139268,15.322643,17.70785,19.500868,27.21357,8.5
1246.6,39.013767,1860.351563,109.7341,0.360498,8.572559,0.050029,2.316333,2.983825,99.285561,-116.184326,1.637031,12.757689,13.929855,14.770538,15.893095,18.133028,19.799076,27.101677,8.5
1246.7,38.971714,1860.351563,109.777275,0.359609,8.554497,0.052836,2.316859,2.972296,99.044838,-116.296959,1.66678,12.997542,14.062075,14.819772,15.82456,17.807949,19.266466,25.77545,8.5
1246.8,38.925667,1860.351563,109.845024,0.356966,8.528049,0.056091,2.318433,2.981841,98.849388,-116.357864,1.691973,13.117996,14.092052,14.781281,15.690412,17.470062,18.767273,24.652346,8.5
1246.9,38.906414,1865.234375,110.611115,0.351004,8.500491,0.059407,2.322155,2.998776,98.705254,-116.400475,1.698392,13.205149,14.112693,14.752113,15.592283,17.226997,18.410948,23.870386,8.5
1247.0,39.080086,1865.234375,111.569244,0.343258,8.469765,0.061228,2.325593,3.006663,98.625694,-116.366989,1.698846,13.294703,14.117101,14.693438,15.447059,16.902309,17.94787,22.832508,8.5
1247.1,38.933834,1865.234375,111.503365,0.337349,8.435929,0.060479,2.325569,3.019108,98.66169,-116.175186,1.688336,15.259413,16.081726,16.654409,17.399027,18.824232,19.83865,24.6399,8.5
1247.2,38.944027,1870.117188,110.790825,0.337176,8.411581,0.058985,2.324237,3.040932,98.828026,-115.928589,1.675253,16.239515,16.984489,17.500031,18.166517,19.430807,20.322178,24.598703,8.5
1247.3,39.158737,1870.117188,108.781197,0.345104,8.398747,0.057861,2.322479,3.059282,99.084641,-115.554115,1.656533,15.82213,16.419086,16.829517,17.357014,18.34852,19.040794,22.410984,8.5
1247.4,38.919853,1860.351563,105.77169,0.35848,8.397225,0.056822,2.319689,3.058853,99.361618,-115.213135,1.629608,14.64032,15.048731,15.327316,15.68281,16.343607,16.799534,19.046492,8.5
1247.5,39.061008,1875.0,103.725929,0.374575,8.396535,0.055252,2.315696,3.041324,99.53389,-114.750381,1.58291,14.235127,14.47859,14.643208,14.851614,15.234249,15.4948,16.787645,8.5
