DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1855.6,50.744061,2509.765625,119.528694,0.332456,8.737823,0.024126,2.449872,3.350051,91.843193,-139.209625,4.250697,5.113398,5.086564,5.068752,5.046576,5.006902,4.980627,4.847845,0.136625,0.048944,8.5
1855.7,50.735207,2504.882813,120.988052,0.331734,8.738062,0.031057,2.455094,3.351611,91.917465,-139.233978,4.222148,5.326094,5.302148,5.286244,5.26643,5.230954,5.207435,5.088603,0.136645,0.048963,8.5
1855.8,50.707756,2509.765625,120.080032,0.32619,8.739093,0.039404,2.460938,3.33385,91.838623,-139.233963,4.211629,5.238945,5.225276,5.216185,5.204842,5.184486,5.17096,5.102608,0.136692,0.04901,8.5
1855.9,50.744087,2514.648438,117.470451,0.314992,8.741048,0.045573,2.463897,3.315718,91.634811,-139.227875,4.229043,4.965379,4.963052,4.961501,4.959564,4.956078,4.953756,4.942022,0.136759,0.049078,8.5
1856.0,50.686508,2509.765625,115.023888,0.303639,8.743421,0.046845,2.461175,3.304026,91.378304,-139.191345,4.248905,4.874773,4.880261,4.883924,4.888506,4.896765,4.902278,4.930156,0.136831,0.049149,8.5
1856.1,50.721916,2509.765625,113.903557,0.293133,8.745616,0.04538,2.460059,3.301713,91.126419,-139.139587,4.276318,5.116423,5.120268,5.122834,5.126043,5.131824,5.135682,5.155175,0.136889,0.049207,8.5
1856.2,50.722004,2504.882813,114.459892,0.288605,8.747106,0.039031,2.453326,3.296127,90.942719,-139.063477,4.312121,5.178316,5.17361,5.170475,5.166558,5.159516,5.154827,5.131127,0.136925,0.049243,8.5
1856.3,50.757561,2500.0,115.441994,0.288434,8.747943,0.032826,2.450115,3.29768,90.819817,-139.033035,4.341279,5.172972,5.156503,5.145552,5.131896,5.107408,5.091147,5.008953,0.136941,0.049259,8.5
1856.4,50.725491,2500.0,117.194916,0.29498,8.748131,0.028053,2.448822,3.290337,90.750488,-138.975189,4.348346,5.068362,5.042109,5.024683,5.002985,4.964163,4.93845,4.808391,0.136937,0.049256,8.5
1856.5,50.737206,2524.414063,116.626907,0.303932,8.747709,0.028239,2.455796,3.281374,90.710869,-138.987381,4.348735,5.041573,5.007872,4.985529,4.957741,4.908112,4.875302,4.709347,0.136918,0.049237,8.5
