DEPTH,BS:1,BS:2,BS:3,BS:4,BS:5,BS:6,DNPH:1,DNPH:2,DSO8,DSOZ,DTCO:1,DTCO:2,DTCO:3,DTCO:4,DTRP:1,DTRP:2,DTRP:3,DTRP:4,DTRS:1,DTRS:2,DTRS:3,DTRS:4,DTSM:1,DTSM:2,DTSM:3,DTSM:4,DTTP:1,DTTP:2,DTTP:3,DTTP:4,DTTS:1,DTTS:2,DTTS:3,DTTS:4,DT_XD_R,DT_XD_T,ECGR:1,ECGR:2,ECGR:3,ECGR:4,ECGR:5,ECGR:6,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RLA1:1,RLA1:2,RLA2:1,RLA2:2,RLA3:1,RLA3:2,RLA4:1,RLA4:2,RLA5:1,RLA5:2,RM_HRLT:1,RM_HRLT:2,RT_HRLT:1,RT_HRLT:2,RXO8,RXOZ,RXO_HRLT:1,RXO_HRLT:2,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,TENS:5,TENS:6,TNPH
1732.3308,,8.5,,8.5,8.5,,0.0092976,,,0.000659,,88.7202,,88.7202,,91.0981,,91.0981,,174.3552,,174.3552,,168.7282,,168.7282,,85.9218,,85.9218,,174.5138,,174.5138,171.2948,166.1484,,110.5688,,110.5688,112.0537,,8.8068,8.925,,7.1e-05,,3.9805,,3.5348,,47.2157,,,,3.3501,,2.4706,4.7623,,5.0127,,5.1414,,5.1985,,5.2649,,0.130312,,5.5746,,,5.1064,3.387,,-397.1722,,,1891.2761,,1891.2761,1891.6632,,0.304728
1732.4832,,8.5,,8.5,8.5,,0.009078,,,0.0,,88.1637,,88.1637,,90.7151,,90.7151,,171.7309,,171.7309,,167.5749,,167.5749,,85.4046,,85.4046,,172.9777,,172.9777,169.684,165.4199,,107.2717,,107.2717,109.0925,,8.8349,8.9613,,-0.000532,,4.0328,,3.5814,,47.2157,,,,3.321,,2.4745,4.865,,5.1144,,5.244,,5.3008,,5.3751,,0.132168,,5.678,,,5.1302,3.4826,,-397.221,,,1893.0354,,1893.0354,1891.1104,,0.305846
1732.6356,,8.5,,8.5,8.5,,0.0089928,,,0.0,,87.8408,,87.8408,,90.4049,,90.4049,,168.982,,168.982,,166.6386,,166.6386,,85.1444,,85.1444,,171.9551,,171.9551,168.3073,164.9568,,104.0968,,104.0968,105.3027,,8.8703,8.9777,,-0.000546,,4.0879,,3.6305,,47.2157,,,,3.2848,,2.4788,4.9826,,5.1983,,5.3387,,5.3981,,5.4746,,0.131683,,5.7414,,,5.1896,3.6202,,-397.1387,,,1896.8695,,1896.8695,1897.0173,,0.306683
1732.788,,8.5,,8.5,8.5,,0.0092292,,,0.0,,87.5253,,87.5253,,90.1763,,90.1763,,167.9355,,167.9355,,165.9614,,165.9614,,84.6786,,84.6786,,171.3519,,171.3519,167.3376,164.5847,,102.7672,,102.7672,103.3494,,8.8397,8.9455,,-0.000649,,4.1528,,3.6912,,47.2157,,,,3.2694,,2.4804,5.0389,,5.2237,,5.3647,,5.43,,5.5032,,0.129605,,5.732,,,5.318,3.7175,,-397.1097,,,1897.1157,,1897.1157,1896.1069,,0.306905
1732.9404,,8.5,,8.5,8.5,,0.0093268,,,0.004709,,87.5394,,87.5394,,90.0236,,90.0236,,167.3718,,167.3718,,165.3679,,165.3679,,84.9158,,84.9158,,170.8622,,170.8622,166.4742,164.2175,,102.692,,102.692,103.112,,8.7952,8.9063,,-0.001464,,4.156,,3.7329,,47.2157,,,,3.2892,,2.4768,5.0725,,5.2483,,5.3839,,5.4563,,5.5251,,0.127166,,5.7372,,,5.6334,3.774,,-397.1402,,,1902.6945,,1902.6945,1900.4996,,0.302178
1733.0928,,8.5,,8.5,8.5,,0.0091488,,,0.014591,,87.702,,87.702,,89.821,,89.821,,166.3785,,166.3785,,164.9612,,164.9612,,85.5121,,85.5121,,170.4007,,170.4007,165.8027,164.0362,,102.6394,,102.6394,103.1624,,8.7585,8.8728,,-0.00269,,4.3128,,3.9212,,47.2157,,,,3.3298,,2.4698,5.1851,,5.3559,,5.4927,,5.57,,5.6356,,0.125495,,5.8397,,,6.0556,3.8818,,-397.1418,,,1901.4349,,1901.4349,1905.9984,,0.29118
1733.2452,,8.5,,8.5,8.5,,0.0088048,,,0.0193,,87.8786,,87.8786,,89.6655,,89.6655,,165.9338,,165.9338,,165.0105,,165.0105,,85.9021,,85.9021,,169.8796,,169.8796,165.5485,164.5272,,102.8631,,102.8631,102.918,,8.7534,8.8693,,-0.003124,,4.6421,,4.1939,,47.2157,,,,3.362,,2.4646,5.2842,,5.4467,,5.5842,,5.6627,,5.7279,,0.125088,,5.9236,,,6.1797,3.969,,-397.0168,,,1887.4973,,1887.4973,1891.2971,,0.28176
1733.3976,,8.5,,8.5,8.5,,0.008466,,,0.018739,,88.3821,,88.3821,,89.6746,,89.6746,,166.1851,,166.1851,,165.276,,165.276,,87.1046,,87.1046,,169.7601,,169.7601,165.4306,165.1264,,105.4396,,105.4396,104.5036,,8.7826,8.8964,,-0.002927,,4.4949,,4.0218,,47.2157,,,,3.3761,,2.4611,5.1753,,5.3331,,5.4653,,5.5431,,5.605,,0.126193,,5.7953,,,5.87,3.8884,,-396.8263,,,1880.4541,,1880.4541,1879.7738,,0.278394
1733.55,,8.5,,8.5,8.5,,0.0084316,,,0.017561,,88.9891,,88.9891,,89.6513,,89.6513,,166.5413,,166.5413,,165.2893,,165.2893,,88.3884,,88.3884,,170.0222,,170.0222,165.2221,165.3081,,110.1578,,110.1578,109.2417,,8.8141,8.9325,,-0.002673,,4.1765,,3.7173,,47.2157,,,,3.38,,2.4577,4.9896,,5.1384,,5.2612,,5.3353,,5.3905,,0.128107,,5.5594,,,5.4144,3.7997,,-396.7957,,,1886.4716,,1886.4716,1882.7333,,0.284442
1733.7024,,8.5,,8.5,8.5,,0.0082732,,,0.018659,,89.1914,,89.1914,,88.7038,,88.7038,,166.8938,,166.8938,,165.4508,,165.4508,,88.9958,,88.9958,,170.7616,,170.7616,164.9941,165.8818,,113.9486,,113.9486,113.8547,,8.8536,8.9789,,-0.002036,,4.0334,,3.582,,47.2157,,,,3.3797,,2.4573,4.9494,,5.094,,5.2066,,5.2766,,5.3251,,0.129383,,5.4702,,,5.1521,3.8448,,-396.9375,,,1895.1544,,1895.1544,1894.519,,0.289095
