DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DT:1,DT:2,ECGR:1,ECGR:2,ECGR:3,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTNP,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TNPH:1,TNPH:2
595.122,,8.5,,-0.0018749,,128.9338,,,105.0861,,25.9436,,9.5624,,0.0007,21.2176,17.3141,,1.4301,,1.4024,,,,,34.041,,,2.296,,2.3752,,38.6091,,,787.4891,,0.355862
595.2744,,8.5,,-0.0019125,,125.3185,,,102.9763,,25.9212,,9.5884,,0.0005,21.2503,17.4176,,1.36,,1.36,,,,,34.041,,,2.2944,,2.3451,,38.6011,,,785.5665,,0.361949
595.4268,,8.5,,-0.0021254,,103.1277,,,102.1116,,26.5572,,9.6144,,0.0006,21.7464,17.7885,,1.3783,,1.3691,,,,,34.041,,,2.2905,,2.3277,,37.6955,,,783.9186,,0.361061
595.5792,,8.5,,-0.002937,,99.6625,,,97.6287,,27.548,,9.6518,,0.0008,22.568,18.3765,,1.306,,1.3176,,,,,34.041,,,2.2891,,2.2628,,37.1252,,,779.8445,,0.337692
595.7316,,8.5,,-0.0029251,,103.3579,,,97.6546,,26.6838,,9.6576,,-0.0006,21.881,17.7713,,1.2355,,1.2435,,,,,34.041,,,2.2858,,2.1594,,37.0078,,,784.4819,,0.341696
595.884,,8.5,,-0.0028498,,125.426,,,101.133,,25.3442,,9.6605,,-0.0022,20.7723,16.8534,,1.2913,,1.257,,,,,34.041,,,2.2844,,2.1139,,37.0,,,780.8655,,0.346461
596.0364,,8.5,,-0.0026379,,129.0361,,,109.4436,,24.2036,,9.6836,,-0.0028,19.8323,16.1271,,1.3955,,1.3328,,,,,34.041,,,2.2861,,2.1232,,36.9216,,,788.062,,0.36542
596.1888,,8.5,,-0.0031373,,129.2774,,,110.4182,,24.4303,,9.7268,,-0.0018,20.0174,16.3294,,1.3672,,1.32,,,,,34.041,,,2.2894,,2.1961,,36.5004,,,798.7125,,0.356846
596.3412,,8.5,,-0.0034376,,129.8237,,,105.7526,,25.169,,9.7701,,-0.0002,20.6346,16.9025,,1.4026,,1.3704,,,,,34.041,,,2.2881,,2.2709,,36.6168,,,794.9172,,0.357105
596.4936,,8.5,,-0.0038373,,129.8281,,,102.167,,26.6696,,9.7946,,0.0018,21.8852,17.9676,,1.3048,,1.333,,,,,34.041,,,2.2865,,2.3408,,36.2192,,,784.6661,,0.347456
596.646,,8.5,,-0.0039376,,129.6307,,,105.5168,,26.9548,,9.8105,,0.004,22.1674,18.2466,,1.2945,,1.3118,,,,,34.041,,,2.2869,,2.2737,,36.3978,,,789.4213,,0.347799
596.7984,,8.5,,-0.0042125,,129.0404,,,109.5174,,26.5248,,9.8379,,0.005,21.8602,18.0125,,1.1819,,1.207,,,,,34.041,,,2.2913,,2.1625,,35.5631,,,795.651,,0.345781
596.9508,,8.5,,-0.0045122,,129.7263,,,109.5514,,25.0339,,9.8422,,0.0028,20.652,16.9868,,1.1813,,1.1916,,,,,34.041,,,2.2955,,2.0738,,35.7974,,,788.9108,,0.334574
597.1032,,8.5,,-0.0044003,,130.5177,,,106.3453,,22.8148,,9.8465,,0.0014,18.8103,15.5055,,1.2249,,1.217,,,,,34.041,,,2.293,,2.0894,,36.8582,,,781.0306,,0.341504
597.2556,,8.5,,-0.0046872,,130.6777,,,105.6346,,22.1409,,9.8768,,0.0008,18.2324,15.1027,,1.1844,,1.2224,,,,,34.041,,,2.2879,,2.1672,,35.9851,,,776.4391,,0.34004
597.408,,8.5,,-0.004563,,131.1243,,,112.3065,,23.4668,,9.9129,,0.0013,19.3042,15.9684,,1.1417,,1.2158,,,,,34.041,,,2.2766,,2.2279,,36.0466,,,777.1175,,0.358566
597.5604,,8.5,,-0.005137,,131.2051,,,116.5787,,25.2048,,9.9533,,0.0002,20.7714,17.2102,,1.1089,,1.1798,,,,,34.041,,,2.2703,,2.2626,,36.0239,,,779.6698,,0.344993
597.7128,,8.5,,-0.0049752,,131.489,,,115.536,,25.0376,,9.9663,,-0.0004,20.6959,17.2517,,1.192,,1.2455,,,,,34.041,,,2.2663,,2.256,,36.5069,,,783.4636,,0.3565
597.8652,,8.5,,-0.0050373,,132.7072,,,112.3734,,24.4234,,9.9605,,0.001,20.1862,16.8508,,1.2196,,1.2621,,,,,34.041,,,2.2717,,2.2609,,35.6259,,,779.8376,,0.353286
598.0176,,8.5,,-0.0047749,,134.1582,,,110.711,,24.3237,,9.9634,,0.0026,20.0677,16.7006,,1.1318,,1.2011,,,,,34.041,,,2.2821,,2.2665,,36.3517,,,775.1393,,0.366809
598.17,,8.5,,-0.0043878,,134.1406,,,111.1405,,24.3326,,9.9331,,0.005,20.0236,16.566,,1.1172,,1.1992,,,,,34.041,,,2.2932,,2.2904,,37.1,,,782.2734,,0.37265
598.3224,,8.5,,-0.0044624,,133.104,,,107.5963,,23.9327,,9.8913,,0.0043,19.6368,16.185,,1.1293,,1.2133,,,,,34.041,,,2.2953,,2.3318,,35.275,,,783.7466,,0.354696
598.4748,,8.5,,-0.0044,,133.959,,,102.9716,,23.9061,,9.8639,,0.0041,19.5853,16.112,,1.1237,,1.2137,,,,,34.041,,,2.293,,2.353,,35.7491,,,776.7234,,0.348611
598.6272,,8.5,,-0.0042373,,135.3727,,,103.2735,,24.4262,,9.8321,,0.0049,20.0003,16.4209,,1.1356,,1.2274,,,,,34.041,,,2.2786,,2.3727,,35.1258,,,774.7927,,0.345047
598.7796,,8.5,,-0.0036498,,134.0577,,,105.3003,,24.6477,,9.7975,,0.0191,20.1897,16.6114,,1.1299,,1.2251,,,,,34.041,,,2.2741,,2.4136,,35.5229,,,775.0784,,0.358783
598.932,,8.5,,-0.0028755,,133.461,,,105.6174,,25.9531,,9.7255,,0.0325,21.2981,17.5754,,0.8787,,1.0214,,,,,34.041,,,2.2725,,2.4486,,35.3756,,,779.8376,,0.367001
599.0844,,8.5,,-0.0035639,,134.8435,,,99.3245,,26.7213,,9.8367,,0.0371,21.9329,18.1219,,0.7877,,0.9424,,,,,34.041,,,2.2859,,2.5053,,35.9446,,,781.4773,,0.374647
599.2368,,8.5,,-0.0067612,,133.504,,,98.6532,,26.8297,,10.2877,,0.0271,22.0694,18.2898,,0.9962,,1.1321,,,,,34.041,,,2.2917,,2.5439,,35.4772,,,774.6317,,0.377136
