DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
726.948,9.154,8.5,113.278,-0.007,0.064,8.938,11.294,12.352,12.934,13.952,17.412,115.079,0.0,2.904,2.297,0.383,1.608,1842.4
727.1,9.108,8.5,114.939,0.004,0.073,9.238,12.094,13.293,13.986,15.069,19.086,115.086,0.0,2.897,2.299,0.374,1.654,1882.625
727.253,9.061,8.5,111.159,0.016,0.065,9.057,11.959,13.213,13.877,14.921,18.994,114.968,0.002,2.921,2.305,0.373,1.595,1881.867
727.405,9.007,8.5,119.386,0.007,0.061,8.673,11.463,12.741,13.389,14.345,18.332,114.809,0.002,2.903,2.3,0.374,1.451,1868.4
727.558,8.98,8.5,121.799,0.016,0.061,8.56,11.434,12.751,13.41,14.361,18.432,114.562,0.001,2.913,2.298,0.379,1.419,1901.4
727.71,8.969,8.5,114.642,0.007,0.06,8.529,11.618,13.006,13.696,14.66,18.94,114.286,-0.001,2.991,2.291,0.413,1.42,1945.467
727.862,8.992,8.5,104.449,-0.01,0.053,8.259,11.541,12.962,13.666,14.63,19.023,114.375,-0.003,2.98,2.279,0.399,1.483,1912.067
728.015,8.984,8.5,112.229,-0.007,0.045,7.702,10.79,12.046,12.686,13.584,17.628,114.147,-0.005,2.875,2.293,0.389,1.432,1920.688
728.167,9.003,8.5,108.408,0.037,0.057,7.911,11.332,12.727,13.412,14.36,18.751,113.991,-0.005,2.899,2.285,0.378,1.412,1929.933
728.32,9.015,8.5,109.171,0.012,0.062,7.882,11.547,12.924,13.62,14.608,19.104,114.018,-0.003,2.867,2.289,0.38,1.346,1955.267
728.472,8.992,8.5,123.634,-0.018,0.055,7.645,11.494,12.925,13.583,14.609,19.183,113.907,-0.002,2.863,2.278,0.369,1.368,1916.733
728.624,8.969,8.5,110.028,-0.007,0.052,7.449,11.207,12.569,13.212,14.192,18.638,113.848,-0.003,2.925,2.297,0.369,1.369,1888.734
728.777,8.938,8.5,115.561,-0.011,0.054,7.35,10.77,12.033,12.663,13.598,17.776,113.722,-0.005,2.874,2.293,0.388,1.333,1865.813
728.929,8.945,8.5,102.123,0.046,0.052,7.523,11.101,12.436,13.087,14.062,18.413,113.482,-0.006,3.004,2.272,0.42,1.397,1897.467
729.082,8.945,8.5,112.761,0.036,0.057,7.806,11.662,13.092,13.783,14.824,19.457,113.748,-0.004,2.918,2.282,0.419,1.477,1885.6
729.234,8.945,8.5,117.311,0.003,0.057,8.031,11.769,13.192,13.902,14.919,19.538,114.093,-0.002,2.916,2.292,0.377,1.605,1889.067
729.386,8.922,8.5,106.276,0.007,0.053,8.239,11.962,13.391,14.12,15.133,19.806,114.197,0.0,2.874,2.313,0.388,1.66,1917.313
729.539,8.922,8.5,109.465,-0.001,0.052,8.279,11.646,13.011,13.691,14.671,19.069,114.451,-0.001,2.885,2.311,0.386,1.687,1924.8
729.691,8.876,8.5,114.206,-0.004,0.055,8.394,11.647,12.957,13.658,14.634,18.948,114.162,-0.001,2.891,2.308,0.41,1.685,1939.333
729.844,8.876,8.5,115.149,0.006,0.059,8.705,12.085,13.477,14.23,15.23,19.748,114.127,-0.002,2.923,2.31,0.402,1.758,1894.467
729.996,8.914,8.5,120.053,-0.011,0.055,8.612,11.802,13.066,13.8,14.768,19.043,114.225,-0.002,2.846,2.307,0.443,1.693,1887.2
730.148,8.922,8.5,111.237,0.01,0.062,8.743,12.057,13.355,14.091,15.088,19.482,114.15,-0.001,2.975,2.296,0.442,1.69,1893.813
730.301,8.922,8.5,117.612,0.004,0.056,8.677,11.948,13.24,13.904,14.892,19.209,114.304,0.001,2.837,2.283,0.431,1.661,1916.267
730.453,8.934,8.5,123.693,0.002,0.056,8.487,11.473,12.664,13.283,14.22,18.232,114.429,0.001,2.985,2.28,0.39,1.625,1968.933
730.606,8.957,8.5,118.786,-0.003,0.06,8.833,12.211,13.497,14.135,15.169,19.543,114.209,0.0,2.989,2.271,0.387,1.721,1892.8
730.758,8.98,8.5,112.212,0.008,0.057,8.773,12.109,13.332,13.932,14.969,19.238,114.112,-0.002,2.912,2.295,0.381,1.679,1876.4
730.91,8.992,8.5,112.619,-0.005,0.057,8.743,12.175,13.408,14.037,15.111,19.456,113.916,-0.003,2.875,2.306,0.383,1.622,1984.187
731.063,8.969,8.5,106.124,0.004,0.051,8.273,11.44,12.56,13.134,14.152,18.171,113.405,-0.003,2.864,2.313,0.364,1.607,1942.333
731.215,8.992,8.5,113.686,-0.002,0.047,7.994,10.483,11.423,11.932,12.858,16.23,113.071,-0.005,2.917,2.307,0.372,1.499,1912.733
731.368,8.969,8.5,102.752,0.075,0.054,9.004,11.524,12.566,13.122,14.146,17.714,112.812,-0.005,2.977,2.286,0.356,1.671,1898.733
731.52,9.015,8.5,109.171,-0.022,0.059,9.889,12.366,13.411,13.986,15.052,18.642,112.737,-0.005,2.901,2.3,0.381,1.863,1907.933
731.672,9.046,8.5,116.786,0.017,0.062,9.852,12.019,12.941,13.496,14.485,17.712,113.04,-0.003,2.948,2.29,0.379,1.898,1903.533
731.825,9.061,8.5,120.779,-0.012,0.065,10.052,11.879,12.756,13.288,14.265,17.161,113.599,0.002,2.891,2.299,0.4,1.968,1880.563
731.977,9.123,8.5,107.868,0.044,0.086,10.757,12.395,13.327,13.901,14.929,17.748,114.078,0.004,2.866,2.321,0.387,1.902,1882.667
732.13,9.131,8.5,108.617,0.006,0.087,11.051,12.422,13.406,13.985,15.006,17.64,114.397,0.004,2.852,2.3,0.368,2.165,1881.467
732.282,9.108,8.5,109.583,-0.009,0.087,11.289,12.313,13.229,13.822,14.821,17.099,114.726,0.002,2.897,2.3,0.384,2.399,1912.133
732.434,9.154,8.5,119.208,0.01,0.088,10.999,11.733,12.596,13.2,14.144,16.125,114.827,0.001,2.881,2.292,0.397,2.036,1885.133
732.587,9.108,8.5,121.008,-0.008,0.082,10.978,11.65,12.467,13.14,14.044,15.967,114.844,0.0,2.88,2.298,0.406,2.013,1907.875
