DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DPHZ:1,DPHZ:2,DSOZ:1,DSOZ:2,DT:1,DT:2,ECGR,EHGR:1,EHGR:2,GR:1,GR:2,GR:3,GR_EDIT,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HRLD:1,HRLD:2,HRLS:1,HRLS:2,HTEM:1,HTEM:2,HTNP:1,HTNP:2,PEF8:1,PEF8:2,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,VCL
900.9888,,6.125,,0.0224046,,0.2037,,0.177621,,106.9624,106.9213,,0.9308,106.9213,,,106.9213,,18.5178,,6.732,,0.0531,,14.799,,12.5781,,33.8414,,0.340074,,3.3357,,2.3616,,3.4147,,58.1721,,1000.4773,,,
901.1412,,6.125,,0.0226231,,0.1975,,0.176398,,106.3787,105.8915,,0.9298,105.8915,,,105.8915,,17.684,,6.7093,,0.0554,,14.5644,,12.3515,,33.8414,,0.333749,,3.3558,,2.3723,,3.4653,,58.2981,,989.9757,,,
901.2936,,6.125,,0.0224307,,0.1945,,0.170085,,105.4233,105.5141,,0.9298,105.5141,,,105.5141,,19.2457,,6.709,,0.0539,,15.6199,,13.2402,,33.8414,,0.320502,,3.373,,2.3775,,3.6249,,58.2346,,980.8844,,,
901.446,,6.125,,0.0222647,,0.1958,,0.167796,,105.2001,105.2008,,0.9291,105.2008,,,105.2008,,22.6284,,6.6927,,0.052,,17.3529,,14.659,,33.8414,,0.317227,,3.4014,,2.3752,,3.6841,,58.1702,,986.9122,,,
901.5984,,6.125,,0.0229277,,0.1965,,0.176531,,105.2293,103.2163,,0.9258,103.2163,,,103.2163,,23.8875,,6.6168,,0.0532,,18.2313,,15.3326,,33.8414,,0.324061,,3.435,,2.3739,,3.5811,,58.3125,,994.3573,,,
901.7508,,6.125,,0.0238261,,0.1953,,0.192089,,105.4647,99.4646,,0.9225,99.4646,,,99.4646,,22.6012,,6.542,,0.0562,,17.9703,,14.9958,,33.8414,,0.33157,,3.4492,,2.376,,3.3904,,58.624,,987.7354,,,
901.9032,,6.125,,0.0246216,,0.1987,,0.20077,,106.2482,95.1805,,0.9187,95.1805,,,95.1805,,22.666,,6.4566,,0.0568,,17.7656,,14.5763,,33.8414,,0.341162,,3.4218,,2.3703,,3.247,,59.0317,,969.7943,,,
902.0556,,6.125,,0.0258246,,0.2109,,0.194104,,106.9958,91.3711,,0.9128,91.3711,,,91.3711,,23.6392,,6.3227,,0.0531,,17.2207,,13.9155,,33.8414,,0.352367,,3.3539,,2.3494,,3.0098,,59.5298,,955.2598,,,
902.208,,6.125,,0.0266845,,0.2248,,0.178039,,107.0611,89.1004,,0.9093,89.1004,,,89.1004,,20.9669,,6.2454,,0.0467,,14.8824,,11.9886,,33.8414,,0.350838,,3.2719,,2.3255,,2.5478,,60.2337,,954.1557,,,
902.3604,,6.125,,0.0266201,,0.2277,,0.167608,,106.6894,88.7972,,0.909,88.7972,,,88.7972,,15.2303,,6.237,,0.0422,,12.2545,,9.9337,,33.8414,,0.338874,,3.2201,,2.3205,,2.2107,,61.1404,,958.6502,,,
902.5128,,6.125,,0.026403,,0.2173,,0.1684,,106.4257,90.727,,0.9091,90.727,,,90.727,,14.4223,,6.2397,,0.0425,,11.9021,,9.5899,,33.8414,,0.33156,,3.2256,,2.3384,,2.3001,,62.1558,,964.4421,,,
902.6652,,6.125,,0.0264447,,0.2052,,0.168601,,106.1622,93.335,,0.9097,93.335,,,93.335,,19.2905,,6.2542,,0.0454,,14.0804,,11.1726,,33.8414,,0.337147,,3.2702,,2.359,,2.7367,,63.2962,,970.2686,,,
902.8176,,6.125,,0.0267292,,0.2025,,0.155795,,106.0345,96.0967,,0.9104,96.0967,,,96.0967,,22.4162,,6.2688,,0.0456,,16.428,,13.011,,33.8414,,0.340593,,3.3099,,2.3637,,3.1192,,64.7164,,967.9166,,,
902.97,,6.125,,0.0268492,,0.2072,,0.135867,,106.2876,97.5998,,0.9105,97.5998,,,97.5998,,22.422,,6.2714,,0.042,,16.9032,,13.421,,33.8414,,0.341313,,3.3216,,2.3557,,3.2179,,66.5462,,956.4871,,,
903.1224,,6.125,,0.0268,,0.2114,,0.124715,,106.6677,97.5349,,0.9104,97.5349,,,97.5349,,21.4733,,6.2688,,0.0391,,16.3474,,13.0276,,33.8414,,0.343677,,3.3223,,2.3485,,3.1477,,68.7481,,946.7244,,,
903.2748,,6.125,,0.0268492,,0.2131,,0.124858,,107.672,95.5752,,0.9097,95.5752,,,95.5752,,20.4636,,6.2542,,0.0385,,15.8505,,12.7063,,33.8414,,0.344754,,3.3156,,2.3456,,3.0492,,71.4193,,947.8273,,,
903.4272,,6.125,,0.0269261,,0.2155,,0.126446,,108.998,91.9298,,0.9089,91.9298,,,91.9298,,19.9695,,6.2369,,0.0373,,15.2958,,12.2622,,33.8414,,0.351748,,3.2914,,2.3415,,2.9446,,74.4548,,959.25,,,
