DEPTH,ADTEMP:1,ADTEMP:2,ADTEMP:3,ARH16P:1,ARH16P:2,ARH16P:3,ARH32P:1,ARH32P:2,ARH32P:3,ARH48P:1,ARH48P:2,ARH48P:3,DGRCC:1,DGRCC:2,DGRCC:3,DGRCC:4,GBCGC:1,GBCGC:2,GBCGC:3,R09P:1,R09P:2,R09P:3,R15P:1,R15P:2,R15P:3,R27P:1,R27P:2,R27P:3,R39P:1,R39P:2,R39P:3,TVD:1,TVD:2,TVD:3,TVD:4
419.1,29.9072,,,,,,,,,,,,75.8423,76.7852,,,,,,20.8702,20.7176,20.7176,38.7312,38.7659,38.7659,40.4312,40.6972,40.6972,36.0026,36.3283,36.3283,417.8779,417.8777,,
419.2524,29.9072,,,,,,,,,,,,76.8637,77.328,,,,,,14.6797,14.4552,14.4552,24.2714,23.9677,23.9677,26.4229,26.1098,26.1098,27.4819,27.1343,27.1343,418.0309,418.0317,,
419.4048,29.9072,,,,,,,,,,,,81.3645,79.3843,,,,,,8.0267,8.755,8.755,13.6225,21.1507,21.1507,16.7775,18.779,18.779,19.4266,20.9943,20.9943,418.1964,418.2297,,
419.5572,29.9072,,,,,,,,,,,,74.7568,75.0367,,,,,,25.9099,25.0099,25.0099,704.3264,619.4346,619.4346,110.7486,106.7264,106.7264,66.5132,64.862,64.862,418.3085,418.3013,,
419.7096,29.9072,,,,,,,,,,,,75.0704,76.8942,,,,,,25.9829,25.8789,25.8789,299.8364,359.9751,359.9751,75.797,79.6807,79.6807,53.2824,54.7076,54.7076,418.4693,418.4565,,
419.862,29.9072,,,,,,,,,,,,83.6316,83.3862,,,,,,16.7921,17.3096,17.3096,36.3518,39.3918,39.3918,38.0043,39.4357,39.4357,35.1873,35.9656,35.9656,418.621,418.6198,,
420.0144,29.9072,,,,,,,,,,,,77.9991,77.9237,,,,,,19.3159,18.7966,18.7966,36.2451,35.101,35.101,38.9495,37.9364,37.9364,35.8227,35.2029,35.2029,418.7617,418.7611,,
420.1668,29.9072,,,,,,,,,,,,79.2481,78.7496,,,,,,16.0722,16.0642,16.0642,27.488,27.608,27.608,29.8817,30.0781,30.0781,30.2328,30.4277,30.4277,418.9213,418.9199,,
420.3192,29.9072,,,,,,,,,,,,71.5809,72.2445,,,,,,13.8936,13.9099,13.9099,24.2746,24.3259,24.3259,27.7431,27.7334,27.7334,29.5902,29.4398,29.4398,419.0637,419.0756,,
420.4716,29.9072,,,,,,,,,,,,76.5334,76.24,,,,,,11.9392,12.0231,12.0231,23.0439,23.2019,23.2019,26.7537,26.8936,26.8936,28.1488,28.2954,28.2954,419.2188,419.2206,,
420.624,29.9072,,,,,,,,,,,,79.0464,78.4677,,,,,,12.3025,12.2661,12.2661,27.4894,27.3316,27.3316,31.0016,30.8578,30.8578,31.4472,31.2716,31.2716,419.3604,419.3619,,
420.7764,29.9072,,,,,,,,,,,,75.8301,75.7084,,,,,,12.2056,12.2896,12.2896,28.646,28.8794,28.8794,32.552,32.7655,32.7655,32.0776,32.2226,32.2226,419.5137,419.5142,,
420.9288,29.9072,,,,,,,,,,,,72.2294,73.0057,,,,,,12.6859,12.644,12.644,30.0581,29.8808,29.8808,34.421,34.2897,34.2897,33.1318,32.9952,32.9952,419.6582,419.6596,,
421.0812,29.9072,,,,,,,,,,,,78.111,76.9951,,,,,,11.5657,11.6376,11.6376,26.9316,27.2815,27.2815,32.6922,33.0596,33.0596,32.1753,32.4292,32.4292,419.8099,419.8102,,
421.2336,29.9072,,,,,,,,,,,,74.2931,75.5673,,,,,,11.7042,11.6522,11.6522,29.1872,28.949,28.949,35.5799,35.3067,35.3067,33.7634,33.6374,33.6374,419.9566,419.9555,,
