DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
1799.5392,8.5,,8.5,-0.0005742,,-0.0010893,97.6764,,97.6437,118.9362,115.9533,,10.4897,,10.4442,0.049936,,0.0503,1.3166,,1.3051,1.4758,,1.4608,51.3421,,51.3421,0.293195,,3.3823,,3.4578,2.4146,,2.4147,5.1196,,5.1127,5.1394,,5.1364,5.1803,,5.1745,5.2225,,5.2195,5.2448,,5.2435,5.4342,,5.4311,3.1534,,3.1319,-34.4249,,-34.3938,1850.7821,,1858.2952,0.2954
1799.6916,8.5,,8.5,0.0001893,,0.0002796,97.9738,,98.0517,116.5572,115.2938,,10.2049,,10.2068,0.040651,,0.0408,1.2868,,1.288,1.4401,,1.4436,51.3421,,51.3421,0.293482,,3.4526,,3.4557,2.4278,,2.4072,5.0635,,5.0799,5.0616,,5.0844,5.0987,,5.1191,5.1341,,5.1557,5.1546,,5.1818,5.1129,,5.2588,3.0452,,2.9579,-34.6921,,-34.6598,1839.1249,,1840.0958,0.2911
1799.844,8.5,,8.5,0.0003622,,0.000577,97.9013,,97.9325,116.0743,119.0751,,10.3461,,10.2153,0.034613,,0.0342,1.2039,,1.1956,1.3312,,1.3253,51.3421,,51.3421,0.305854,,3.4949,,3.4533,2.4046,,2.3997,4.8801,,4.8678,4.863,,4.8475,4.8972,,4.877,4.923,,4.9032,4.9412,,4.925,4.5914,,4.5784,2.7089,,2.7713,-35.0982,,-35.1018,1816.0695,,1816.3845,0.3015
1799.9964,8.5,,8.5,2.97e-05,,-0.0001026,97.79,,97.743,117.9842,117.7601,,10.507,,10.4125,0.03695,,0.0364,1.2398,,1.2331,1.3488,,1.34,51.3421,,51.3421,0.320883,,3.4823,,3.4511,2.3962,,2.4025,4.7823,,4.7729,4.7593,,4.7544,4.7953,,4.7886,4.8169,,4.8073,4.8325,,4.8213,4.3938,,4.3485,2.6541,,2.6656,-35.4295,,-35.4535,1807.0076,,1802.6086,0.3188
1800.1488,8.5,,8.5,-0.0003876,,-0.0002974,97.7473,,97.774,115.6136,113.304,,10.4687,,10.4774,0.041577,,0.0417,1.3368,,1.3613,1.4298,,1.446,51.3421,,51.3421,0.319125,,3.4693,,3.4532,2.4119,,2.417,4.805,,4.7969,4.764,,4.753,4.7949,,4.7871,4.8173,,4.8087,4.8285,,4.8176,4.3873,,4.3609,2.7371,,2.725,-35.5281,,-35.5669,1824.2354,,1820.9607,0.3251
1800.3012,8.5,,8.5,-0.0013897,,-0.0012743,97.8214,,97.7643,115.1559,114.0393,,10.6346,,10.5488,0.041573,,0.0416,1.4597,,1.4506,1.5382,,1.5204,51.3421,,51.3421,0.307811,,3.4361,,3.458,2.427,,2.4323,4.8561,,4.8546,4.7845,,4.7797,4.8065,,4.8072,4.8307,,4.8308,4.8361,,4.8365,4.5013,,4.4164,2.8591,,2.8758,-35.4793,,-35.4723,1827.0258,,1835.7919,0.3115
1800.4536,8.5,,8.5,-0.0021221,,-0.0023354,97.6174,,97.7489,115.3793,116.4778,,10.6411,,10.667,0.038089,,0.0383,1.6655,,1.6492,1.71,,1.708,51.3421,,51.3421,0.304668,,3.4319,,3.467,2.4405,,2.4424,4.8965,,4.8939,4.8003,,4.7986,4.8154,,4.8163,4.8408,,4.841,4.8405,,4.8438,4.7879,,4.5657,3.0357,,2.9934,-35.4627,,-35.4491,1788.2015,,1791.6578,0.303
1800.606,8.5,,8.5,-0.0017574,,-0.0018814,96.8531,,96.8899,115.2213,114.0968,,10.4823,,10.6254,0.036696,,0.0364,1.6902,,1.6858,1.7409,,1.7428,51.3421,,51.3421,0.312778,,3.4751,,3.4766,2.4507,,2.4426,4.9262,,4.9344,4.8037,,4.8149,4.8157,,4.8229,4.8446,,4.8492,4.8374,,4.8412,5.0409,,4.9999,3.1169,,3.121,-35.4501,,-35.4652,1748.6053,,1742.5419,0.3085
1800.7584,8.5,,8.5,-0.0017696,,-0.0014761,96.1665,,96.0669,115.8338,115.1742,,10.5639,,10.6143,0.039896,,0.0396,1.5708,,1.5085,1.6568,,1.6062,51.3421,,51.3421,0.316391,,3.5218,,3.4886,2.4324,,2.4348,4.8921,,4.9028,4.7431,,4.7593,4.7525,,4.7687,4.7808,,4.796,4.7656,,4.7809,5.029,,5.0749,3.1032,,3.108,-35.353,,-35.3634,1732.1754,,1731.9962,0.3179
1800.9108,8.5,,8.5,-0.0028044,,-0.0027956,95.8518,,95.8458,118.8448,119.7186,,10.6809,,10.7901,0.04248,,0.0424,1.5458,,1.4781,1.6388,,1.5881,51.3421,,51.3421,0.315804,,3.5111,,3.5035,2.4098,,2.4221,4.8929,,4.8687,4.7415,,4.7181,4.7622,,4.7335,4.7865,,4.7527,4.7646,,4.7306,5.0351,,5.0108,3.0966,,3.0316,-35.1495,,-35.1643,1761.7026,,1750.2533,0.3144
