DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR:1,ECGR:2,ECGR:3,HART:1,HART:2,HART:3,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HLLD,HLLS,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HRLD:1,HRLD:2,HRLS:1,HRLS:2,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RXO8:1,RXO8:2,RXOZ,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
193.2432,,,8.5,,,-0.0068003,,,70.813,,,49.9388,,,3.1115,,,3.6695,,,0.233,0.0405,0.0051,,,0.1103,,,0.0764,,,,,,,27.2959,,,,,9.1374,,,2.2155,,,0.0808,,,47.6811,,,668.1594,0.444555
193.3956,,,8.5,,,-0.0067003,,,70.9007,,,49.9423,,,9.1611,,,3.6694,,,0.2332,0.042,0.0039,,,0.1111,,,0.0771,,,,,,,27.2952,,,,,9.0951,,,2.2102,,,0.0816,,,47.3758,,,676.2848,0.422059
193.548,,,8.5,,,-0.0070989,,,57.4778,,,49.7747,,,4.4122,,,3.6694,,,0.2346,0.0415,0.0039,,,0.111,,,0.0775,,,,,,,27.2952,,,,,9.0357,,,2.2001,,,0.0824,,,45.8166,,,677.6634,0.504682
193.7004,,,8.5,,,-0.0072995,,,57.2434,,,48.8775,,,3.0864,,,3.6929,,,0.2369,0.0419,0.0065,,,0.1121,,,0.0781,,,,,,,27.5741,,,,,8.9678,,,2.1875,,,0.0829,,,47.9319,,,681.2862,0.531929
193.8528,,,8.5,,,-0.0070008,,,57.3265,,,51.9738,,,3.5617,,,3.6695,,,0.2413,0.0404,0.0055,,,0.1125,,,0.0784,,,,,,,27.2959,,,,,8.9182,,,2.1799,,,0.0832,,,46.8155,,,673.6049,0.48632
194.0052,,,8.5,,,-0.0067008,,,65.1428,,,49.5931,,,2.6985,,,3.6812,,,0.2403,0.0415,0.0084,,,0.1129,,,0.0786,,,,,,,27.5741,,,,,8.8635,,,2.1736,,,0.0834,,,46.0021,,,670.8702,0.433738
194.1576,,,8.5,,,-0.0066003,,,65.5735,,,48.5415,,,3.3871,,,3.693,,,0.2368,0.0438,0.01,,,0.113,,,0.0787,,,,,,,27.5748,,,,,8.823,,,2.16,,,0.0834,,,46.4987,,,674.9347,0.416645
194.31,,,8.5,,,-0.0068992,,,73.0107,,,47.6741,,,9.9285,,,3.693,,,0.2307,0.0446,0.0068,,,0.1132,,,0.0787,,,,,,,27.5748,,,,,8.8002,,,2.1395,,,0.0833,,,45.5026,,,674.9454,0.460086
194.4624,,,8.5,,,-0.0069,,,72.9854,,,50.5431,,,3.2844,,,3.693,,,0.2405,0.0417,0.0074,,,0.1127,,,0.0786,,,,,,,27.5748,,,,,8.7979,,,2.1429,,,0.0833,,,44.5026,,,673.5883,0.475161
194.6148,,,8.5,,,-0.0069,,,73.1105,,,52.7317,,,3.0836,,,3.693,,,0.2453,0.0427,0.0072,,,0.1126,,,0.0785,,,,,,,27.5748,,,,,8.7947,,,2.1491,,,0.0832,,,44.0013,,,679.0135,0.46752
194.7672,,,8.5,,,-0.0066008,,,72.8146,,,52.1631,,,3.6584,,,3.693,,,0.249,0.0416,0.0045,,,0.1127,,,0.0784,,,,,,,27.5748,,,,,8.7816,,,2.1626,,,0.083,,,42.0676,,,667.2653,0.416434
194.9196,,,8.5,,,-0.0064005,,,65.5005,,,50.309,,,3.5639,,,3.6695,,,0.248,0.0402,0.0043,,,0.112,,,0.078,,,,,,,27.5748,,,,,8.7855,,,2.1724,,,0.0827,,,41.1898,,,674.9252,0.390568
195.072,,,8.5,,,-0.0063003,,,65.0316,,,46.5796,,,2.3092,,,3.6929,,,0.2481,0.043,0.0137,,,0.1121,,,0.078,,,,,,,27.5748,,,,,8.7944,,,2.1857,,,0.0827,,,39.8784,,,673.1359,0.37145
195.2244,,,8.5,,,-0.0063997,,,64.9207,,,51.164,,,2.6472,,,3.693,,,0.2467,0.0396,0.0043,,,0.1115,,,0.0779,,,,,,,27.5748,,,,,8.8245,,,2.192,,,0.0828,,,39.1893,,,676.2979,0.387159
195.3768,,,8.5,,,-0.006799,,,64.9949,,,53.8595,,,3.6343,,,3.6695,,,0.2375,0.044,40837.4336,,,0.112,,,0.078,,,,,,,27.5748,,,,,8.8577,,,2.181,,,0.0827,,,39.1252,,,679.9254,0.444649
195.5292,,,8.5,,,-0.0069995,,,65.2789,,,58.3531,,,3.6234,,,3.6812,,,0.2343,0.0414,107.4699,,,0.112,,,0.0779,,,,,,,27.5748,,,,,8.9133,,,2.1736,,,0.0824,,,39.125,,,673.149,0.487488
195.6816,,,8.5,,,-0.0073989,,,72.7351,,,56.4859,,,3.2405,,,3.693,,,0.237,0.0404,0.0042,,,0.112,,,0.0777,,,,,,,27.5748,,,,,8.9888,,,2.1743,,,0.082,,,39.0627,,,681.7267,0.565695
195.834,,,8.5,,,-0.0072005,,,72.5736,,,55.2422,,,3.0963,,,3.693,,,0.2515,0.0405,0.0061,,,0.1114,,,0.0774,,,,,,,27.5748,,,,,9.0686,,,2.1892,,,0.0818,,,39.2495,,,672.7013,0.528997
195.9864,,,8.5,,,-0.0073995,,,72.5628,,,53.8452,,,2.3791,,,3.693,,,0.2619,0.0404,0.0087,,,0.1103,,,0.077,,,,,,,27.5748,,,,,9.1222,,,2.2026,,,0.0817,,,37.6293,,,685.3447,0.567897
196.1388,,,8.5,,,-0.0072005,,,72.8287,,,52.1707,,,4.4715,,,3.6695,,,0.2687,0.0379,0.0,,,0.1103,,,0.077,,,,,,,27.5748,,,,,9.1534,,,2.2125,,,0.0819,,,38.6224,,,676.33,0.525612
196.2912,,,8.5,,,-0.0069008,,,72.8704,,,51.4,,,3.7133,,,3.6929,,,0.2686,0.0386,0.0006,,,0.1108,,,0.0773,,,,,,,27.5748,,,,,9.1416,,,2.2198,,,0.0821,,,38.9367,,,679.0206,0.473138
196.4436,,,8.5,,,-0.0067005,,,73.5518,,,51.4174,,,3.0093,,,3.693,,,0.2692,0.0391,0.0031,,,0.1116,,,0.0777,,,,,,,27.5748,,,,,9.1365,,,2.2248,,,0.0823,,,37.7531,,,685.3614,0.438192
196.596,,,8.5,,,-0.0067997,,,65.2411,,,53.7255,,,2.8499,,,3.6695,,,0.2769,0.0413,0.0059,,,0.1126,,,0.0782,,,,,,,27.5748,,,,,9.1144,,,2.2399,,,0.0827,,,35.5059,,,678.1396,0.455255
196.7484,,,8.5,,,-0.0068,,,65.2014,,,53.857,,,2.9285,,,3.6694,,,0.2806,0.0414,0.0067,,,0.1144,,,0.0791,,,,,,,27.5748,,,,,9.1056,,,2.245,,,0.0833,,,35.2507,,,680.3826,0.445326
196.9008,,,8.5,,,-0.0068,,,57.1906,,,51.1924,,,2.7041,,,3.6694,,,0.279,0.0394,0.0055,,,0.1145,,,0.0795,,,,,,,27.5748,,,,,9.0573,,,2.2466,,,0.0843,,,36.8707,,,675.8646,0.454376
197.0532,,,8.5,,,-0.0067003,,,65.8969,,,47.5345,,,3.5132,,,3.6929,,,0.2672,0.039,0.0022,,,0.1186,,,0.0817,,,,,,,27.5748,,,,,9.0138,,,2.2316,,,0.0856,,,31.0778,,,676.305,0.441634
197.2056,,,8.5,,,-0.0071987,,,57.3517,,,46.5682,,,5.2452,,,3.6812,,,0.2543,0.0404,0.0033,,,0.1196,,,0.0826,,,,,,,27.5748,,,,,8.9974,,,2.2178,,,0.0857,,,32.1845,,,674.949,0.521091
197.358,,,8.5,,,-0.0072,,,58.5583,,,50.1779,,,2.9958,,,3.6694,,,0.2508,0.0424,0.0061,,,0.1175,,,0.0809,,,,,,,27.5748,,,,,9.0434,,,2.213,,,0.0848,,,28.4473,,,679.9218,0.528481
197.5104,,,8.5,,,-0.0072997,,,58.6831,,,51.6926,,,2.6384,,,3.6694,,,0.25,0.042,0.0083,,,0.1137,,,0.0789,,,,,,,27.5748,,,,,9.108,,,2.2158,,,0.0836,,,26.4427,,,680.3873,0.55134
197.6628,,,8.5,,,-0.0073,,,66.0742,,,52.079,,,2.8752,,,3.6694,,,0.2526,0.0415,0.0073,,,0.1144,,,0.0793,,,,,,,27.5748,,,,,9.1886,,,2.2241,,,0.0836,,,27.0609,,,681.7457,0.550502
197.8152,,,8.5,,,-0.0074995,,,76.4869,,,50.2248,,,2.2671,,,3.6929,,,0.2625,0.0386,0.0054,,,0.116,,,0.08,,,,,,,27.5748,,,,,9.2458,,,2.2598,,,0.0842,,,25.1924,,,669.5345,0.59997
197.9676,,,8.5,,,-0.0070013,,,89.0504,,,47.5119,,,2.2159,,,3.6812,,,0.2844,0.0327,0.0049,,,0.1183,,,0.0811,,,,,,,27.5748,,,,,9.2841,,,2.3222,,,0.0846,,,24.5641,,,679.0027,0.488294
198.12,,,8.5,,,-0.0068005,,,88.3888,,,43.5137,,,4.2429,,,3.693,,,0.3018,0.0428,0.008,,,0.1188,,,0.0822,,,,,,,27.5748,,,,,9.2843,,,2.3803,,,0.0882,,,22.2561,,,662.2889,0.448803
198.2724,,,8.5,,,-0.0069995,,,88.6128,,,42.0774,,,2.7543,,,3.6695,,,0.3088,0.1077,0.0135,,,0.1189,,,0.0848,,,,,,,27.5748,,,,,9.2607,,,2.398,,,0.0902,,,21.1903,,,671.2929,0.4868
198.4248,,,8.5,,,-0.0072992,,,88.8042,,,46.8182,,,3.2372,,,3.6929,,,0.2866,0.1239,0.0099,,,0.126,,,0.0861,,,,,,,27.5748,,,,,9.2431,,,2.347,,,0.0885,,,21.2498,,,671.3167,0.546044
198.5772,,,8.5,,,-0.0073997,,,84.1405,,,51.597,,,1.2376,,,3.693,,,0.2716,0.0354,0.0051,,,0.1183,,,0.0802,,,,,,,27.5748,,,,,9.2579,,,2.2945,,,0.0834,,,20.7513,,,674.9359,0.565848
198.7296,,,8.5,,,-0.0068016,,,76.2736,,,54.6061,,,1.9973,,,3.6695,,,0.2569,0.0361,0.0065,,,0.1097,,,0.0761,,,,,,,27.5748,,,,,9.2942,,,2.2531,,,0.0808,,,23.8045,,,677.2074,0.455491
198.882,,,8.5,,,-0.0066005,,,83.3963,,,55.3814,,,2.2242,,,3.6929,,,0.2588,0.041,0.0102,,,0.1092,,,0.0762,,,,,,,27.5748,,,,,9.3195,,,2.246,,,0.081,,,23.9995,,,681.285,0.422386
199.0344,,,8.5,,,-0.0066997,,,78.4553,,,56.4828,,,5.7936,,,3.6695,,,0.257,0.0425,0.0062,,,0.1102,,,0.0769,,,,,,,27.5748,,,,,9.32,,,2.2416,,,0.0817,,,24.8104,,,675.4146,0.438059
199.1868,,,8.5,,,-0.0067997,,,80.0619,,,56.3627,,,2.9144,,,3.6929,,,0.2542,0.042,0.0073,,,0.1113,,,0.0776,,,,,,,27.5748,,,,,9.308,,,2.2341,,,0.0824,,,24.3138,,,676.3038,0.462436
199.3392,,,8.5,,,-0.0069995,,,81.3958,,,52.8394,,,2.8218,,,3.693,,,0.2565,0.0404,0.0041,,,0.1124,,,0.0781,,,,,,,27.5748,,,,,9.3137,,,2.2387,,,0.0822,,,26.2449,,,685.3542,0.502993
199.4916,,,8.5,,,-0.0068005,,,70.0257,,,51.4901,,,2.8248,,,3.693,,,0.2572,0.0382,0.0021,,,0.1119,,,0.0774,,,,,,,27.5748,,,,,9.3213,,,2.2413,,,0.0818,,,27.9331,,,672.7108,0.463504
199.644,,,8.5,,,-0.0068,,,70.316,,,49.7036,,,2.3606,,,3.6695,,,0.2532,0.0394,0.0066,,,0.1096,,,0.0766,,,,,,,27.5748,,,,,9.321,,,2.2411,,,0.0815,,,28.6232,,,684.8923,0.458413
199.7964,,,8.5,,,-0.0062016,,,69.8759,,,49.3638,,,2.3709,,,3.6694,,,0.2455,0.0402,0.0066,,,0.1114,,,0.0775,,,,,,,27.5748,,,,,9.3065,,,2.2301,,,0.082,,,28.8743,,,671.3524,0.367739
