DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DSO8,DSOZ,DT:1,DT:2,ECGR:1,ECGR:2,HART:1,HART:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TNPH
1776.0696,8.5,8.5,0.0100973,0.0115331,0.003,0.098699,88.641,87.8643,117.7737,123.0264,5.6619,5.6895,0.0018,0.045169,5.3125,5.7098,4.8512,1.5612,4.3079,1.8444,5.5566,5.9232,47.1479,48.2664,0.296865,3.3188,3.3881,2.4945,2.5305,6.1641,5.1595,-454.0231,-441.4389,1738.1222,1799.7992,0.297591
1776.222,8.5,8.5,0.0101124,0.0089876,0.014,0.054445,88.0383,88.1094,118.4605,131.5647,5.9738,6.1567,0.002,0.024199,5.3445,5.7547,4.5599,4.479,4.1121,3.9892,5.8471,6.203,47.1479,48.2664,0.290342,3.2546,3.3277,2.4944,2.5192,6.2159,5.4307,-454.0392,-441.3836,1761.4946,1822.1896,0.278134
1776.3744,8.5,8.5,0.0103259,0.0099885,0.0002,0.016324,88.0171,88.0433,120.8611,129.9647,6.0991,5.9783,0.0015,0.007338,5.3904,5.8049,3.5252,4.1592,3.3242,3.7885,5.9615,6.3008,47.1479,48.2664,0.286911,3.2003,3.2717,2.4908,2.5074,5.7849,5.9506,-454.1245,-441.6774,1767.3073,1774.3479,0.275622
1776.5268,8.5,8.5,0.0109634,0.0106092,-0.0007,0.000364,87.942,87.767,122.0446,123.6539,5.8447,5.8651,-0.0005,0.000573,5.3792,5.7933,3.9013,3.8412,3.5862,3.5396,5.7131,6.058,47.1479,48.2664,0.293602,3.2661,3.2672,2.4886,2.4986,5.7559,6.0442,-454.2628,-441.5812,1747.7438,1776.8051,0.270738
1776.6792,8.5,8.5,0.0110446,0.0115585,-0.0011,0.0,87.7416,87.1708,120.0996,112.9211,5.8553,5.8136,-0.0023,0.001175,5.3145,5.7312,4.9071,4.68,4.3544,4.193,5.7328,6.0901,47.1479,48.2664,0.290657,3.2741,3.2323,2.4811,2.5042,6.2099,6.177,-454.4639,-442.2399,1741.4138,1783.8219,0.283374
1776.8316,8.5,8.5,0.0104976,0.0108323,0.0082,0.0,87.6395,87.6362,118.8818,112.1667,5.9946,5.9512,-0.0025,0.0009,5.4051,5.8156,4.8743,4.9108,4.3289,4.3613,5.8518,6.2352,47.1479,48.2664,0.274681,3.2545,3.2241,2.4896,2.5014,6.1913,6.166,-454.6846,-442.4985,1736.752,1785.5099,0.27527
1776.984,8.5,8.5,0.0098387,0.0113862,0.008,0.0,87.3531,86.9969,118.235,109.5716,6.1245,6.1502,-0.0018,0.000591,5.5156,5.9639,4.7581,4.7214,4.2244,4.1917,5.9791,6.3744,47.1479,48.2664,0.263407,3.2379,3.2275,2.4922,2.4984,6.0376,6.0424,-454.8024,-442.6889,1744.3051,1829.6392,0.289976
1777.1364,8.5,8.5,0.0093737,0.0113862,0.0033,0.0,86.9893,86.8204,116.78,115.2971,6.2487,6.2114,-0.0002,-8.8e-05,5.6932,6.1487,4.8262,4.6723,4.2855,4.148,6.0825,6.483,47.1479,48.2664,0.26465,3.2691,3.2447,2.4914,2.4935,6.1274,5.976,-454.974,-442.9317,1756.8602,1794.4877,0.2955
1777.2888,8.5,8.5,0.0099058,0.0108231,0.0181,5.8e-05,86.5894,86.6709,114.5211,110.591,6.3363,6.4791,0.0018,-0.000265,5.7893,6.2363,4.8762,4.7942,4.3403,4.2577,6.1743,6.5724,47.1479,48.2664,0.28572,3.3066,3.2486,2.4913,2.4931,6.2642,6.1272,-455.0734,-442.9303,1759.3346,1797.0254,0.280499
1777.4412,8.5,8.5,0.0108736,0.0111862,0.0038,0.00262,86.4324,86.5481,113.5697,110.0295,6.4168,6.4863,0.003,0.000935,5.7998,6.2489,4.8284,4.7296,4.3202,4.2408,6.2667,6.6415,47.1479,48.2664,0.287569,3.1947,3.225,2.4928,2.4989,6.363,6.2672,-455.0138,-442.625,1776.353,1758.3683,0.28088
1777.5936,8.5,8.5,0.0117032,0.01103,0.0091,0.010168,86.4473,86.4309,113.0646,109.4532,6.3564,6.4616,0.0027,-0.000454,5.8096,6.235,4.9191,4.8924,4.3903,4.3621,6.2202,6.5754,47.1479,48.2664,0.295498,3.158,3.228,2.4917,2.5035,6.4028,6.3456,-454.859,-442.3125,1774.9586,1712.0309,0.257257
1777.746,8.5,8.5,0.0116211,0.0120631,-0.001,0.016297,86.6867,86.9109,114.4535,113.825,6.2203,6.3495,0.0001,-2.5e-05,5.7718,6.1695,5.0328,4.8359,4.4687,4.3259,6.0933,6.441,47.1479,48.2664,0.296963,3.1758,3.2361,2.4889,2.5057,6.3847,6.4019,-454.5785,-442.0,1761.243,1746.3942,0.284269
1777.8984,8.5,8.5,0.010754,0.0116046,-0.0076,0.014032,87.3774,87.8887,114.918,116.0673,6.1183,6.0891,-0.0034,-0.000508,5.5952,5.9862,4.922,5.043,4.3708,4.4892,5.9903,6.3343,47.1479,48.2664,0.297791,3.2462,3.2388,2.4925,2.504,6.2492,6.3645,-454.4107,-441.6918,1749.631,1730.6006,0.282397
1778.0508,8.5,8.5,0.0102867,0.0112862,0.0083,0.013025,88.0814,88.3605,116.352,112.3072,6.1293,6.173,-0.0064,0.002763,5.5534,5.9008,4.8701,4.7795,4.3247,4.27,6.0018,6.3381,47.1479,48.2664,0.290659,3.3369,3.2421,2.4932,2.5067,6.1832,6.2756,-454.3019,-441.5611,1751.6437,1775.0608,0.283417
1778.2032,8.5,8.5,0.0104946,0.0104092,0.0408,0.017101,88.3814,88.3626,118.5608,114.2051,6.0965,5.837,-0.006,0.00457,5.4474,5.7985,4.8685,4.8823,4.3329,4.3369,5.9952,6.3056,47.1479,48.2664,0.289579,3.3326,3.2673,2.4855,2.5115,6.2503,6.2168,-454.351,-441.3865,1781.1989,1789.5825,0.268785
1778.3556,8.5,8.5,0.0112795,0.0099623,0.0184,0.017048,88.3721,88.3857,119.2007,120.7865,5.8565,5.7918,-0.0034,0.005047,5.4432,5.8001,4.5873,4.6948,4.1423,4.2192,5.7971,6.0842,47.1479,48.2664,0.300776,3.2974,3.2932,2.4895,2.5118,6.3181,6.2301,-454.562,-441.6875,1788.9175,1792.1151,0.258135
1778.508,8.5,8.5,0.0119017,0.01204,-0.0095,0.010508,88.2324,88.2945,116.2916,121.8946,6.0134,5.8293,-0.0008,0.003295,5.5221,5.8732,3.9374,4.4132,3.7039,4.0211,5.944,6.2504,47.1479,48.2664,0.304839,3.29,3.3304,2.5042,2.5036,6.5285,6.5321,-454.8521,-442.0043,1780.7946,1828.8682,0.281468
1778.6604,8.5,8.5,0.0114223,0.0116977,0.0113,0.000244,88.0245,87.967,110.1993,120.5396,6.4566,6.1411,0.0004,0.001346,5.7213,6.0905,4.0696,4.186,3.8625,3.9485,6.3711,6.6947,47.1479,48.2664,0.296256,3.369,3.3244,2.5221,2.4993,7.0451,6.7936,-455.1719,-442.4914,1778.3839,1791.1802,0.279412
1778.8128,8.5,8.5,0.0110552,0.0112069,-0.0024,0.000115,87.672,87.6393,106.326,118.6111,6.6027,6.625,0.0004,0.001328,5.8323,6.222,5.1727,5.475,4.6403,4.8686,6.4778,6.8184,47.1479,48.2664,0.287834,3.2406,3.2817,2.5134,2.5045,6.9213,6.9532,-455.3128,-442.6236,1749.8495,1767.9565,0.273118
