DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
121.463,3.789,8.5,47.831,-220.021,0.446,0.279,0.02,0.017,0.015,0.013,0.007,0.007,78.164,0.202,8.315,2.185,0.882,0.05,1295.0
121.615,3.766,8.5,48.965,-219.7,0.435,0.273,0.019,0.016,0.014,0.012,0.006,0.006,68.914,0.205,8.269,2.184,0.853,0.05,1295.5
121.768,3.789,8.5,40.899,-220.125,0.421,0.277,0.02,0.017,0.015,0.013,0.007,0.007,67.969,0.206,8.522,2.2,0.847,0.049,1298.6
121.92,3.766,8.5,35.339,-220.95,0.426,0.288,0.019,0.016,0.014,0.012,0.006,0.006,75.872,0.202,8.226,2.208,0.552,0.049,1299.167
122.072,3.766,8.5,43.654,-221.521,0.409,0.279,0.018,0.015,0.014,0.011,0.005,0.005,74.706,0.201,8.166,2.176,0.514,0.049,1294.4
122.225,3.789,8.5,44.365,-221.863,0.414,0.278,0.02,0.017,0.014,0.012,0.006,0.006,74.961,0.195,8.067,2.193,0.523,0.049,1306.833
122.377,3.789,8.5,55.456,-222.438,0.409,0.286,0.019,0.016,0.014,0.012,0.006,0.006,77.65,0.189,7.793,2.213,0.69,0.05,1290.5
122.53,3.789,8.5,36.74,-222.563,0.406,0.284,0.039,0.033,0.029,0.025,0.017,0.017,77.895,0.189,7.755,2.273,0.562,0.051,1299.6
122.682,3.766,8.5,39.496,-221.875,0.437,0.283,0.037,0.03,0.027,0.024,0.015,0.015,77.165,0.197,7.86,2.318,0.609,0.053,1310.833
122.834,3.789,8.5,35.353,-221.563,0.397,0.286,0.018,0.015,0.014,0.011,0.005,0.005,77.495,0.202,8.043,2.217,0.639,0.05,1302.6
122.987,3.766,8.5,38.111,-221.738,0.445,0.287,0.019,0.016,0.014,0.012,0.006,0.006,67.618,0.191,7.912,2.158,0.617,0.05,1289.0
123.139,3.789,8.5,30.501,-221.354,0.422,0.287,0.04,0.035,0.031,0.026,0.018,0.018,63.81,0.175,8.075,2.122,0.632,0.05,1295.2
123.292,3.789,8.5,31.194,-220.675,0.414,0.285,0.019,0.016,0.014,0.012,0.006,0.006,63.655,0.169,7.97,2.092,0.561,0.051,1302.0
123.444,3.789,8.5,40.898,-220.792,0.449,0.285,0.02,0.017,0.015,0.012,0.006,0.006,73.112,0.176,8.12,2.147,0.512,0.05,1296.5
123.596,3.789,8.5,37.432,-220.958,0.464,0.283,0.049,0.04,0.035,0.031,0.023,0.023,73.026,0.185,7.947,2.154,0.455,0.05,1302.8
123.749,3.766,8.5,40.883,-220.563,0.477,0.289,0.033,0.028,0.024,0.021,0.014,0.014,73.405,0.193,8.143,2.171,0.452,0.05,1309.833
123.901,3.789,8.5,39.512,-220.208,0.449,0.282,0.02,0.017,0.015,0.012,0.006,0.006,75.255,0.192,8.055,2.139,0.538,0.051,1303.5
124.054,3.766,8.5,36.032,-220.525,0.434,0.28,0.007,0.006,0.005,0.004,100000.0,100000.0,72.475,0.194,8.189,2.165,0.6,0.051,1308.8
124.206,3.766,8.5,32.567,-221.24,0.439,0.285,0.044,0.037,0.034,0.03,0.02,0.02,71.493,0.197,8.171,2.159,0.561,0.051,1304.167
124.358,3.789,8.5,47.831,-221.25,0.437,0.289,0.019,0.016,0.014,0.012,0.006,0.006,71.493,0.203,8.004,2.18,0.547,0.05,1315.0
124.511,3.789,8.5,38.819,-220.975,0.458,0.284,0.02,0.017,0.015,0.013,0.007,0.007,70.439,0.205,8.049,2.174,0.61,0.051,1320.833
124.663,3.789,8.5,40.898,-220.542,0.429,0.282,0.021,0.018,0.016,0.013,0.007,0.007,70.526,0.203,7.993,2.146,0.595,0.05,1304.8
124.816,3.789,8.5,42.285,-219.725,0.461,0.281,0.02,0.017,0.015,0.013,0.007,0.007,70.81,0.2,8.003,2.178,0.518,0.051,1317.5
124.968,3.766,8.5,39.496,-218.896,0.453,0.289,0.018,0.015,0.013,0.011,0.005,0.005,68.158,0.205,8.024,2.173,0.491,0.051,1317.5
125.12,3.789,8.5,48.524,-218.406,0.444,0.288,0.076,0.063,0.056,0.05,0.036,0.036,67.865,0.21,7.81,2.153,0.485,0.05,1290.8
125.273,3.789,8.5,51.297,-218.45,0.443,0.286,0.014,0.012,0.011,0.009,0.003,0.003,67.867,0.211,7.988,2.153,0.442,0.051,1299.5
125.425,3.766,8.5,35.339,-218.115,0.444,0.287,0.018,0.015,0.013,0.011,0.005,0.005,66.837,0.203,7.764,2.155,0.402,0.052,1288.0
125.578,3.766,8.5,35.34,-218.063,0.455,0.283,0.008,0.007,0.006,0.004,0.0,0.0,66.93,0.19,7.745,2.163,0.423,0.051,1300.0
125.73,3.766,8.5,41.575,-218.458,0.462,0.282,0.018,0.016,0.014,0.011,0.005,0.005,66.993,0.186,7.795,2.147,0.474,0.051,1298.667
125.882,3.789,8.5,51.296,-219.302,0.443,0.285,0.023,0.021,0.018,0.016,0.011,0.011,74.794,0.18,8.06,2.139,0.559,0.051,1303.2
126.035,3.766,8.5,38.111,-220.163,0.449,0.279,0.016,0.013,0.011,0.009,0.004,0.004,74.886,0.184,7.792,2.149,0.547,0.051,1306.167
126.187,3.789,8.5,36.739,-220.979,0.464,0.287,0.022,0.018,0.016,0.014,0.007,0.007,75.032,0.189,8.072,2.194,0.586,0.051,1307.0
