DEPTH,BS:1,BS:2,BS:3,BS:4,DNPH:1,DNPH:2,DNPH:3,DNPH:4,DPHZ:1,DPHZ:2,DPHZ:3,DPHZ:4,DT:1,DT:2,DT:3,DT:4,ECGR:1,ECGR:2,ECGR:3,EHGR:1,EHGR:2,EHGR:3,EHGR:4,HART:1,HART:2,HART:3,HART:4,HCAL:1,HCAL:2,HCAL:3,HCAL:4,HDRA:1,HDRA:2,HDRA:3,HDRA:4,HLLD:1,HLLD:2,HLLD:3,HLLS:1,HLLS:2,HLLS:3,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTEM:4,HTNP,NPHI:1,NPHI:2,NPHI:3,PEF8,PEFZ:1,PEFZ:2,RHO8,RHOZ:1,RHOZ:2,RHOZ:3,RXO8,RXOZ:1,RXOZ:2,RXOZ:3,SP:1,SP:2,SP:3,SP:4,TENS:1,TENS:2,TENS:3,TENS:4
857.0976,6.125,,,,0.0273417,,,,0.2957,,,,113.0763,,,,79.1856,,,77.1756,,,,31.3067,,,,5.9014,,,,0.0076,,,,23.5109,,,18.5537,,,,,35.2387,,,,,0.329242,,,,,,,2.2044,,,,2.7827,,,78.349,,,,948.2819,,,
857.25,6.125,,,,0.0273937,,,,0.2949,,,,113.477,,,,81.4828,,,85.2407,,,,31.7572,,,,5.9199,,,,0.0067,,,,23.9103,,,18.8964,,,,,35.2387,,,,,0.347554,,,,,,,2.2057,,,,2.8547,,,76.1615,,,,960.7842,,,
857.4024,6.125,,,,0.0281583,,,,0.2932,,,,116.6754,,,,77.345,,,82.6921,,,,30.9728,,,,5.8953,,,,0.0084,,,,23.8857,,,18.9364,,,,,35.2387,,,,,0.3587,,,,,,,2.2086,,,,2.7637,,,73.8281,,,,973.4848,,,
857.5548,6.125,,,,0.0286479,,,,0.2888,,,,114.2566,,,,72.1717,,,66.0656,,,,30.4135,,,,5.8265,,,,0.0087,,,,23.5487,,,18.5825,,,,,35.2387,,,,,0.363556,,,,,,,2.2161,,,,2.7,,,72.1732,,,,983.0764,,,
857.7072,6.125,,,,0.0286688,,,,0.2895,,,,113.4874,,,,75.3937,,,69.6281,,,,30.0265,,,,5.8222,,,,0.0044,,,,22.8219,,,17.8682,,,,,35.2387,,,,,0.358294,,,,,,,2.2149,,,,2.7401,,,71.4766,,,,990.3436,,,
857.8596,6.125,,,,0.0284312,,,,0.2892,,,,112.4216,,,,86.5194,,,91.8315,,,,28.1626,,,,5.9268,,,,0.0009,,,,21.2614,,,16.756,,,,,35.2387,,,,,0.354544,,,,,,,2.2156,,,,2.934,,,71.2201,,,,974.8646,,,
858.012,6.125,,,,0.0283375,,,,0.2821,,,,111.5596,,,,94.3079,,,98.2483,,,,25.7738,,,,5.9607,,,,0.0059,,,,20.2564,,,16.0789,,,,,35.2387,,,,,0.340144,,,,,,,2.2275,,,,3.2266,,,71.3932,,,,957.3634,,,
858.1644,6.125,,,,0.0278417,,,,0.2645,,,,110.8367,,,,93.9567,,,93.253,,,,26.0877,,,,5.9038,,,,0.0187,,,,19.1699,,,15.3573,,,,,35.2387,,,,,0.33279,,,,,,,2.2576,,,,3.4709,,,72.8307,,,,945.3713,,,
858.3168,6.125,,,,0.0275375,,,,0.2499,,,,109.6924,,,,92.2575,,,91.939,,,,22.75,,,,5.8617,,,,0.0298,,,,17.8614,,,14.5163,,,,,35.2387,,,,,0.319977,,,,,,,2.2827,,,,3.7136,,,75.5586,,,,958.9131,,,
858.4692,6.125,,,,0.0269667,,,,0.2429,,,,109.4407,,,,88.9754,,,93.5098,,,,19.9442,,,,5.8828,,,,0.0287,,,,16.4729,,,13.5476,,,,,35.2387,,,,,0.336888,,,,,,,2.2947,,,,3.7572,,,78.8099,,,,980.0146,,,
858.6216,6.125,,,,0.0275063,,,,0.2424,,,,109.0423,,,,89.2463,,,85.2459,,,,19.5417,,,,5.9459,,,,0.0198,,,,15.3341,,,12.6112,,,,,35.2595,,,,,0.32719,,,,,,,2.2956,,,,3.9005,,,81.7096,,,,1003.1481,,,
858.774,6.125,,,,0.0275,,,,0.2382,,,,108.6106,,,,88.7405,,,92.0878,,,,17.7092,,,,5.983,,,,0.0136,,,,14.6915,,,12.2293,,,,,35.3967,,,,,0.321615,,,,,,,2.3027,,,,4.075,,,85.2461,,,,995.5409,,,
858.9264,6.125,,,,0.0273167,,,,0.2317,,,,108.0607,,,,92.8206,,,89.9246,,,,17.8097,,,,5.9297,,,,0.0128,,,,14.6464,,,12.3276,,,,,35.2595,,,,,0.299423,,,,,,,2.3139,,,,4.1253,,,89.1693,,,,969.4117,,,
859.0788,6.125,,,,0.0266354,,,,0.2269,,,,107.9108,,,,92.732,,,95.5905,,,,19.469,,,,5.9063,,,,0.012,,,,15.8846,,,13.3461,,,,,35.2387,,,,,0.302806,,,,,,,2.322,,,,4.3966,,,91.9518,,,,965.2257,,,
