TVD,ROP,GR,T-TEMP
78.9432,21.039,39.3706,22.0187
79.0956,20.908,38.6828,22.0092
79.248,20.5636,38.4782,21.9997
79.4004,20.2192,38.2446,21.9902
79.5528,19.9922,37.8084,21.9881
79.7052,19.9709,37.8201,22.0155
79.8576,19.9496,38.0207,22.0022
80.01,19.9525,37.5192,21.9889
80.1624,20.2238,36.9415,21.9757
80.3148,20.4951,37.5379,22.0267
80.4672,20.7664,37.9152,22.0164
80.6196,19.5433,38.6135,22.0061
80.772,17.9522,38.3722,21.9958
80.9244,16.3611,38.795,21.9855
81.0768,16.2424,39.3096,22.0381
81.2292,17.4739,39.1244,22.0236
81.3816,18.7053,39.9389,22.0092
81.534,19.2705,41.8821,21.9947
81.6864,17.7373,42.8823,22.0033
81.8388,16.204,42.636,21.9793
81.9912,14.6708,42.841,21.929
82.1436,16.0268,41.4655,21.8788
82.296,17.5021,40.8852,21.9007
82.4484,18.9774,39.6867,21.8881
82.6008,19.3879,38.5225,21.8756
82.7532,19.2964,37.6432,21.863
82.9056,19.205,37.3367,21.9022
83.058,19.2096,36.7649,21.8979
83.2104,19.3589,36.3408,21.8935
83.3628,19.5083,37.1295,21.8977
83.5152,19.6706,37.8845,21.9432
83.6676,19.9297,37.8445,21.9505
83.82,20.1888,38.7155,21.9233
83.9724,20.4479,38.5809,21.9306
84.1248,20.416,38.9086,21.9379
84.2772,20.3276,38.3058,21.9451
84.4296,20.2392,39.7933,21.9635
84.582,19.9301,39.7486,21.9505
84.7344,19.4454,40.6214,21.9375
84.8868,18.9608,39.3373,21.9245
85.0392,18.7759,39.3471,21.9579
85.1916,19.3763,40.6006,21.9407
85.344,19.9768,40.0639,21.9235
85.4964,20.5773,41.3122,21.9428
85.6488,20.228,41.0311,21.9311
85.8012,19.8744,41.1415,21.9418
85.9536,19.5208,39.3797,21.9407
86.106,19.6531,37.7042,21.9307
86.2584,19.9793,38.2337,21.9207
86.4108,20.3054,37.8561,21.9518
86.5632,20.4424,38.6557,21.9354
86.7156,20.3326,40.325,21.9314
86.868,20.2229,40.2579,21.9505
87.0204,20.1595,39.3892,21.9505
87.1728,20.3515,39.3098,21.9505
87.3252,20.5435,38.7266,21.9635
87.4776,20.7356,38.6449,21.9587
87.63,20.2891,39.0966,21.9538
87.7824,19.7496,38.8313,21.9655
87.9348,19.2101,39.2005,21.9608
88.0872,18.9575,39.3889,21.9561
88.2396,18.9026,39.7747,21.9515
88.392,18.8478,39.6005,21.961
88.5444,19.0464,40.4477,21.9516
88.6968,19.8054,40.6674,21.9422
88.8492,20.5644,41.7271,21.9493
89.0016,21.2816,42.4912,21.9367
89.154,20.6842,43.2909,21.9226
89.3064,20.0867,42.6408,21.9086
89.4588,19.4893,42.4628,21.9418
89.6112,19.3949,42.6104,21.9283
89.7636,19.468,43.1182,21.9148
89.916,19.5412,44.6243,21.9337
90.0684,18.564,45.0005,21.9196
90.2208,16.3998,43.5118,21.9055
90.3732,14.2356,43.1183,21.8915
90.5256,12.85,42.8527,21.917
90.678,14.81,42.7696,21.8935
90.8304,16.77,44.1531,21.8701
90.9828,18.7299,45.0811,21.8614
91.1352,19.4913,45.1666,21.8659
91.2876,20.1314,45.6618,21.8705
91.44,20.7715,46.9966,21.8847
91.5924,20.8551,47.1302,21.8852
91.7448,20.6082,46.2926,21.8805
91.8972,20.3613,45.4425,21.8758
92.0496,20.2962,44.6611,21.8838
92.202,20.5736,43.6647,21.874
92.3544,20.851,43.7616,21.8643
92.5068,21.1096,45.4283,21.8858
92.6592,21.1035,46.1916,21.8715
92.8116,21.0974,46.6382,21.8572
92.964,21.0913,45.8124,21.8616
93.1164,21.2911,45.3471,21.8675
93.2688,21.5472,45.5385,21.8574
93.4212,21.8032,44.2781,21.8472
93.5736,21.8915,44.1962,21.8719
93.726,21.8153,44.0738,21.8668
93.8784,21.7391,43.5033,21.8617
94.0308,21.8037,43.2286,21.8851
94.1832,22.3554,45.2918,21.8679
94.3356,22.9071,46.2799,21.8508
94.488,23.4589,44.591,21.9033
94.6404,23.3491,44.4442,21.8986
94.7928,23.1997,43.6138,21.8939
94.9452,23.0503,43.3341,21.8934
95.0976,23.3294,44.5171,21.9047
95.25,23.8262,45.0518,21.9047
95.4024,24.3231,45.0217,21.9047
95.5548,24.7652,44.9126,21.8947
95.7072,25.1188,44.9218,21.9037
95.8596,25.4724,44.4331,21.9126
96.012,25.8483,45.2376,21.9352
96.1644,26.4213,44.7338,21.9352
96.3168,26.9944,46.0868,21.9352
96.4692,27.5674,46.4097,21.9352
96.6216,27.6074,46.4513,21.9352
96.774,27.5312,45.3649,21.9352
96.9264,27.455,45.9038,21.9352
97.0788,27.5518,44.2212,21.9442
97.2312,27.7956,44.2941,21.9658
97.3836,28.0395,45.3451,21.9658
97.536,28.003,45.4774,21.9658
97.6884,27.1678,46.2348,21.9963
97.8408,26.3326,46.3042,21.9963
97.9932,25.4974,46.3365,21.9963
98.1456,25.68,45.7965,21.9985
98.298,25.8842,45.1105,22.0115
98.4504,26.0884,45.3707,22.0115
98.6028,25.8838,45.8145,22.0115
98.7552,25.5028,46.5222,22.0268
98.9076,25.1218,47.0982,22.0268
99.06,23.3357,47.1909,22.0268
99.2124,19.5926,46.7806,22.0268
99.3648,15.8494,46.0998,22.0496
99.5172,12.966,45.7523,22.0406
99.6696,15.4869,46.3931,22.0316
99.822,18.0078,46.6714,22.0846
99.9744,20.5287,48.1494,22.0758
100.1268,20.7542,47.5584,22.0669
100.2792,20.5957,48.7941,22.0581
