DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
878.4,0.138632,0.050951,37.235353,1518.554688,112.122829,0.341182,8.805508,0.074141,2.265347,2.956321,115.963093,12.86415,1.297872,21.333529,24.884445,27.574355,31.349292,39.493883,46.067982,69.430248,8.5
878.5,0.138634,0.050953,37.302681,1506.347656,110.668369,0.350011,8.798264,0.070321,2.245711,2.930982,117.107212,12.876314,1.317677,19.272894,22.46419,24.880179,28.268786,35.57332,41.463854,62.592001,8.5
878.6,0.138974,0.051292,37.30052,1496.582031,109.898682,0.355398,8.805646,0.067648,2.22768,2.906867,118.133327,12.810936,1.310353,17.285915,20.193232,22.398308,25.496313,32.192197,37.606855,57.060106,8.5
878.7,0.1394,0.051718,37.293413,1506.347656,109.121529,0.357246,8.819806,0.066072,2.213707,2.883835,118.84766,12.640651,1.2686,17.150032,20.032844,22.219189,25.290691,31.928658,37.295956,56.633232,8.5
878.8,0.139707,0.052026,37.289091,1525.878906,108.139652,0.357427,8.832615,0.065572,2.205804,2.864593,119.136597,12.356335,1.19368,18.339797,21.340713,23.609489,26.787685,33.625364,39.128332,59.127872,8.5
878.9,0.139788,0.052107,37.285082,1525.878906,107.19136,0.358461,8.839281,0.065751,2.203713,2.856452,119.023514,12.087224,1.09907,19.919374,23.057884,25.420487,28.717162,35.766073,41.402706,62.143629,8.5
879.0,0.139588,0.051906,37.288048,1516.113281,105.892914,0.361293,8.837745,0.065863,2.204688,2.85776,118.629646,11.618938,1.006929,20.80059,23.985671,26.37564,29.700742,36.777653,42.409443,63.299086,8.5
879.1,0.139081,0.051399,37.278524,1523.4375,103.780979,0.366098,8.826587,0.065603,2.2052,2.869498,118.11771,10.759909,0.933824,20.903728,24.103541,26.504478,29.844724,36.953489,42.610312,63.571114,8.5
879.2,0.138333,0.050652,37.274218,1530.761719,101.343136,0.370574,8.80563,0.067058,2.207687,2.885576,117.644394,9.870472,0.886393,20.642868,23.90976,26.370287,29.805241,37.155375,43.037535,64.585289,8.5
879.3,0.137563,0.049881,37.304962,1528.320313,99.392742,0.373613,8.779133,0.071453,2.215066,2.894135,117.08765,9.26231,0.866331,20.083563,23.432508,25.970141,29.532331,37.221264,43.430485,65.741047,8.5
