DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
3481.7304,6.44018,6.25,90.78948,0.13982,0.0001,21.61178,21.71717,21.22682,20.94803,22.51567,22.03003,62.42395,0.05713,3.7085,2.65423,0.16762,6.97484,7495.93723
3481.8828,6.48006,6.25,94.57885,0.23103,0.02293,16.8747,16.77699,16.92377,16.91191,17.78379,17.52515,62.10477,0.05805,3.93212,2.6437,0.18172,7.09176,7496.75104
3482.0352,6.49526,6.25,94.92556,0.189,0.05436,16.71262,16.77102,16.93198,17.46996,18.01978,18.16357,62.10465,0.05978,3.95145,2.64282,0.18943,6.58937,7566.37437
3482.1876,6.53324,6.25,106.531,0.18053,0.07442,16.73207,16.77548,17.04581,17.53922,18.06715,18.27847,62.70568,0.06071,3.80805,2.61691,0.19051,6.138,7703.31224
3482.34,6.51045,6.25,88.58739,0.28174,0.05609,16.72724,16.73668,17.33179,17.82662,18.36586,18.93183,65.2892,0.06051,3.94628,2.66359,0.19588,5.02979,7874.46828
3482.4924,6.55603,6.25,100.1057,0.22143,0.05537,15.39976,15.33726,16.10171,16.43331,16.88556,17.40469,66.61636,0.05943,3.81447,2.68495,0.19868,3.46281,7900.33255
3482.6448,6.54083,6.25,109.0812,0.15254,0.13021,15.22074,15.15671,15.94289,16.25873,16.69238,17.21339,66.47667,0.06227,3.66261,2.64068,0.19724,5.30994,7811.2003
3482.7972,6.54843,6.25,100.947,0.20993,0.13628,16.57901,16.81459,17.74876,18.04864,18.57137,19.59776,66.63282,0.06866,3.82674,2.63233,0.19479,6.06976,7728.79883
3482.9496,6.54843,6.25,102.9803,0.26491,0.07895,16.10435,16.55555,17.44217,17.56316,18.10602,19.23495,66.45213,0.07512,3.99527,2.6501,0.19834,6.69146,7658.26727
3483.102,6.55603,6.25,98.82995,0.30489,0.06081,16.08909,16.5397,17.42881,17.5542,18.08418,19.21034,67.15796,0.07717,3.95228,2.65305,0.19485,5.22327,7598.56251
3483.2544,6.56362,6.25,101.9381,0.22758,0.1205,15.92248,16.42326,17.25783,17.34941,17.91449,19.0195,66.55,0.07388,3.9229,2.66375,0.19195,4.99162,7562.05803
3483.4068,6.53324,6.25,111.2721,0.14547,0.08273,13.50473,14.20906,14.37093,14.33512,15.10622,15.81338,66.4521,0.06668,3.71151,2.66719,0.21079,6.59639,7533.41288
3483.5592,6.56362,6.25,103.7011,0.17086,0.09673,11.60307,12.05464,12.14089,12.10714,12.8391,13.17341,66.64665,0.05825,3.9882,2.60423,0.23432,6.23756,7520.05923
3483.7116,6.52564,6.25,120.4318,0.25465,0.00683,11.09551,11.43181,11.51569,11.48717,12.22988,12.44618,65.40331,0.04815,3.84534,2.65344,0.25934,5.63691,7529.445
3483.864,6.46487,6.25,112.3005,0.13206,0.0001,10.9027,11.17732,11.25257,11.23684,12.01751,12.16943,66.26538,0.03503,3.70084,2.66818,0.2415,5.62547,7540.94173
3484.0164,6.32813,6.25,108.2529,0.06261,0.0001,10.9519,11.11922,11.17446,11.18078,11.97635,12.01523,67.5716,0.02895,3.63608,2.60984,0.24114,5.29374,7643.29499
3484.1688,6.32054,6.25,101.3121,0.10107,0.0001,11.14666,11.15262,11.19891,11.25245,12.11374,12.0269,69.71187,0.02867,3.58456,2.64213,0.23185,5.33005,7618.88299
3484.3212,6.36611,6.25,109.8741,0.14166,0.0001,11.23088,11.18294,11.24935,11.35468,12.23727,12.17028,68.52105,0.03673,3.65207,2.66532,0.22411,5.4569,7531.23673
3484.4736,6.38131,6.25,104.6535,0.1042,0.0051,11.2202,11.27524,11.37009,11.51619,12.43112,12.52361,65.29944,0.04126,3.66004,2.63375,0.19928,7.13301,7480.17587
3484.626,6.43448,6.25,112.6922,0.08254,0.0367,11.39807,11.61671,11.74342,11.94521,12.88492,13.22207,64.45749,0.04423,3.83404,2.63322,0.17272,8.77955,7402.99896
3484.7784,6.51804,6.25,110.1572,0.14353,0.04404,15.04777,16.05775,16.42881,17.01446,18.26026,19.92634,62.70065,0.04828,3.70531,2.63452,0.15408,9.51176,7453.11787
