DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
3462.528,6.52564,6.25,103.1474,0.05869,0.0001,17.34802,16.62728,16.84107,16.81526,17.88934,17.18241,68.35164,0.00831,3.60254,2.64851,0.20223,8.23106,7377.73268
3462.6804,6.52564,6.25,107.8867,0.05539,0.0001,19.79554,19.08599,19.39341,19.41586,20.58583,19.95067,68.59475,0.00552,3.72065,2.66851,0.20967,7.45707,7391.26618
3462.8328,6.52564,6.25,103.2029,0.04523,0.0001,12.64587,12.65108,12.51316,12.48828,13.05782,12.79346,68.82357,0.00389,3.52958,2.66375,0.21493,7.12325,7437.43744
3462.9852,6.52564,6.25,104.5406,0.02883,0.0001,11.99096,11.91588,12.12831,12.11645,12.49235,12.32645,69.64558,0.00428,3.63221,2.64614,0.238,6.94414,7542.8009
3463.1376,6.50285,6.25,106.6564,0.01957,0.0001,12.33131,12.40847,12.58818,12.71116,12.97678,12.96082,70.93187,0.00451,3.57072,2.65184,0.25689,6.9341,7611.99934
3463.29,6.48766,6.25,96.78316,0.02917,0.0001,12.04146,12.14826,12.36453,12.62336,12.73732,12.82517,71.89787,0.00464,3.57668,2.64614,0.24784,6.94316,7650.74966
3463.4424,6.48766,6.25,94.89108,0.04344,0.0001,11.96699,12.03546,12.25477,12.5586,12.63789,12.71939,71.9064,0.00468,3.65042,2.6407,0.23857,6.98781,7600.53408
3463.5948,6.48006,6.25,106.8175,0.03316,0.0001,11.63937,11.66323,11.96164,12.28036,12.24561,12.33128,71.82734,0.00578,3.75021,2.64057,0.24497,7.15875,7566.7498
3463.7472,6.45727,6.25,106.1465,0.05258,0.0001,11.53965,11.60122,11.92238,12.25391,12.18487,12.32648,71.56021,0.00638,3.65312,2.64654,0.2455,7.20134,7500.26705
3463.8996,6.42689,6.25,92.11911,0.08181,0.0001,11.57208,11.61165,11.96713,12.29236,12.18504,12.31067,71.71828,0.00688,3.75032,2.66641,0.24115,7.12139,7417.20014
3464.052,6.42689,6.25,111.8187,0.02786,0.0001,11.91478,11.94746,12.33753,12.68302,12.45609,12.55824,72.07359,0.00665,3.64338,2.64007,0.2482,7.06231,7351.13329
3464.2044,6.41929,6.25,100.683,0.02194,0.0001,11.96267,11.98317,12.39207,12.65377,12.36813,12.43614,71.80567,0.00672,3.63671,2.62444,0.25099,7.12377,7292.99995
3464.3568,6.41929,6.25,101.5165,0.04206,0.0001,11.63217,11.72775,12.15935,12.23594,12.03798,12.12362,71.83606,0.00732,3.67837,2.63254,0.23924,6.85113,7439.93282
3464.5092,6.41169,6.25,94.54739,0.07297,0.0001,11.41853,11.49028,11.90431,11.92596,11.77189,11.82149,71.81737,0.00881,3.50877,2.66051,0.22705,6.93672,7569.93309
3464.6616,6.40409,6.25,103.105,0.04119,0.0001,11.31711,11.44698,11.79456,11.7719,11.67089,11.70808,71.87144,0.00844,3.65272,2.63228,0.23221,7.01417,7710.60054
3464.814,6.3965,6.25,100.8514,0.05563,0.0001,11.86255,12.04832,12.17571,12.15128,12.13151,12.1225,71.90092,0.00731,3.64436,2.64746,0.24449,6.95978,7668.13413
3464.9664,6.40409,6.25,107.4837,0.04585,0.0001,11.93882,11.85974,11.78428,11.70448,11.8243,11.8203,71.9129,0.00606,3.51996,2.65482,0.25627,6.7988,7570.7514
3465.1188,6.41169,6.25,107.0241,0.05035,0.0001,12.33837,11.98368,11.92381,11.82354,12.06748,11.9959,71.88772,0.00601,3.69402,2.64071,0.24498,6.85292,7529.8002
3465.2712,6.44968,6.25,97.77469,0.02732,0.0001,12.29454,11.88395,11.84383,11.7273,12.0134,11.92255,71.88031,0.00956,3.77458,2.64222,0.18042,7.3139,7470.12466
3465.4236,6.43448,6.25,96.87099,0.05694,0.0001,12.10898,11.67045,11.65973,11.5385,11.86223,11.7489,71.88583,0.01399,3.82806,2.66686,0.13495,10.66693,7500.99992
3465.576,6.44208,6.25,100.849,0.09066,0.0001,11.88992,11.52118,11.46624,11.3541,11.69958,11.58164,71.57804,0.01591,3.73466,2.69037,0.10993,10.93122,7465.56329
3465.7284,6.43448,6.25,98.81416,0.10998,0.0001,11.78248,11.41387,11.3839,11.27177,11.64734,11.50238,68.05587,0.01443,4.03651,2.66443,0.11558,11.03276,7440.62523
3465.8808,6.46487,6.25,92.67546,0.08207,0.0001,11.73009,11.37637,11.35062,11.24429,11.64661,11.47448,64.65558,0.01039,4.12922,2.61818,0.1179,10.61906,7322.06325
3466.0332,6.41929,6.25,103.7349,0.09587,0.0001,11.6749,11.47669,11.47027,11.3608,11.89623,11.55546,63.32775,0.00586,4.17126,2.66478,0.11766,10.13355,7296.52945
3466.1856,6.38891,6.25,106.3531,0.06158,0.0001,36.5918,37.18626,37.80788,37.79879,40.47968,41.4149,62.06194,-8e-05,4.24522,2.64476,0.11986,8.7152,7316.37558
3466.338,6.38891,6.25,95.55213,0.04013,0.0001,37.39566,35.63171,36.1922,36.7875,41.15046,40.05358,62.19612,-0.00129,4.02505,2.62247,0.12162,7.44236,7573.58848
3466.4904,6.41169,6.25,100.6471,0.07441,0.0001,38.28557,36.33933,36.4935,36.81716,41.04543,39.30481,62.80188,0.00406,3.88613,2.64788,0.12041,7.66731,7803.11167
3466.6428,6.3965,6.25,101.4051,0.09892,0.0001,40.94633,39.22579,40.21379,40.64435,45.41819,44.70557,61.60776,0.01198,3.80508,2.6529,0.11885,9.82475,8051.294
3466.7952,6.45727,6.25,104.9162,0.02779,0.0001,40.2136,38.46902,39.375,39.77251,44.40521,43.57778,60.7229,0.01305,3.75865,2.64888,0.12108,10.51754,8061.63296
3466.9476,6.48006,6.25,105.9835,0.0553,0.02578,27.99686,27.59111,27.62251,27.58482,30.15135,29.15649,60.34263,0.01082,3.70013,2.65896,0.12181,7.48517,7969.05889
3467.1,6.47246,6.25,93.15377,0.06359,0.08478,44.35889,44.91033,46.0094,46.92673,51.11643,53.05104,59.95041,0.0073,3.69529,2.63283,0.12143,6.57763,7891.94492
3467.2524,6.45727,6.25,110.9812,0.06884,0.08217,44.58807,45.05758,46.04326,46.98909,51.19233,52.92464,60.11659,0.00774,3.59788,2.62669,0.11865,6.82497,7866.555
3467.4048,6.47246,6.25,97.32481,0.06765,0.04924,44.56791,44.68729,45.82333,46.76031,50.84869,52.30597,59.94264,0.0119,3.66214,2.62462,0.11913,6.87423,7771.16632
3467.5572,6.50285,6.25,113.3391,0.05932,0.02609,44.1767,44.48438,45.53793,46.42451,50.43396,51.97398,62.26119,0.01487,3.65411,2.61708,0.12285,6.8687,7670.11245
3467.7096,6.50285,6.25,108.8842,0.09125,0.00581,43.93758,44.23769,45.17044,46.04165,49.98673,51.35527,61.8609,0.01409,3.58786,2.65056,0.15325,6.88269,7593.66617
3467.862,6.50285,6.25,95.79454,0.06703,0.0001,43.69104,43.81226,44.73121,45.53984,49.40829,50.51176,62.15079,0.00785,3.52414,2.65261,0.20434,6.90453,7482.58807
3468.0144,6.50285,6.25,101.9778,0.03054,0.0001,39.09956,38.67301,39.2613,39.68571,42.69049,42.62274,63.34195,0.00476,3.55162,2.62324,0.26871,6.86647,7421.6671
