DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
744.55,,1562.5,,,,,,,124.901,,1.572,28.079,32.103,35.102,39.247,47.981,54.859,81.527,12.25
744.65,,1596.68,,,,,,,124.28,,1.572,30.675,34.878,37.995,42.286,51.268,58.293,85.876,12.25
744.75,,1591.797,,,,,,,124.041,,1.571,34.329,38.695,41.909,46.306,55.414,62.46,90.853,12.25
744.85,,1596.68,,,,,,,124.041,,1.571,31.436,35.035,37.66,41.22,48.498,54.05,77.058,12.25
744.95,,1596.68,,,,,,,124.293,,1.57,29.421,32.43,34.606,37.531,43.435,47.877,66.802,12.25
745.05,,1621.094,,,,,,,124.587,,1.57,29.567,32.295,34.252,36.866,42.084,45.967,62.771,12.25
745.15,,1591.797,,,,,,,124.892,,1.569,30.277,32.982,34.918,37.499,42.635,46.443,63.053,12.25
745.25,,1596.68,,,,,,,125.033,,1.569,31.208,34.104,36.183,38.961,44.508,48.639,66.547,12.25
745.35,,1601.563,,,,,,,125.215,,1.568,32.068,35.32,37.67,40.827,47.192,51.978,72.529,12.25
745.45,,1596.68,,,,,,,125.404,,1.568,33.114,36.688,39.282,42.785,49.894,55.279,77.971,12.25
745.55,,1601.563,,,,,,,125.781,,,34.046,37.933,40.768,44.612,52.467,58.457,83.456,12.25
745.65,,1601.563,,,,,,,126.392,,,34.679,38.709,41.652,45.648,53.831,60.086,85.882,12.25
745.75,,1606.445,,,,,,,127.368,,,35.55,39.756,42.834,47.017,55.604,62.183,89.271,12.25
745.85,,1577.148,,,,,,,128.532,,,35.604,39.806,42.88,47.058,55.631,62.197,88.971,12.25
745.95,,1591.797,,,,,,,129.667,,,35.704,40.068,43.269,47.633,56.628,63.549,91.659,12.25
746.05,,1591.797,,,,,,,130.588,,,36.022,40.573,43.922,48.5,57.977,65.302,94.749,12.25
746.15,,1625.977,,,,,,,131.189,,,36.271,40.988,44.469,49.24,59.152,66.846,97.453,12.25
