TVD,GR,T-TEMP
513.588,75.0043,31.6929
513.7404,76.4464,31.6929
513.8928,76.75,31.6929
514.0452,77.405,31.6929
514.1976,78.9126,31.8787
514.35,79.6869,32.2065
514.5024,78.8382,32.5342
514.6548,78.2247,32.862
514.8072,78.7146,33.0709
514.9596,79.3695,33.0709
515.112,80.2305,33.0709
515.2644,80.6364,33.0709
515.4168,80.7216,33.0709
515.5692,78.7494,33.0709
515.7216,77.0736,33.0709
515.874,77.9414,33.0709
516.0264,76.1861,33.0709
516.1788,75.3026,33.0709
516.3312,74.5004,33.0709
516.4836,75.2168,33.0709
516.636,75.6731,33.0709
516.7884,76.8,33.0709
516.9408,78.5924,33.0709
517.0932,79.048,33.0709
517.2456,79.7978,33.0709
517.398,79.7513,33.0709
517.5504,78.9728,33.0709
517.7028,77.9279,33.0709
517.8552,77.5481,33.0709
518.0076,76.154,33.0709
518.16,77.1359,33.0709
518.3124,79.0,33.0709
518.4648,78.7565,33.0709
518.6172,80.3895,33.0709
518.7696,79.5783,33.0709
518.922,79.0819,33.0709
519.0744,77.375,33.0709
519.2268,76.941,33.0709
519.3792,78.626,33.0709
519.5316,78.3365,33.0709
519.684,79.0309,33.0709
519.8364,78.0245,33.0709
519.9888,75.7463,33.0709
520.1412,75.2308,33.0709
520.2936,76.7595,33.0709
520.446,78.0507,33.0709
520.5984,78.6995,33.0709
520.7508,80.3924,33.0709
520.9032,80.2519,33.0709
521.0556,78.7856,33.0709
521.208,79.9522,33.0709
521.3604,78.6319,33.0709
521.5128,76.9708,33.0709
521.6652,77.601,33.0709
521.8176,77.8343,33.0709
521.97,77.9568,33.0709
522.1224,76.5455,33.0709
522.2748,76.5016,33.0709
522.4272,74.3407,33.0709
522.5796,73.0,33.0709
522.732,75.1277,33.0709
522.8844,77.5649,33.0709
523.0368,77.9721,33.0709
523.1892,77.0048,33.0709
523.3416,77.2994,33.0709
523.494,75.4773,33.0709
523.6464,74.7029,33.0709
523.7988,75.5469,33.0709
523.9512,75.6969,33.0709
524.1036,74.0,33.0709
