DEPT,TNPH_SAN:1,DPHI_SAN:1,CS:1,RLA4,TENS:1,TNPH_DOL:1,NPHI_DOL,GDEV_EDTC,DPHZ,RSOZ,RHOZ,RLA5,TNPH_LIM:1,VCL,NPOR_DOL:1,NPOR:1,SMIN,PEFZ,TNPH:1,RLA1,DT,RXOZ,AZIM,NPHI_SAN,NPOR_SAN:1,TNPH:2,RLA0,RHGX,RXO,GR:1,CVEL:1,SVEL,CALI,SPHI,RO,CVEL:2,TNPH_SAN:2,TNPH_DOL:2,NPOR:2,SMNO,TNPH_LIM:2,GR:2,DPHI_SAN:2,RLA2,UZ,DPHI_DOL:1,GR:3,DCAL,DPHI_DOL:2,MRES,INCL,NPOR_LIM:1,GR:4,ITT,CS:2,HTEN,NPOR_LIM:2,NPHI,NPOR_SAN:2,DPHI_LIM:1,RT,BS,NPOR_DOL:2,NPHI_LIM,DSOZ,DPHI_LIM:2,TENS:2,RLA3
1627.7844,0.34136,0.13235,533.1657,4.87837,3747.68648,0.25589,0.24473,39.8997,0.16966,0.13186,2.41988,5.18379,0.29257,0.65468,0.25542,0.29143,0.4869,3.25634,0.29257,4.24964,96.3036,1.99745,346.67,0.34568,0.3319,0.29188,0.10816,2.87772,2.9398,105.1079,-535.4594,3164.99,8.38122,0.26157,8.81335,-533.1657,0.34072,0.25648,0.28307,0.60976,0.29188,101.541,0.13946,4.4957,7.93454,0.2325,109.0955,-0.11877,0.22615,0.1034,38.94303,0.29143,111.8104,0.05311,535.4594,1282.7106,0.28307,0.30135,0.34023,0.16279,5.71071,8.5,0.24774,0.30135,0.21884,0.16966,3772.99997,4.70593
1627.9368,0.36064,0.13125,534.8438,4.83216,3737.93427,0.27282,0.23307,39.9068,0.16716,0.13816,2.42415,5.1332,0.3133,0.67759,0.27017,0.30913,0.475,3.25791,0.3133,4.19184,96.5949,1.99,346.67,0.33628,0.35845,0.31185,0.10809,2.90384,2.92332,108.0864,-534.7458,3155.446,8.37737,0.26266,8.2573,-534.8438,0.35931,0.27404,0.31099,0.59813,0.31185,119.8159,0.13688,4.44246,7.95135,0.23019,106.1027,-0.12263,0.22517,0.10162,38.93525,0.30913,118.3129,0.05306,534.7458,1288.53202,0.31099,0.29349,0.3565,0.16173,5.67686,8.5,0.27202,0.29349,0.22343,0.16716,3758.33343,4.65341
1628.0892,0.35626,0.13147,533.6145,4.79869,3756.75077,0.26887,0.2577,39.91319,0.1665,0.13812,2.42528,5.09692,0.30856,0.66935,0.2796,0.31884,0.4586,3.26995,0.30856,4.12341,96.36746,1.90315,346.67,0.35614,0.36269,0.30718,0.10949,2.89957,2.88656,107.0149,-532.4387,3162.893,8.34654,0.26181,8.40733,-533.6145,0.35498,0.27004,0.31493,0.57882,0.30718,134.1342,0.1362,4.39855,7.98419,0.22958,108.9348,-0.15346,0.22537,0.10131,38.92743,0.31884,124.2439,0.05302,532.4387,1294.26443,0.31493,0.3101,0.36647,0.16195,5.68291,8.5,0.27608,0.3101,0.23167,0.1665,3746.49949,4.6145
1628.2416,0.37067,0.1433,532.1634,4.94078,3739.19994,0.28201,0.2411,39.92739,0.16716,0.13683,2.42416,5.25295,0.32419,0.68415,0.26795,0.30771,0.46866,3.28184,0.32419,4.21816,96.10155,1.80329,346.67,0.34275,0.35657,0.32273,0.10929,2.91525,2.94583,108.9399,-533.6672,3171.645,8.3581,0.2608,7.97408,-532.1634,0.36933,0.28324,0.30985,0.58048,0.32273,120.2492,0.13687,4.51517,8.00978,0.23018,105.7395,-0.1419,0.23592,0.10128,38.9196,0.30771,122.9304,0.05297,533.6672,1290.66501,0.30985,0.29891,0.35434,0.17336,5.88278,8.5,0.27005,0.29891,0.2335,0.16716,3744.66729,4.74307
1628.394,0.36487,0.14147,527.8849,4.924,3717.68797,0.27782,0.23589,39.91462,0.16228,0.13082,2.43251,5.24388,0.31788,0.679,0.28562,0.32616,0.46578,3.27072,0.31788,4.2084,96.18726,1.77433,346.67,0.33855,0.36558,0.31777,0.10492,2.91465,2.94817,108.2706,-530.0208,3168.819,8.36967,0.26113,8.26714,-527.8849,0.36477,0.27792,0.31859,0.57594,0.31777,115.1883,0.13181,4.47911,8.00816,0.22567,111.6858,-0.13033,0.23428,0.10073,38.9118,0.32616,120.0529,0.05292,530.0208,1277.02271,0.31859,0.29539,0.37307,0.17159,5.86786,8.5,0.27858,0.29539,0.23658,0.16228,3680.50008,4.72476
1628.5464,0.36045,0.1113,527.2426,5.06245,3710.46711,0.27378,0.21583,39.88786,0.15786,0.1279,2.44006,5.38123,0.31309,0.65507,0.27374,0.31295,0.477,3.23516,0.31309,4.29934,97.5794,1.91419,346.67,0.32168,0.34105,0.31299,0.10545,2.91504,3.00008,105.1597,-528.6083,3123.61,8.37737,0.26632,8.52153,-527.2426,0.36036,0.27387,0.29358,0.59459,0.31299,125.2489,0.12724,4.58239,7.94392,0.22159,106.7636,-0.12263,0.20738,0.09974,38.90402,0.31295,117.1336,0.05287,528.6083,1280.37775,0.29358,0.27944,0.36031,0.14248,6.04704,8.5,0.25581,0.27944,0.23523,0.15786,3670.66693,4.85223
1628.6988,0.33848,0.11789,532.0999,5.31442,3685.81231,0.2555,0.2095,39.89095,0.16732,0.12431,2.42388,5.63653,0.2895,0.62677,0.2558,0.29158,0.52002,3.1803,0.2895,4.48285,102.76936,2.08714,346.67,0.31658,0.32077,0.29142,0.10655,2.87722,3.1032,101.48,-532.6379,2965.865,8.39279,0.28443,8.9821,-532.0999,0.34029,0.25387,0.27195,0.65331,0.29142,110.9137,0.13704,4.78878,7.76114,0.23033,96.912,-0.10721,0.21325,0.09927,38.89634,0.29158,120.4205,0.05282,532.6379,1265.30836,0.27195,0.27438,0.34057,0.14884,6.36034,8.5,0.23751,0.27438,0.21488,0.16732,3704.99976,5.07301
1628.8512,0.33456,0.16244,532.6539,5.1345,3693.0669,0.25183,0.22212,39.89989,0.18848,0.11615,2.3877,5.43428,0.28533,0.65963,0.25507,0.29045,0.53074,3.12019,0.28533,4.30068,103.30623,2.0887,346.67,0.32667,0.33087,0.2871,0.10536,2.84408,2.95668,105.7515,-532.142,2950.451,8.37737,0.2862,8.54652,-532.6539,0.33623,0.25032,0.28175,0.6649,0.2871,124.8529,0.15897,4.59842,7.50897,0.24989,99.6012,-0.12263,0.25299,0.09995,38.88857,0.29045,118.6805,0.05277,532.142,1251.02827,0.28175,0.28437,0.33969,0.19183,6.16105,8.5,0.24687,0.28437,0.17876,0.18848,3643.33242,4.89515
1629.0036,0.33944,0.21436,529.6276,4.88889,3808.25001,0.25488,0.23119,39.9094,0.20332,0.11584,2.36233,5.16664,0.29051,0.6594,0.24962,0.28499,0.55281,3.09355,0.29051,4.06791,102.53225,1.93884,346.67,0.33476,0.31963,0.29069,0.10719,2.83025,2.78611,105.7215,-528.1987,2972.723,8.34654,0.28364,8.00618,-529.6276,0.3396,0.25473,0.27077,0.66831,0.29069,120.0879,0.17435,4.37297,7.37155,0.26361,119.4421,-0.15346,0.29929,0.10082,38.88077,0.28499,118.1985,0.05272,528.1987,1291.88707,0.27077,0.29222,0.33391,0.24193,5.88938,8.5,0.23647,0.29222,0.15367,0.20332,3782.50039,4.66829
1629.156,0.34727,0.17444,527.0402,4.97527,3815.26629,0.26097,0.22501,39.89779,0.20052,0.1175,2.36711,5.24303,0.29889,0.66467,0.27677,0.31494,0.51015,3.1168,0.29889,4.0855,101.23755,1.93469,346.67,0.32895,0.35539,0.29786,0.11025,2.84442,2.76773,106.4074,-525.4297,3010.74,8.27717,0.27928,7.81587,-527.0402,0.34631,0.26184,0.30697,0.62562,0.29786,109.4979,0.17145,4.43746,7.44085,0.26102,96.7599,-0.22283,0.26369,0.10124,38.87298,0.31494,114.3375,0.05267,525.4297,1343.2123,0.30697,0.2867,0.36325,0.20341,6.02701,8.5,0.26943,0.2867,0.15255,0.20052,3806.66735,4.74325
1629.3084,0.34016,0.13766,528.0464,4.99161,3815.3135,0.25538,0.21535,39.8994,0.18687,0.12143,2.39046,5.21722,0.29129,0.65956,0.24534,0.28042,0.50457,3.17421,0.29129,4.07587,103.06675,2.04435,346.67,0.32129,0.32433,0.29128,0.11136,2.85353,2.75026,105.7423,-530.0208,2957.307,8.22322,0.28541,8.3873,-528.0464,0.34015,0.25539,0.27548,0.6367,0.29128,113.5198,0.1573,4.4387,7.64717,0.2484,102.8827,-0.27678,0.23089,0.10166,38.86527,0.28042,113.1606,0.05262,530.0208,1346.85623,0.27548,0.27905,0.32929,0.16792,6.02652,8.5,0.24077,0.27905,0.17039,0.18687,3783.99987,4.74916
1629.4608,0.33971,0.14392,528.9598,5.27362,3761.93262,0.25574,0.2141,39.89585,0.17738,0.11936,2.40669,5.46019,0.2908,0.67984,0.23434,0.26846,0.52965,3.21906,0.2908,4.23478,96.7562,2.08302,346.67,0.32028,0.31013,0.2917,0.11086,2.86556,2.82759,108.3788,-530.3079,3150.186,8.2078,0.26327,8.65439,-528.9598,0.34055,0.25497,0.26138,0.65983,0.2917,116.5512,0.14746,4.66456,7.80401,0.23963,117.7994,-0.2922,0.23647,0.1019,38.85754,0.26846,115.7223,0.05257,530.3079,1322.83787,0.26138,0.27806,0.31731,0.17396,6.37543,8.5,0.22777,0.27806,0.18758,0.17738,3766.6671,4.9857
1629.6132,0.3531,0.15756,531.3338,5.47091,3728.06291,0.26797,0.23203,39.89047,0.17346,0.12004,2.41338,5.63615,0.30515,0.68541,0.27228,0.31067,0.51684,3.24536,0.30515,4.34047,98.47488,2.04267,346.67,0.33544,0.36588,0.30612,0.11082,2.88707,2.86585,109.1035,-530.4846,3095.206,8.23093,0.26958,8.31296,-531.3338,0.354,0.26715,0.31808,0.64098,0.30612,117.1777,0.1434,4.82314,7.88809,0.23601,104.4498,-0.26907,0.24863,0.10159,38.8498,0.31067,111.4215,0.05252,530.4846,1284.31034,0.31808,0.29279,0.35858,0.18712,6.62621,8.5,0.27909,0.29279,0.2043,0.17346,3745.00001,5.14706
1629.7656,0.36346,0.12635,531.2967,5.43361,3808.40063,0.27682,0.23103,39.88956,0.16884,0.12174,2.42129,5.583,0.31636,0.66069,0.29118,0.33198,0.49605,3.25643,0.31636,4.30745,97.45239,1.95327,346.67,0.33463,0.37374,0.31658,0.1097,2.90503,2.8412,105.8893,-533.1777,3127.681,8.24634,0.26585,8.12603,-531.2967,0.36367,0.27663,0.32675,0.62311,0.31658,100.3797,0.13861,4.76836,7.93905,0.23173,104.1916,-0.25366,0.2208,0.10083,38.84206,0.33198,111.8359,0.05247,533.1777,1301.653,0.32675,0.29211,0.37893,0.15701,6.57571,8.5,0.28628,0.29211,0.22174,0.16884,3807.66775,5.11774
