DEPT,GR
387.0,73.0872
387.5,75.2116
388.0,72.9653
388.5,73.4323
389.0,75.4594
389.5,73.3247
390.0,74.6653
390.5,78.6161
391.0,74.4099
391.5,77.3367
392.0,81.2832
392.5,75.3761
393.0,77.4609
393.5,77.3727
394.0,73.0657
394.5,73.6558
395.0,74.4222
395.5,72.6851
396.0,74.6914
396.5,72.1257
397.0,72.5789
397.5,71.7161
398.0,72.0941
398.5,69.5694
399.0,71.2896
399.5,74.297
400.0,75.6744
400.5,72.9307
401.0,71.3486
401.5,72.8585
402.0,75.6315
402.5,74.274
403.0,74.7867
403.5,74.3852
404.0,77.6798
404.5,76.2892
405.0,75.5485
405.5,74.6993
406.0,74.4598
406.5,76.4533
407.0,76.4234
407.5,79.7576
408.0,78.9236
408.5,79.2689
409.0,74.8483
409.5,74.914
410.0,73.891
410.5,72.9431
411.0,62.1049
411.5,63.878
412.0,63.7147
412.5,63.4844
413.0,63.9724
413.5,67.6854
414.0,65.5494
414.5,63.7557
415.0,69.0755
415.5,68.6732
416.0,67.8505
416.5,66.3595
417.0,68.6445
417.5,72.0754
418.0,69.5366
418.5,69.4485
419.0,67.8034
419.5,72.1249
420.0,71.1271
420.5,70.0445
421.0,71.2716
421.5,68.0053
422.0,69.6035
422.5,70.5633
423.0,72.4647
423.5,73.9902
424.0,70.3957
424.5,74.4234
425.0,72.846
425.5,70.4714
426.0,72.3336
426.5,73.434
427.0,70.516
427.5,72.7137
428.0,73.3363
428.5,72.0726
429.0,72.3952
429.5,70.3473
430.0,74.0716
430.5,74.3498
431.0,77.6491
431.5,75.0784
432.0,74.8632
432.5,75.2331
433.0,74.3207
433.5,73.7989
434.0,74.2677
434.5,73.6351
435.0,74.7964
435.5,75.7524
436.0,77.0043
436.5,74.2598
437.0,74.7071
437.5,75.0704
438.0,70.1514
438.5,78.1478
439.0,76.3025
439.5,78.369
440.0,78.0839
440.5,76.4163
441.0,76.8092
441.5,75.8468
442.0,80.1768
442.5,76.535
443.0,76.6128
443.5,72.0709
444.0,72.8705
444.5,76.0716
445.0,75.5951
445.5,74.2879
446.0,74.3895
446.5,77.8907
447.0,78.734
447.5,71.8084
448.0,75.1844
448.5,73.5286
449.0,72.2262
449.5,72.8057
450.0,71.7177
450.5,71.9673
451.0,72.6091
451.5,70.366
452.0,69.9363
452.5,67.8353
453.0,69.6811
453.5,69.5664
454.0,68.2349
454.5,68.887
455.0,66.386
455.5,67.4332
456.0,71.1584
456.5,69.8649
457.0,71.6489
457.5,73.3071
458.0,74.4331
458.5,73.2241
459.0,71.7538
459.5,75.429
460.0,75.0071
460.5,72.1649
461.0,71.7369
461.5,71.6224
462.0,73.7252
462.5,72.8825
463.0,72.8204
463.5,73.3794
464.0,72.6372
464.5,73.8353
465.0,71.8262
465.5,72.8417
466.0,70.6789
466.5,70.0955
