DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,HP01,HP02,BIT
1718.8,50.127157,3388.333248,110.849925,0.306166,8.8682,0.04616,2.470405,3.295796,86.600215,93.695101,3.852272,5.264901,4.901193,5.228205,5.162796,5.119644,0.141073,0.053392,5.339069,5.294444,8.5
1718.9,50.131976,3383.789063,109.675458,0.295036,8.889978,0.043858,2.469435,3.281641,86.366525,93.671404,3.894017,5.320895,4.956933,5.28418,5.218732,5.175551,0.141775,0.054093,5.395091,5.35045,8.5
1719.0,50.130764,3394.430052,111.294816,0.286311,8.912309,0.043281,2.46994,3.275137,86.283049,93.679199,3.931823,5.425457,5.091176,5.391792,5.331722,5.29205,0.142434,0.054753,5.493425,5.452542,8.5
1719.1,50.141574,3403.320313,114.719477,0.280968,8.931302,0.045313,2.471806,3.290416,86.387484,93.688536,3.949128,5.468151,5.184795,5.43968,5.388809,5.355163,0.14293,0.055249,5.525544,5.491035,8.5
1719.2,50.131972,3392.482861,117.371095,0.278803,8.94331,0.049568,2.474518,3.318314,86.672565,93.768006,3.934197,5.123428,4.906593,5.101687,5.062788,5.037022,0.143259,0.055577,5.167193,5.140889,8.5
1719.3,50.130175,3372.853995,118.581092,0.279693,8.951862,0.053337,2.474118,3.335435,87.062985,93.795809,3.896922,4.89773,4.73035,4.880975,4.850962,4.831057,0.14369,0.056008,4.931414,4.911176,8.5
1719.4,50.129036,3369.773949,118.544855,0.283693,8.970252,0.053866,2.467817,3.331293,87.415741,93.810434,3.858269,4.967533,4.832442,4.954029,4.929815,4.913739,0.144655,0.056973,4.994655,4.978364,8.5
1719.5,50.145291,3360.112098,117.284438,0.289058,9.012029,0.051585,2.459373,3.316293,87.606398,93.908064,3.829129,5.096733,4.98901,5.085982,5.066687,5.053865,0.146275,0.058594,5.118305,5.105351,8.5
1719.6,50.170375,3352.415741,116.095777,0.294527,9.070684,0.048877,2.453961,3.298837,87.593237,93.950324,3.794282,5.313858,5.20741,5.303239,5.284179,5.27151,0.147926,0.060244,5.33516,5.322369,8.5
1719.7,50.169204,3351.661826,114.869147,0.298527,9.113642,0.048167,2.455042,3.281396,87.422733,93.916034,3.744119,5.412912,5.271236,5.398757,5.373375,5.356522,0.148536,0.060854,5.441336,5.424263,8.5
