DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,RXO_HRLT:1,RXO_HRLT:2,RXO_HRLT:3,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
1278.0264,,8.5,8.5,,0.00592146,0.007827,,66.9402,82.7348,97.7922,,90.8516,,8.5512,8.5923,,-0.0004349,-0.0079,,14.1737,5.9255,,12.667,5.2675,,41.2272,42.2253,,0.193035,,3.372,3.1166,,2.5752,2.4822,,6.3917,4.6153,,7.164,4.9795,,7.5936,5.1093,,7.7007,5.1589,,7.9316,5.2982,,7.7868,4.7467,,15.8133,6.9041,,18.2788,6.4883,,195.7081,173.903,,1392.4133,1449.7561,0.2558
1278.1788,,8.5,8.5,,0.00707851,0.0080112,,76.489,90.7962,99.8533,,95.4305,,8.5602,8.62,,-0.002746,-0.0065,,7.3539,3.4612,,6.569,3.0743,,41.2272,42.2253,,0.229268,,3.1311,3.0427,,2.511,2.4425,,4.7822,4.4493,,5.1665,4.7443,,5.3475,4.8147,,5.4368,4.8592,,5.6039,4.9964,,4.6426,4.8855,,10.1087,4.5635,,7.5342,4.4562,,195.7845,173.4194,,1393.296,1429.8335,0.2668
1278.3312,,8.5,8.5,,0.00783019,0.007571,,85.8686,94.922,98.3618,,96.0893,,8.5904,8.6759,,-0.0036643,-0.003,,3.674,2.8455,,3.2766,2.5378,,41.2272,42.1898,,0.255693,,2.9787,3.0279,,2.435,2.4305,,4.4638,4.4983,,4.7336,4.8622,,4.8606,4.9201,,4.9115,4.9585,,5.0555,5.0998,,4.7978,5.2951,,4.5577,3.8336,,4.7545,3.7608,,195.7096,172.8639,,1396.4104,1409.6217,0.2653
1278.4836,,8.5,8.5,,0.00838933,0.0073178,,92.4107,95.2069,102.2834,,96.2755,,8.628,8.7175,,-0.0033652,0.0011,,2.7615,2.8849,,2.5141,2.5756,,41.2272,42.0966,,0.2813,,2.9541,3.0447,,2.4213,2.441,,4.4648,4.5877,,4.7469,5.0694,,4.8309,5.1535,,4.8834,5.1705,,5.0208,5.3173,,5.1358,5.7077,,3.9818,3.7556,,3.8442,3.6961,,195.4868,172.2681,,1388.6559,1397.1571,0.2662
1278.636,,8.5,8.5,,0.00840936,0.0072888,,95.018,94.6091,103.6774,,104.4787,,8.6803,8.7507,,-0.003206,0.0026,,2.5176,2.8797,,2.3154,2.5992,,41.2272,42.1898,,0.289351,,2.8902,3.0643,,2.4246,2.4492,,4.526,4.7302,,4.9157,5.3078,,4.9808,5.4604,,5.0236,5.4484,,5.1602,5.5983,,5.4162,6.1683,,3.563,3.9333,,3.6568,3.8718,,195.1863,171.5555,,1390.2629,1387.8341,0.2722
1278.7884,,8.5,8.5,,0.00811691,0.007529,,94.9633,94.1426,105.0468,,93.8405,,8.6986,8.7763,,-0.0033096,0.0006,,2.7709,2.7037,,2.522,2.5227,,41.2272,42.2253,,0.283399,,2.8907,3.0717,,2.438,2.4472,,4.6087,4.8892,,5.1226,5.44,,5.2024,5.6958,,5.221,5.6672,,5.3602,5.8134,,5.7455,6.4166,,3.9058,4.1299,,3.7827,4.057,,194.8491,171.0222,,1377.3524,1403.0957,0.2841
1278.9408,,8.5,8.5,,0.00786831,0.0075467,,94.3188,93.7267,101.0619,,95.3507,,8.7361,8.7999,,-0.0022782,-0.0021,,2.6595,3.0048,,2.4701,2.7534,,41.2272,42.2253,,0.282206,,2.949,3.0486,,2.4458,2.4443,,4.7493,4.9575,,5.3237,5.4298,,5.4651,5.7375,,5.4586,5.7292,,5.6011,5.8695,,6.0753,6.3326,,3.9734,4.3007,,3.9492,4.2077,,194.4515,170.6916,,1362.1978,1408.4583,0.2899
1279.0932,,8.5,8.5,,0.00788283,0.0073888,,94.0417,93.8561,101.358,,97.9934,,8.762,8.7983,,-0.0029684,-0.0025,,2.7835,3.403,,2.5994,3.0354,,41.2272,42.2253,,0.29182,,3.0357,3.0134,,2.44,2.4498,,4.9299,4.9454,,5.4789,5.3569,,5.7278,5.6656,,5.7048,5.708,,5.8483,5.8286,,6.3799,6.163,,4.3225,4.403,,4.1641,4.2963,,194.0793,170.6694,,1358.554,1399.2786,0.2858
1279.2456,,8.5,8.5,,0.00804896,0.0072691,,93.7975,94.052,100.147,,102.1732,,8.7816,8.7434,,-0.0049935,-0.0009,,3.2876,3.4869,,2.9565,3.0936,,41.2272,42.2253,,0.304099,,3.052,2.9867,,2.4482,2.4598,,4.9644,4.8572,,5.424,5.2172,,5.7369,5.4996,,5.743,5.609,,5.873,5.7003,,6.2721,5.9501,,4.3856,4.3988,,4.2909,4.288,,193.8311,170.9083,,1359.7389,1400.1293,0.2708
1279.398,,8.5,8.5,,0.00786614,0.0066664,,93.8655,94.3629,106.8813,,103.4012,,8.776,8.7832,,-0.0072446,0.0007,,3.5597,3.2989,,3.158,2.9576,,41.2272,42.2253,,0.296906,,3.0049,2.9836,,2.4455,2.4677,,4.9366,4.8353,,5.3312,5.1753,,5.6357,5.4067,,5.7101,5.5782,,5.8182,5.6507,,6.1152,5.8478,,4.524,4.4174,,4.3529,4.3072,,193.836,171.2792,,1364.2439,1403.0417,0.261
