DEPTH,BS:1,BS:2,BS:3,BS:4,CALI:1,CALI:2,CALI:3,CALI:4,CALI:5,CALI:6,CALI:7,CALI:8,CAPD,DPHI,DRHO:1,DRHO:2,DRHO:3,DRHO:4,DT:1,DT:2,DT:3,GR:1,GR:2,GR:3,GR:4,GR:5,GR:6,GR:7,GR:8,GR:9,GRCF,LLD:1,LLD:2,LLD:3,LLD:4,LLG:1,LLG:2,LLS:1,LLS:2,LLS:3,LLS:4,MINV:1,MINV:2,MINV:3,MINV:4,MINV:5,MINV:6,MINV:7,MLL:1,MLL:2,MLL:3,MLL:4,MLL:5,MLL:6,MLL:7,MNOR:1,MNOR:2,MNOR:3,MNOR:4,MNOR:5,MNOR:6,MNOR:7,NPHI:1,NPHI:2,NPHI:3,NPHI:4,PEDF:1,PEDF:2,PEDF:3,PEDF:4,RHOB:1,RHOB:2,RHOB:3,RHOB:4,SP:1,SP:2,SP:3,TEMP:1,TEMP:2,TEMP:3,TEMP:4,TEMP:5,TEMP:6,TEMP:7,TENS:1,TENS:2,TENS:3
1394.0028,8.5,8.5,8.5,8.5,9.1007,9.119,,,9.119,9.1275,9.119,9.1007,9.1213,0.168611,0.0184361,,0.0165261,0.0184361,97.9218,98.151,97.9218,112.9616,103.387,108.3982,,115.5892,108.3982,102.652,108.3982,103.387,106.3767,4.7986,195.2429,4.1453,4.7986,4.7163,4.7163,4.3707,142.1196,4.1453,4.3707,1.8842,1.9828,,1.8525,1.9828,1.9828,1.8842,2.2171,2.2453,,1.9485,2.2453,2.2453,2.2171,1.5366,1.5295,,1.4492,1.5295,1.5295,1.5366,0.225494,,0.218901,0.225494,3.1013,,3.3705,3.1013,2.4217,,2.4235,2.4217,157.4303,157.334,157.4303,39.9916,39.5996,40.332,,38.8672,40.332,39.5996,678.7466,1039.0846,918.7241
1394.1552,8.5,8.5,8.5,8.5,9.0856,9.119,,,9.119,9.1275,9.119,9.0856,9.1112,0.170567,0.0181075,,0.016013,0.0181076,96.5654,96.8583,96.5654,111.4109,106.589,114.2542,,126.1804,114.2542,105.948,114.2542,106.589,110.0963,4.9121,140.4396,4.1621,4.9121,4.8291,4.8291,4.4549,128.6056,4.1621,4.4549,1.9179,2.0033,,1.9369,2.0033,2.0033,1.9179,2.2825,2.2621,,2.1997,2.2621,2.2621,2.2825,1.5556,1.5509,,1.4463,1.5509,1.5509,1.5556,0.221045,,0.190605,0.221045,3.105,,3.2432,3.105,2.4183,,2.4083,2.4183,157.2769,157.3095,157.2769,39.9916,39.5996,40.332,,38.8672,40.332,39.5996,680.0908,1038.088,922.7867
1394.3076,8.5,8.5,8.5,8.5,9.0764,9.119,,,9.119,9.1169,9.119,9.0764,9.0988,0.171345,0.0166058,,0.0232087,0.0166058,95.2137,95.4715,95.2137,113.2235,106.9508,121.9886,,108.8106,121.9886,107.0566,121.9886,106.9508,109.6717,5.0661,1125.9368,4.2103,5.0661,4.9812,4.9812,4.5735,114.2641,4.2103,4.5735,2.0061,1.9825,,2.0037,1.9825,1.9825,2.0061,2.4264,2.3103,,2.3312,2.3103,2.3103,2.4264,1.5926,1.5532,,1.5149,1.5532,1.5532,1.5926,0.221318,,0.208915,0.221318,3.1414,,3.1023,3.1414,2.417,,2.4247,2.417,157.5287,157.4463,157.5287,39.9916,39.5996,40.332,,38.8672,40.332,39.5996,673.8291,1038.6581,918.5547
1394.46,8.5,8.5,8.5,8.5,9.07,9.119,,,9.119,9.122,9.119,9.07,9.0899,0.16765,0.0149412,,0.0096417,0.0149413,94.6183,94.6928,94.6183,116.4329,104.0701,124.8871,,125.8602,124.8871,104.6325,124.8871,104.0701,116.9556,5.1525,4283.126,4.389,5.1525,5.0694,5.0694,4.6431,114.2641,4.389,4.6431,2.025,1.9951,,1.9385,1.9951,1.9951,2.025,2.8334,2.489,,2.6043,2.489,2.489,2.8334,1.6419,1.5862,,1.4386,1.5862,1.5862,1.6419,0.219558,,0.249678,0.219558,3.175,,3.0501,3.175,2.4233,,2.4259,2.4233,157.6028,157.5993,157.6028,39.9612,39.5996,40.332,,38.8672,40.332,39.5996,672.0714,1037.7498,912.9032
1394.6124,8.5,8.5,8.5,8.5,9.0596,9.1139,,,9.0935,9.1083,9.1139,9.0596,9.0972,0.162629,0.0150604,,0.0203332,0.0150604,95.4478,95.263,95.4478,118.0171,101.1418,119.7901,,108.8545,119.7901,101.57,119.7901,101.1418,124.1048,5.1704,3429.8611,4.5071,5.1704,5.0863,5.0863,4.6657,89.481,4.5071,4.6657,2.0618,2.0183,,1.8101,2.0183,2.0183,2.0618,2.8941,2.6071,,2.7788,2.6071,2.6071,2.8941,1.6361,1.5958,,1.5895,1.5958,1.5958,1.6361,0.216868,,0.203966,0.216868,3.1653,,3.6012,3.1653,2.4319,,2.4664,2.4319,157.615,157.6057,157.615,39.8138,39.5996,40.332,,38.8672,40.332,39.5996,676.4075,1047.3951,911.1035
1394.7648,8.5,8.5,8.5,8.5,9.0418,9.0825,,,9.0534,9.0715,9.0825,9.0418,9.0887,0.161686,0.0174996,,0.0148324,0.0174996,97.38,97.0916,97.38,116.779,100.3309,113.8353,,118.9819,113.8353,100.3904,113.8353,100.3309,121.0183,5.0629,1414.6539,4.4662,5.0629,4.9795,4.9795,4.5893,362.6315,4.4662,4.5893,2.0438,2.0343,,1.8755,2.0343,2.0343,2.0438,2.6875,2.5662,,2.2578,2.5662,2.5662,2.6875,1.5999,1.5898,,1.521,1.5898,1.5898,1.5999,0.215586,,0.203905,0.215586,3.0976,,3.3799,3.0976,2.4335,,2.4131,2.4335,157.8232,157.8073,157.8232,40.0327,39.5996,40.332,,38.8672,40.332,39.5996,680.6775,1050.8429,912.6653
1394.9172,8.5,8.5,8.5,8.5,9.0005,9.02,,,9.0034,8.9526,9.02,9.0005,9.0124,0.16935,0.0213104,,0.020506,0.0213104,99.4948,99.2198,99.4948,115.5777,101.7817,111.1844,,98.2149,111.1844,101.5511,111.1844,101.7817,109.6079,4.975,66.7421,4.2904,4.975,4.8888,4.8888,4.5263,3666.9902,4.2904,4.5263,2.0113,2.0465,,2.0114,2.0465,2.0465,2.0113,2.2498,2.3904,,2.0852,2.3904,2.3904,2.2498,1.5767,1.5851,,1.5183,1.5851,1.5851,1.5767,0.214541,,0.262987,0.214541,3.0283,,3.3131,3.0283,2.4204,,2.4082,2.4204,157.7969,157.7971,157.7969,39.9793,39.5996,40.332,,38.8672,40.332,39.5996,679.0964,1038.3417,927.8108
1395.0696,8.5,8.5,8.5,8.5,8.9225,8.9543,,,8.951,8.8306,8.9543,8.9225,8.9007,0.184762,0.024733,,0.0339003,0.024733,101.107,100.9403,101.107,115.6354,102.7471,108.7374,,105.4592,108.7374,102.6756,108.7374,102.7471,121.9564,4.8895,105.8037,3.903,4.8895,4.804,4.804,4.4639,4294.1475,3.903,4.4639,1.9662,1.9714,,1.9684,1.9714,1.9714,1.9662,1.9278,2.003,,2.0561,2.003,2.003,1.9278,1.5822,1.5549,,1.552,1.5549,1.5549,1.5822,0.21465,,0.229457,0.21465,2.9834,,3.0635,2.9834,2.3941,,2.4029,2.3941,158.1984,158.1536,158.1984,39.9857,39.5996,40.332,,38.8672,40.332,39.5996,673.8267,1035.001,918.1295
1395.222,8.5,8.5,8.5,8.5,8.8732,8.907,,,8.9109,8.787,8.907,8.8732,8.8032,0.200624,0.024058,,0.0227312,0.024058,101.7707,101.723,101.7707,116.1704,101.9691,107.3819,,103.9811,107.3819,102.0654,107.3819,101.9691,112.4334,4.8538,165.6845,3.7903,4.8538,4.7725,4.7725,4.435,6592.8584,3.7903,4.435,1.9026,1.894,,2.0977,1.894,1.894,1.9026,1.7781,1.8903,,1.5736,1.8903,1.8903,1.7781,1.6139,1.5495,,1.608,1.5495,1.5495,1.6139,0.212651,,0.217625,0.212651,2.9831,,3.2587,2.9831,2.3669,,2.3384,2.3669,157.952,157.9909,157.952,40.0728,39.5996,40.332,,38.8672,40.332,39.5996,677.1047,1036.7526,912.1437
1395.3744,8.5,8.5,8.5,8.5,8.8685,8.8878,,,8.9109,8.7507,8.8878,8.8685,8.7486,0.209366,0.0217876,,0.0089114,0.0217875,101.702,101.7137,101.702,114.5731,101.2283,107.5328,,101.9716,107.5328,101.2828,107.5328,101.2283,117.7064,4.7971,1031.4088,3.7579,4.7971,4.7171,4.7171,4.3915,624.2373,3.7579,4.3915,1.8494,1.8377,,1.8901,1.8377,1.8377,1.8494,1.7617,1.8579,,2.039,1.8579,1.8579,1.7617,1.5847,1.556,,1.6188,1.556,1.556,1.5847,0.211796,,0.198839,0.211796,3.0486,,2.7358,3.0486,2.352,,2.3271,2.352,157.8822,157.8816,157.8822,40.0604,39.5996,40.332,,38.8672,40.332,39.5996,680.5654,1040.0023,926.2907
