DEPT,RHO8,PEFZ,DT,RLA2,RLA4,RT,RLA0,RXO8,GR,BS,CALI,TVDSS,TENS,RLA3,RLA1,RLA5,SP,HDRA,TNPH
1691.945,2.504,3.131,82.315,6.333,6.713,7.113,0.082,6.118,106.149,8.5,8.903,1366.576,3497.067,6.52,6.233,6.86,-328.638,0.002,0.254
1692.097,2.53,3.121,81.372,6.562,6.992,7.462,0.083,6.491,109.477,8.5,8.903,1366.719,3499.801,6.786,6.499,7.197,-328.571,0.002,0.242
1692.25,2.543,3.126,80.614,6.717,7.183,7.624,0.083,6.863,107.929,8.5,8.929,1366.861,3562.399,6.974,6.721,7.41,-327.592,0.002,0.228
1692.402,2.543,3.153,80.212,7.291,7.794,8.165,0.081,7.267,95.571,8.5,8.906,1367.002,3598.0,7.56,7.416,8.069,-327.426,0.001,0.225
1692.554,2.536,3.193,79.97,7.559,8.068,8.389,0.081,7.782,119.183,8.5,8.914,1367.144,3539.801,7.817,7.76,8.361,-324.658,0.002,0.23
1692.707,2.538,3.24,79.938,7.457,7.96,8.321,0.081,7.735,103.106,8.5,8.891,1367.286,3548.0,7.707,7.654,8.283,-322.9,0.002,0.229
1692.859,2.52,3.277,80.941,7.305,7.765,8.128,0.081,7.427,94.313,8.5,8.854,1367.428,3533.601,7.542,7.46,8.078,-317.492,0.003,0.232
1693.012,2.513,3.289,81.42,7.264,7.703,8.09,0.081,7.214,107.916,8.5,8.802,1367.575,3568.687,7.483,7.396,8.028,-322.621,0.001,0.231
1693.164,2.528,3.273,81.749,7.081,7.5,7.936,0.081,7.22,110.5,8.5,8.835,1367.721,3433.934,7.303,7.172,7.822,-326.208,0.002,0.24
1693.316,2.532,3.228,82.248,6.672,7.002,7.52,0.082,7.486,96.186,8.5,8.824,1367.863,3490.467,6.863,6.624,7.322,-325.283,0.001,0.241
1693.469,2.525,3.193,82.455,6.545,6.812,7.353,0.082,7.366,110.346,8.5,8.802,1368.006,3570.667,6.687,6.402,7.109,-323.946,0.003,0.245
1693.621,2.504,3.165,82.787,6.475,6.739,7.251,0.083,6.878,109.453,8.5,8.824,1368.15,3597.199,6.598,6.317,7.006,-322.3,0.002,0.252
1693.774,2.486,3.158,83.056,6.492,6.766,7.261,0.083,6.515,104.755,8.5,8.824,1368.292,3597.734,6.612,6.311,6.994,-322.742,0.002,0.264
1693.926,2.504,3.161,83.411,6.347,6.658,7.074,0.083,6.331,112.121,8.5,8.899,1368.439,3554.187,6.531,6.218,6.828,-325.15,0.004,0.261
1694.078,2.513,3.173,83.657,6.306,6.672,7.153,0.084,6.189,110.78,8.5,8.824,1368.58,3579.356,6.582,6.165,6.821,-321.875,0.01,0.276
1694.231,2.504,3.147,83.405,6.395,6.791,7.361,0.084,6.05,110.814,8.5,8.832,1368.72,3570.867,6.724,6.196,6.924,-321.288,0.01,0.282
1694.383,2.498,3.111,82.949,6.483,6.858,7.64,0.084,6.009,107.512,8.5,8.835,1368.867,3544.187,6.82,6.138,7.005,-321.1,0.007,0.295
1694.536,2.474,3.046,83.072,6.427,6.786,7.626,0.083,5.472,114.704,8.5,8.835,1369.014,3553.667,6.756,5.996,6.897,-322.842,0.001,0.282
1694.688,2.474,2.998,82.984,6.705,7.02,7.908,0.082,5.31,111.042,8.5,8.809,1369.154,3660.0,6.997,6.198,7.137,-320.904,0.005,0.279
1694.84,2.461,2.937,85.315,6.908,7.171,8.079,0.082,4.76,95.161,8.5,8.809,1369.296,3645.0,7.126,6.329,7.285,-318.271,0.011,0.271
1694.993,2.386,2.86,88.682,5.711,5.989,6.895,0.082,3.603,96.58,8.5,8.757,1369.443,3593.499,5.904,5.183,6.103,-316.828,0.012,0.278
1695.145,2.32,2.777,90.269,4.7,4.974,5.709,0.083,2.082,87.403,8.5,8.69,1369.589,3554.133,4.88,4.31,5.086,-316.904,0.007,0.29
1695.298,2.347,2.731,91.897,5.17,5.498,6.372,0.082,2.103,86.201,8.5,8.555,1369.732,3541.199,5.382,4.722,5.623,-317.212,0.003,0.293
1695.45,2.397,2.773,88.654,4.985,5.264,6.005,0.082,2.649,98.144,8.5,8.555,1369.872,3541.134,5.186,4.593,5.375,-319.508,0.005,0.301
1695.602,2.468,2.909,86.963,5.113,5.381,6.149,0.081,3.811,100.973,8.5,8.779,1370.015,3530.867,5.298,4.661,5.472,-320.975,0.014,0.289
1695.755,2.532,3.054,83.568,7.528,7.929,9.36,0.081,6.621,104.672,8.5,8.869,1370.157,3623.866,7.813,6.547,8.023,-321.075,0.019,0.281
1695.907,2.551,3.154,81.345,7.691,8.183,9.586,0.083,6.956,108.197,8.5,8.914,1370.299,3513.0,8.098,6.896,8.253,-322.145,0.022,0.275
1696.06,2.535,3.19,80.713,6.989,7.507,8.559,0.084,6.215,105.484,8.5,8.903,1370.445,3478.312,7.43,6.48,7.572,-322.725,0.015,0.287
1696.212,2.548,3.211,80.902,7.05,7.646,8.63,0.083,6.728,103.138,8.5,8.899,1370.592,3482.266,7.529,6.64,7.711,-322.571,0.012,0.275
1696.364,2.529,3.224,82.238,6.935,7.535,8.227,0.084,7.768,101.048,8.5,8.903,1370.735,3580.667,7.385,6.756,7.634,-317.304,0.008,0.276
1696.517,2.509,3.219,83.494,6.06,6.487,6.692,0.083,5.635,113.87,8.5,8.847,1370.876,3621.4,6.314,6.12,6.59,-310.837,0.005,0.26
1696.669,2.493,3.188,84.596,6.035,6.398,6.542,0.083,5.785,116.195,8.5,8.847,1371.018,3492.668,6.213,6.105,6.512,-305.333,0.003,0.263
1696.822,2.502,3.135,84.681,6.077,6.402,6.572,0.083,5.949,102.283,8.5,8.854,1371.16,3482.533,6.227,6.118,6.54,-307.183,0.001,0.25
