DEPTH,BS:1,BS:2,BS:3,BS:4,BS:5,BS:6,DNPH:1,DNPH:2,DTCO:1,DTCO:2,DTCO:3,DTCO:4,DTRP:1,DTRP:2,DTRP:3,DTRP:4,DTRS:1,DTRS:2,DTRS:3,DTRS:4,DTSM:1,DTSM:2,DTSM:3,DTSM:4,DTTP:1,DTTP:2,DTTP:3,DTTP:4,DTTS:1,DTTS:2,DTTS:3,DTTS:4,DT_XD_R,DT_XD_T,ECGR:1,ECGR:2,ECGR:3,ECGR:4,ECGR:5,EHGR,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RLA1:1,RLA1:2,RLA2:1,RLA2:2,RLA3:1,RLA3:2,RLA4:1,RLA4:2,RLA5:1,RLA5:2,RT_HRLT:1,RT_HRLT:2,RXO8,RXOZ,RXO_HRLT:1,RXO_HRLT:2,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,TENS:5,TENS:6,TNPH
1411.8336,8.5,8.5,8.5,8.5,8.5,8.5,0.00558389,0.00436863,98.0468,,98.0468,,96.6156,,96.6156,,,,,,198.1095,,198.1095,,99.6624,,99.6624,,,,,,197.041,199.177,110.826,,110.826,,111.1882,116.3296,9.2124,9.2943,9.3578,0.0363,0.012543,0.7441,0.6997,0.9184,0.8563,43.0237,42.0257,0.355279,3.1138,3.1992,2.36,2.3805,4.6616,4.5817,4.8824,4.8148,5.1161,5.0763,5.2059,5.1488,5.2351,5.1749,5.8329,5.8316,2.448,2.7095,2.6153,2.5029,-436.0577,-442.822,1581.5043,,1581.5043,,1581.5076,1561.9757,0.358077
1411.986,8.5,8.5,8.5,8.5,8.5,8.5,0.00681698,0.00492546,98.0587,,98.0587,,96.8673,,96.8673,,,,,,197.4516,,197.4516,,99.3759,,99.3759,,,,,,197.3494,197.553,110.5123,,110.5123,,111.0086,107.3226,9.0754,9.1867,9.2482,0.0554,0.025963,0.6363,0.6704,0.783,0.8155,43.0237,42.0257,0.355342,3.1711,3.2937,2.3819,2.3995,4.5425,4.641,4.798,4.8884,5.0449,5.128,5.1281,5.2167,5.1514,5.2324,5.8248,5.9569,2.2696,2.5809,2.5162,2.3312,-436.1488,-443.0625,1568.2206,,1568.2206,,1568.2145,1563.1948,0.371589
1412.1384,8.5,8.5,8.5,8.5,8.5,8.5,0.00618389,0.00268302,98.1434,,98.1434,,97.324,,97.324,,,,,,196.8598,,196.8598,,99.191,,99.191,,,,,,197.604,196.1151,109.0935,,109.0935,,109.3407,117.2641,9.2006,9.257,9.437,0.076,0.062075,0.6355,0.6905,0.8121,0.8671,43.0237,42.0257,0.34095,3.2411,3.4274,2.4472,2.4558,4.5776,4.6242,4.8508,4.8832,5.1046,5.1643,5.1831,5.2307,5.2101,5.2574,5.7634,5.8248,2.8547,3.0068,2.9392,2.9382,-436.4952,-443.3173,1587.9469,,1587.9469,,1587.9504,1552.5468,0.367097
1412.2908,8.5,8.5,8.5,8.5,8.5,8.5,0.00633813,0.00252029,98.2474,,98.2474,,97.6856,,97.6856,,,,,,196.5544,,196.5544,,98.9898,,98.9898,,,,,,197.704,195.4047,107.8911,,107.8911,,108.5581,110.8491,8.9498,9.1023,9.3197,0.1051,0.118272,0.5057,0.7388,0.7093,0.9983,43.0237,42.0257,0.304539,3.2905,3.572,2.5458,2.5081,4.7184,5.0928,5.0631,5.468,5.3358,5.731,5.4097,5.8215,5.4373,5.8423,5.3911,5.9358,5.7291,4.8965,4.7463,4.7734,-436.803,-443.6107,1578.1656,,1578.1656,,1578.1588,1538.7577,0.335852
1412.4432,8.5,8.5,8.5,8.5,8.5,8.5,0.00687036,0.00590259,98.4159,,98.4159,,98.0247,,98.0247,,,,,,196.5025,,196.5025,,98.9768,,98.9768,,,,,,197.6681,195.3371,107.8753,,107.8753,,108.3739,105.6267,8.7965,8.9095,8.9247,0.1555,0.191925,1.0197,6.1915,1.4048,5.6719,43.0237,42.0257,0.298039,3.9687,3.6224,2.7007,2.544,6.0675,6.2684,6.6084,6.8009,6.9403,7.1308,7.0448,7.2441,7.0646,7.2593,7.1459,7.5756,9.8575,6.168,5.9787,5.5747,-436.9952,-443.7357,1600.6332,,1600.6332,,1600.6315,1566.7511,0.308433
1412.5956,8.5,8.5,8.5,8.5,8.5,8.5,0.00619065,0.00656863,98.6188,,98.6188,,97.992,,97.992,,,,,,196.3542,,196.3542,,99.2293,,99.2293,,,,,,197.2264,195.482,106.7516,,106.7516,,107.3467,108.3301,8.9074,9.0446,9.0192,0.1956,0.235265,1.0109,1.0382,1.3024,1.2331,43.0237,42.0257,0.33349,3.0812,3.5117,2.4999,2.5292,5.7506,5.3709,6.34,5.8944,6.6794,6.1854,6.7859,6.3009,6.7957,6.3025,7.389,7.0684,3.7816,4.9172,4.8013,3.9463,-437.0821,-443.6589,1609.6592,,1609.6592,,1609.6732,1548.2139,0.318529
1412.748,8.5,8.5,8.5,8.5,8.5,8.5,0.00743137,0.00751698,98.6546,,98.6546,,97.7686,,97.7686,,,,,,196.061,,196.061,,99.4291,,99.4291,,,,,,196.6705,195.4516,105.7914,,105.7914,,106.3647,113.8739,8.8254,8.9579,8.9345,0.1963,0.223976,0.5899,0.6649,0.7616,0.8295,43.0237,42.0333,0.363311,2.9816,3.309,2.508,2.5118,5.1555,4.8128,5.76,5.3062,6.0681,5.5944,6.1848,5.7093,6.1894,5.722,7.1659,6.7373,2.6485,3.1721,3.125,2.925,-436.6923,-443.25,1562.2273,,1562.2273,,1562.2211,1565.6057,0.335354
1412.9004,8.5,8.5,8.5,8.5,8.5,8.5,0.00785597,0.00672288,98.7929,,98.7929,,98.1733,,98.1733,,,,,,195.8981,,195.8981,,99.6148,,99.6148,,,,,,196.3588,195.4374,103.9171,,103.9171,,104.2882,107.7572,8.9103,8.9984,9.1034,0.1457,0.157988,0.995,1.5226,1.1307,1.5344,43.0237,42.1179,0.371122,3.2698,3.1561,2.5554,2.4851,4.8391,4.6736,5.304,5.0924,5.5872,5.3463,5.7024,5.4643,5.7003,5.4676,6.7384,6.4273,2.826,2.739,2.7262,2.6712,-436.322,-442.822,1576.7827,,1576.7827,,1576.7875,1528.4327,0.359368
1413.0528,8.5,8.5,8.5,8.5,8.5,8.5,0.00572878,0.00610849,99.1435,,99.1435,,98.7734,,98.7734,,,,,,196.08,,196.08,,99.8138,,99.8138,,,,,,196.6881,195.4719,108.0511,,108.0511,,108.474,115.2953,9.1675,9.2653,9.2502,0.0775,0.079686,1.6308,1.9748,1.6207,1.8106,43.0237,42.1255,0.377699,3.1801,3.0866,2.481,2.4525,4.6535,4.6514,4.9773,4.9613,5.2208,5.2236,5.3343,5.3393,5.3272,5.3353,6.0067,6.0345,2.7916,2.9198,2.8681,2.8388,-436.072,-442.5191,1562.4938,,1562.4938,,1562.4867,1529.7864,0.357175
1413.2052,8.5,8.5,8.5,8.5,8.5,8.5,0.00583899,0.00479151,99.4597,,99.4597,,99.2304,,99.2304,,,,,,196.3123,,196.3123,,99.9174,,99.9174,,,,,,197.1764,195.4482,108.5184,,108.5184,,108.9913,120.7263,9.1714,9.2804,9.4148,0.029,0.027384,1.8529,1.4763,1.7861,1.5304,43.0237,42.1179,0.376294,3.1365,3.08,2.4201,2.4172,4.6434,4.5611,4.8664,4.8083,5.1357,5.0337,5.2387,5.1328,5.2323,5.136,5.7821,5.6532,2.9758,2.9381,2.8522,2.8618,-435.9423,-442.447,1585.2595,,1585.2595,,1585.2635,1540.0081,0.363012
