DEPTH,BS,DI_HRLT,DPH8,DSO8,DT,EHGR_EDTC,HCAL,HDRA,HGR,HGR_EDTC,HMIN,HMNO,HNPO,HTEM,HTNP,PEF8,PEM8,REMS,RHO8,RLA0,RLA1,RLA2,RLA3,RLA4,RLA5,RM_HRLT,ROM8,RO_HILT,RSO8,RT,RT_HRLT,RXO8,RXO_HRLT,SP,SPHI,TENS,TNPH
1146.3528,8.5,25.8695,0.154893,0.002399,98.3041,95.5498,8.7885,0.0181,103.8951,95.3753,2.6258,2.5081,0.3057,39.5983,0.3174,3.095,1.486,0.1629,2.4452,0.148295,8.6914,10.9695,12.1562,12.8361,13.707,0.155388,1.1928,11.031,0.042554,17.0933,17.2101,4.298,4.7356,-243.1938,0.268689,1292.3455,0.3141
1146.5052,8.5,25.6698,0.12528,-0.026926,96.6832,96.5048,8.7042,0.0176,114.5439,96.2828,3.2928,3.0928,0.2998,39.5983,0.3102,3.1642,1.4864,0.1629,2.4958,0.152503,9.1856,11.5856,12.7924,13.4789,14.3669,0.157215,1.2133,11.7347,0.021138,17.8096,18.0155,5.1726,5.0089,-242.9647,0.262946,1291.486,0.3117
1146.6576,8.5,25.6069,0.147972,-0.01644,98.7339,97.297,8.6554,0.014,111.7725,97.2744,2.728,2.656,0.3042,39.5983,0.311,3.1498,1.486,0.1629,2.457,0.151566,8.9204,11.1974,12.3833,13.0055,13.8769,0.155397,1.7273,11.1056,0.03648,17.2278,17.3674,4.7692,4.8961,-241.4136,0.270142,1294.1628,0.3142
1146.81,8.5,25.544,0.170664,-0.005955,100.7846,98.0892,8.6067,0.0103,109.0011,98.266,2.1633,2.2192,0.3087,39.5983,0.3118,3.1354,1.4855,0.1629,2.4182,0.150629,8.6551,10.8093,11.9742,12.5322,13.3869,0.153579,2.2413,10.4764,0.051822,16.6459,16.7193,4.3658,4.7833,-239.8625,0.277338,1296.8398,0.3168
1146.9624,8.5,25.481,0.193356,0.00453,102.8353,98.8814,8.558,0.0067,106.2297,99.2576,1.5985,1.7824,0.3131,39.5983,0.3126,3.121,1.485,0.1629,2.3794,0.149691,8.3898,10.4211,11.5651,12.0588,12.897,0.15176,2.7553,9.8473,0.067164,16.0641,16.0712,3.9624,4.6705,-238.3115,0.284535,1299.5167,0.3194
1147.1148,8.5,25.4908,0.213936,0.005798,104.0889,92.2524,8.5981,0.0044,97.9606,92.4527,1.4093,1.5422,0.3234,39.5983,0.3163,2.9812,1.4869,0.1629,2.3442,0.144223,8.1707,10.4315,11.6102,12.1298,12.989,0.148894,2.5077,9.3269,0.054682,16.3831,16.3365,3.3345,4.395,-236.675,0.288686,1304.3407,0.3211
1147.2672,8.5,25.5244,0.233825,0.004046,105.0815,83.1927,8.6673,0.0026,87.8909,83.0943,1.3431,1.3663,0.3356,39.5983,0.321,2.8003,1.4896,0.1629,2.3102,0.13727,7.9667,10.5725,11.8041,12.3791,13.2716,0.145685,2.0107,8.842,0.033087,16.9972,16.901,2.6331,4.0662,-235.0106,0.29184,1309.8679,0.3227
1147.4196,8.5,25.5581,0.253714,0.002294,106.074,74.133,8.7365,0.0008,77.8211,73.7359,1.277,1.1905,0.3478,39.5983,0.3256,2.6195,1.4923,0.1629,2.2761,0.130318,7.7627,10.7135,11.9979,12.6283,13.5542,0.142476,1.5137,8.3572,0.011492,17.6114,17.4655,1.9317,3.7374,-233.3461,0.294994,1315.3951,0.3242
1147.572,8.5,25.6285,0.259768,-0.000648,106.2583,72.3787,8.7753,-0.0006,73.8504,71.8364,1.2853,1.1399,0.3454,39.5983,0.3256,2.5629,1.4937,0.1629,2.2658,0.128368,7.6391,10.8147,12.1619,12.8483,13.8101,0.141401,1.3494,8.2026,0.001525,18.0907,17.9265,1.6313,3.5346,-232.4001,0.295583,1317.4927,0.3233
1147.7244,8.5,25.7402,0.250372,-0.004919,105.5402,78.7822,8.7802,-0.0015,76.6901,78.2659,1.3767,1.2292,0.3269,39.5983,0.3202,2.6451,1.4937,0.1629,2.2818,0.132003,7.6052,10.8713,12.2926,13.0357,14.036,0.142707,1.5564,8.4169,0.00454,18.4195,18.272,1.7788,3.4727,-232.2564,0.293306,1315.7606,0.3198
1147.8768,8.5,25.8519,0.240977,-0.009189,104.822,85.1857,8.7851,-0.0024,79.5298,84.6954,1.4682,1.3185,0.3083,39.5983,0.3148,2.7273,1.4936,0.1629,2.2979,0.135639,7.5713,10.928,12.4232,13.223,14.262,0.144014,1.7634,8.6311,0.007555,18.7484,18.6174,1.9263,3.4107,-232.1127,0.29103,1314.0284,0.3164
1148.0292,8.5,25.9542,0.234092,-0.01235,104.2451,90.2093,8.7766,-0.003,81.4234,89.7807,1.5378,1.3855,0.2923,39.5983,0.3087,2.788,1.494,0.1629,2.3096,0.138422,7.5218,10.9754,12.5558,13.4093,14.4905,0.144851,1.8939,8.8798,0.009475,19.083,18.9716,2.0347,3.3379,-231.8748,0.289204,1311.9476,0.3116
1148.1816,8.5,26.017,0.237804,-0.01083,104.2643,89.4109,8.7114,-0.0022,79.3254,89.1947,1.5157,1.3584,0.2875,39.5983,0.2998,2.7577,1.4959,0.1629,2.3033,0.13761,7.4067,10.9842,12.6963,13.5911,14.7301,0.143705,1.7017,9.2737,0.006772,19.4419,19.3624,1.9779,3.2195,-231.2396,0.289281,1308.3959,0.3014
