DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
2075.2,0.135805,0.048123,50.992701,3092.285156,124.629291,0.310469,8.707521,0.068519,2.440198,3.155655,88.031623,-5.026765,4.091107,5.199894,5.150475,5.117791,5.077228,5.005027,4.957467,4.716742,8.5
2075.3,0.136023,0.048341,50.929508,3094.238281,123.830003,0.30541,8.715817,0.061328,2.435054,3.149389,87.735204,-5.058997,4.081418,5.192394,5.151357,5.124182,5.09042,5.030217,4.990485,4.789388,8.5
2075.4,0.136244,0.048562,50.908955,3092.285156,122.334746,0.301419,8.721494,0.056145,2.430346,3.173785,87.528313,-5.092142,4.074847,5.174047,5.14587,5.127176,5.103909,5.062307,5.034772,4.895436,8.5
2075.5,0.136568,0.048886,51.009497,3094.238281,119.673743,0.299114,8.729987,0.055872,2.430839,3.191807,87.417625,-5.018554,4.065984,5.084273,5.070615,5.061534,5.050211,5.029906,5.016423,4.94823,8.5
2075.6,0.136923,0.049241,50.962895,3092.285156,116.609251,0.298302,8.742203,0.059893,2.435909,3.195756,87.389392,-4.88932,4.067885,5.082712,5.080664,5.0793,5.077598,5.07454,5.072505,5.062211,8.5
2075.7,0.137167,0.049485,50.956597,3095.703125,114.733049,0.297798,8.752718,0.066516,2.445445,3.17137,87.428312,-4.913038,4.066915,5.030844,5.035481,5.038575,5.042445,5.04942,5.054077,5.077586,8.5
2075.8,0.137268,0.049586,51.007874,3097.167969,114.17252,0.296569,8.757776,0.071886,2.453872,3.143011,87.513665,-4.941622,4.079096,5.14123,5.148937,5.154081,5.160518,5.172126,5.179879,5.219001,8.5
2075.9,0.137323,0.049642,50.999317,3102.050781,114.668719,0.296938,8.759149,0.07429,2.458946,3.136017,87.638193,-4.92581,4.092187,5.165945,5.174181,5.179679,5.18656,5.198969,5.207258,5.24907,8.5
2076.0,0.137401,0.049719,50.993195,3104.003906,115.602959,0.301144,8.761338,0.072819,2.457797,3.160803,87.805152,-4.998181,4.105547,5.052836,5.060238,5.065179,5.071361,5.08251,5.089957,5.12753,8.5
2076.1,0.137476,0.049795,51.008727,3102.050781,117.630493,0.310874,8.764087,0.068278,2.450594,3.201836,87.983925,-5.104305,4.104985,4.950961,4.956033,4.959416,4.963649,4.971278,4.97637,5.002054,8.5
2076.2,0.137519,0.049837,51.00477,3105.46875,119.998563,0.321491,8.766151,0.063292,2.441698,3.246494,88.109196,-5.102177,4.101409,4.838512,4.841911,4.844179,4.847015,4.852126,4.855537,4.872753,8.5
2076.3,0.137519,0.049837,51.035799,3099.609375,121.741348,0.329609,8.766784,0.06155,2.438606,3.284333,88.102673,-5.097311,4.100701,4.887762,4.88852,4.889026,4.889658,4.890795,4.891554,4.895381,8.5
2076.4,0.13748,0.049798,50.994643,3083.007812,122.273462,0.329798,8.76614,0.063605,2.442244,3.302863,87.913824,-5.135321,4.111868,4.918243,4.917283,4.916643,4.915843,4.914404,4.913446,4.908611,8.5
2076.5,0.137402,0.049721,50.938111,3082.03125,120.822428,0.322635,8.76432,0.067945,2.449809,3.313252,87.542793,-5.207693,4.163602,4.985532,4.982562,4.980583,4.97811,4.973661,4.970698,4.955743,8.5
2076.6,0.137298,0.049616,50.960478,3097.167969,117.448325,0.309244,8.761189,0.072063,2.456318,3.31373,87.046106,-5.329021,4.27525,5.063795,5.060971,5.05909,5.05674,5.052512,5.049695,5.035473,8.5
2076.7,0.137243,0.049561,50.930632,3103.515625,113.386069,0.29571,8.757672,0.075125,2.460273,3.313899,86.52009,-5.440011,4.405242,5.331252,5.328115,5.326026,5.323415,5.318719,5.31559,5.299802,8.5
2076.8,0.137339,0.049658,50.924605,3108.886719,110.144102,0.284736,8.757673,0.076248,2.459497,3.297705,86.074637,-5.557082,4.504741,5.62973,5.628206,5.62719,5.62592,5.623636,5.622114,5.61443,8.5
2076.9,0.13754,0.049859,50.945153,3105.46875,109.117612,0.278096,8.763819,0.075109,2.454042,3.256633,85.81151,-5.680843,4.525196,5.35895,5.359473,5.359822,5.360258,5.361043,5.361567,5.364213,8.5
2077.0,0.137671,0.049989,50.983237,3106.933594,109.901057,0.274141,8.770492,0.072183,2.446056,3.201809,85.773891,-5.811294,4.467212,5.136816,5.138068,5.138904,5.139947,5.141827,5.143081,5.149414,8.5
2077.1,0.137658,0.049976,50.99693,3105.957031,110.958886,0.271894,8.772147,0.068995,2.438797,3.164578,85.909834,-5.876671,4.326873,5.150007,5.148262,5.147099,5.145648,5.143039,5.141302,5.132526,8.5
2077.2,0.137604,0.049923,50.918771,3091.308594,110.472973,0.27157,8.769659,0.066138,2.431948,3.150923,86.143102,-5.965767,4.161096,5.21123,5.202667,5.196967,5.189853,5.177078,5.168582,5.125627,8.5
2077.3,0.137665,0.049984,50.995914,3081.054688,109.041194,0.27367,8.768731,0.065222,2.428346,3.157352,86.400689,-6.057599,4.012518,5.085853,5.068443,5.056872,5.042449,5.016599,4.999445,4.912682,8.5
