DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
1111.9,0.170467,0.082786,41.638961,2016.601563,96.104931,0.536468,9.409236,0.132322,2.044635,2.703478,130.06559,-44.521684,0.576912,2.57977,2.921516,3.174854,3.523488,4.253032,4.823572,7.096914,8.5
1112.0,0.184856,0.097175,41.692643,2018.664298,100.273339,0.492074,10.175987,0.121233,2.094577,2.753633,125.942119,-43.056176,0.494895,3.005724,3.120865,3.201403,3.306555,3.509188,3.654514,4.329714,8.5
1112.1,0.166317,0.078635,41.671783,2014.216859,104.17104,0.435933,10.034818,0.110371,2.15887,2.840388,120.888532,-40.497502,0.537712,4.064236,3.963736,3.89884,3.820025,3.68439,3.598256,3.170736,8.5
1112.2,0.137337,0.049655,41.680953,2016.279464,106.727301,0.387519,8.959729,0.101383,2.21058,2.904296,116.754483,-37.142616,0.676788,5.268811,4.970057,4.780359,4.553386,4.171648,3.935106,2.780556,8.5
1112.3,0.130652,0.04297,41.679696,2009.825368,107.583057,0.363949,8.550258,0.095995,2.231502,2.914051,114.513249,-33.553836,0.916869,5.724436,5.465443,5.299881,5.100568,4.762092,4.550104,3.508785,8.5
1112.4,0.130963,0.043282,41.678229,2006.835938,107.263444,0.361076,8.545002,0.094916,2.235653,2.896053,113.392019,-30.318365,1.094536,5.857128,5.850847,5.847705,5.844935,5.843127,5.844142,5.848959,8.5
1112.5,0.131703,0.044022,41.691993,2031.25,107.394336,0.372819,8.571484,0.094412,2.23205,2.874751,112.56772,-27.578726,1.10737,5.69498,6.012801,6.23465,6.52372,7.078908,7.475567,9.361153,8.5
1112.6,0.132089,0.044407,41.661219,2032.975205,107.239945,0.387,8.589036,0.091843,2.228712,2.875032,111.429904,-25.752578,1.052357,5.855021,6.493652,6.958384,7.587246,8.868825,9.843707,14.011146,8.5
1112.7,0.132226,0.044545,41.655756,2036.132813,106.119432,0.393442,8.594801,0.089814,2.230847,2.906449,109.835521,-24.557264,0.987724,6.738517,7.690027,8.39811,9.375867,11.432483,13.049236,19.399567,8.5
1112.8,0.132366,0.044684,41.6456,2006.919112,104.414022,0.387214,8.59843,0.091756,2.242833,2.938164,107.652648,-23.801885,0.971441,7.306286,8.424942,9.264325,10.432117,12.917488,14.895274,22.209265,8.5
