TVD,GR,ROP
126.3396,71.7357,25.1361
126.492,69.4473,25.5216
126.6444,66.3688,28.55
126.7968,61.9781,31.7749
126.9492,59.4639,32.9529
127.1016,58.6253,30.4435
127.254,58.1066,28.3438
127.4064,56.5136,24.6276
127.5588,57.5413,24.0232
127.7112,57.0572,20.8111
127.8636,56.2894,17.3063
128.016,58.4347,20.6715
128.1684,60.3076,23.4558
128.3208,61.016,32.2384
128.4732,61.0447,41.2274
128.6256,60.3582,44.0018
128.778,59.3498,41.7888
128.9304,59.4929,35.7938
129.0828,59.9317,27.1619
129.2352,63.2191,21.3415
129.3876,64.8452,21.2426
129.54,64.9774,23.8878
129.6924,66.4577,26.2131
129.8448,64.465,27.3789
129.9972,64.1296,26.3835
130.1496,64.7097,23.9407
130.302,63.541,22.1763
130.4544,61.1929,22.9061
130.6068,61.1165,25.5659
130.7592,62.11,27.1984
130.9116,62.7317,29.918
131.064,63.6786,32.6879
131.2164,63.4746,35.1574
131.3688,62.0017,37.6512
131.5212,60.2902,37.9271
131.6736,60.9972,35.1821
131.826,60.9693,31.5164
131.9784,60.6544,28.6382
132.1308,61.9837,26.998
132.2832,61.3331,27.9207
132.4356,60.9675,28.1161
132.588,62.6122,28.8052
132.7404,62.7497,29.1776
132.8928,62.5724,28.0484
133.0452,61.5797,26.6681
133.1976,61.6843,25.22
133.35,61.6249,23.3298
133.5024,62.6953,21.4253
133.6548,62.696,20.2081
133.8072,62.318,18.991
133.9596,62.4813,17.7804
134.112,61.4191,18.3645
134.2644,62.2919,19.1983
134.4168,63.8339,22.3673
134.5692,65.0505,24.6905
134.7216,66.353,26.424
134.874,66.4733,26.9955
135.0264,66.8907,26.9035
135.1788,67.0688,23.95
135.3312,66.2299,23.9449
135.4836,67.3091,23.27
135.636,68.5068,22.7745
135.7884,69.8277,23.1437
135.9408,69.0749,24.3757
136.0932,66.0028,27.1029
136.2456,63.6153,29.9207
136.398,60.0131,33.4615
136.5504,61.3793,35.2694
136.7028,61.414,36.2862
136.8552,62.6614,35.4013
137.0076,63.4155,35.3765
137.16,62.6685,35.5562
137.3124,63.3528,35.1159
137.4648,63.5233,34.517
137.6172,63.3348,32.4127
137.7696,63.2874,29.8591
137.922,64.9956,27.1258
138.0744,64.8114,25.5399
138.2268,65.7743,24.4285
138.3792,66.6001,24.203
138.5316,68.5837,23.9911
138.684,69.9195,24.057
138.8364,70.0125,23.7263
138.9888,71.2151,23.1468
139.1412,71.2809,22.6262
139.2936,69.8142,21.9304
139.446,70.9216,21.3089
139.5984,71.674,21.0877
139.7508,71.7436,21.3801
139.9032,70.6536,21.6898
140.0556,70.4857,21.8087
140.208,70.2208,21.589
140.3604,69.708,21.4649
140.5128,70.678,21.296
140.6652,70.3188,20.4175
140.8176,69.2104,19.8079
140.97,70.1425,19.1777
141.1224,70.1041,18.8496
141.2748,69.5579,19.0098
141.4272,72.1784,19.4186
141.5796,71.2638,19.6906
141.732,70.2637,19.2722
141.8844,71.6439,19.3002
142.0368,72.3389,19.1911
142.1892,72.3335,19.2112
142.3416,72.3868,18.1397
142.494,71.5963,16.6886
142.6464,70.4667,18.9909
142.7988,69.3576,21.5735
142.9512,69.9046,24.0958
143.1036,69.2883,26.1022
143.256,68.2058,25.8554
143.4084,69.1704,27.569
143.5608,68.7577,29.3427
143.7132,68.5095,31.518
143.8656,70.3294,33.2016
144.018,69.8539,32.4328
