DEPT,ROP,GR
121.7676,0.195,18.7759
121.92,0.26,19.4026
122.0724,0.325,20.5793
122.2248,0.39,20.5592
122.3772,0.4476,20.7796
122.5296,0.4853,20.153
122.682,0.497,20.4943
122.8344,0.4949,18.6379
122.9868,0.4947,18.967
123.1392,0.5057,18.4929
123.2916,0.5115,17.6188
123.444,0.5096,16.9342
123.5964,0.5059,15.7407
123.7488,0.4951,15.7184
123.9012,0.4788,15.8916
124.0536,0.4659,16.5139
124.206,0.4642,17.8907
124.3584,0.4706,19.1426
124.5108,0.5033,19.6362
124.6632,0.5294,21.3621
124.8156,0.4865,23.6955
124.968,0.4352,25.4957
125.1204,0.4602,26.6215
125.2728,0.5047,28.6841
125.4252,0.5026,31.0958
125.5776,0.4571,32.9013
125.73,0.418,34.6627
125.8824,0.4122,35.8783
126.0348,0.4725,35.7564
126.1872,0.5362,35.4668
126.3396,0.52,34.5829
126.492,0.4848,33.8695
126.6444,0.4758,30.5157
126.7968,0.4745,22.9987
126.9492,0.4824,18.7417
127.1016,0.4801,18.089
127.254,0.4804,17.8252
127.4064,0.5143,17.6677
127.5588,0.5506,17.7404
127.7112,0.5607,17.9072
127.8636,0.546,18.0741
128.016,0.5328,18.2409
128.1684,0.5407,18.746
128.3208,0.5405,18.7901
128.4732,0.5307,19.1533
128.6256,0.5205,18.9816
128.778,0.5145,17.7878
128.9304,0.5087,16.9865
129.0828,0.4915,15.3405
129.2352,0.4696,14.7495
129.3876,0.4721,15.5502
129.54,0.4929,17.5577
129.6924,0.4868,23.6733
129.8448,0.4352,31.0367
129.9972,0.3507,37.0769
130.1496,0.3187,41.6915
130.302,0.3336,43.3351
130.4544,0.3139,44.503
130.6068,0.2717,45.2624
130.7592,0.2297,45.946
130.9116,0.2031,47.7415
131.064,0.2029,49.4115
131.2164,0.2216,48.9748
131.3688,0.2297,48.5715
131.5212,0.2378,48.9998
131.6736,0.2459,48.3304
131.826,0.254,49.1803
131.9784,0.2622,51.2029
132.1308,0.2703,51.1964
132.2832,0.2784,51.4455
132.4356,0.2865,52.8628
132.588,0.2946,52.2654
132.7404,0.2988,51.9401
132.8928,0.285,51.6057
133.0452,0.279,50.4204
133.1976,0.2927,50.1069
133.35,0.2983,50.995
133.5024,0.2972,50.6686
133.6548,0.3052,49.9093
133.8072,0.3175,51.4081
133.9596,0.3275,52.0465
134.112,0.3284,52.5191
134.2644,0.3179,53.6266
134.4168,0.3112,52.2131
134.5692,0.3101,50.7092
134.7216,0.3122,50.2015
134.874,0.3143,50.5691
135.0264,0.3025,50.9275
135.1788,0.2879,52.113
135.3312,0.2913,51.6648
135.4836,0.2925,52.8445
135.636,0.2862,53.4903
135.7884,0.2944,53.0726
135.9408,0.3041,51.1871
136.0932,0.3022,52.0764
136.2456,0.3053,52.2358
136.398,0.307,52.8519
136.5504,0.3049,55.4792
136.7028,0.3125,55.5853
136.8552,0.3057,55.5913
137.0076,0.2905,55.5973
137.16,0.2891,55.6034
137.3124,0.2906,55.6094
137.4648,0.2929,55.6154
137.6172,0.2897,55.6215
137.7696,0.2744,55.6275
137.922,0.2787,55.6335
138.0744,0.2958,55.6396
138.2268,0.3035,55.6456
138.3792,0.2984,55.6516
138.5316,0.2909,54.8428
138.684,0.2859,54.9239
138.8364,0.293,53.1651
138.9888,0.299,52.8049
139.1412,0.3082,52.9883
139.2936,0.413,53.4666
139.446,0.616,52.835
139.5984,0.7463,53.6806
139.7508,0.771,54.2723
139.9032,0.7741,51.9909
140.0556,0.7162,49.7095
140.208,0.5648,48.8465
140.3604,0.4259,50.9038
140.5128,0.3619,52.9611
140.6652,0.316,54.7352
140.8176,0.3045,54.9908
140.97,0.3024,55.5241
141.1224,0.3002,54.3399
141.2748,0.2981,52.0393
141.4272,0.3124,54.3518
141.5796,0.3542,54.7446
141.732,0.4828,54.0967
141.8844,0.5479,56.4264
142.0368,0.4565,57.1828
142.1892,0.333,54.579
142.3416,0.2835,54.9811
142.494,0.3053,52.4615
142.6464,0.305,50.4645
142.7988,0.2929,50.9372
142.9512,0.3024,51.0344
143.1036,0.2763,50.7152
