DEPT,BS,CALI,DSOZ,RT,DT,TENS:1,PEFZ,RSOZ,TNPH:1,RLA2,RLA4,GR:1,GR:2,RLA3,RLA5,TENS:2,NPHI,SP,RLA1,GR:3,RXO,RHOZ,RLA0,RXOZ,GR:4,TNPH:2
1532.23,8.5,8.725,0.062,4.361,99.382,3862.625,3.233,0.037,0.336,4.129,4.253,113.393,112.357,4.214,4.245,3844.5,0.333,,3.982,126.001,3.175,2.419,0.095,3.115,119.234,0.336
1532.382,8.5,8.568,0.077,4.372,100.114,3828.75,3.254,0.055,0.328,4.181,4.289,116.428,114.024,4.267,4.292,3838.999,0.329,,4.053,115.849,3.348,2.416,0.095,3.174,120.408,0.328
1532.534,8.5,8.702,0.086,4.339,101.838,3746.625,3.246,0.063,0.319,4.193,4.282,120.123,124.334,4.29,4.302,3723.333,0.331,,4.096,120.965,3.531,2.413,0.095,2.949,121.094,0.319
1532.687,8.5,8.662,0.092,4.25,100.937,3687.75,3.232,0.064,0.328,4.133,4.202,122.455,122.578,4.237,4.23,3675.5,0.337,,4.045,125.752,3.577,2.409,0.096,3.09,124.188,0.328
1532.839,8.5,8.662,0.112,4.395,101.225,3730.666,3.227,0.079,0.331,4.304,4.359,120.731,122.061,4.389,4.392,3755.667,0.326,,4.22,127.741,3.813,2.414,0.097,2.733,126.681,0.332
1532.992,8.5,8.549,0.124,4.143,101.721,3773.942,3.228,0.096,0.324,4.123,4.134,119.42,118.39,4.133,4.166,3784.667,0.334,,4.039,127.653,3.848,2.416,0.096,2.65,127.292,0.325
1533.144,8.5,8.549,0.135,4.134,101.661,3804.125,3.248,0.103,0.334,4.151,4.131,117.361,118.734,4.117,4.171,3816.667,0.325,,4.089,128.771,4.083,2.424,0.098,2.765,126.747,0.335
1533.296,8.5,8.56,0.139,4.366,101.78,3768.499,3.291,0.1,0.321,4.338,4.361,118.564,115.36,4.346,4.41,3815.667,0.349,,4.371,124.062,4.356,2.43,0.098,3.21,120.029,0.322
1533.449,8.5,8.529,0.141,4.379,101.361,3667.499,3.351,0.104,0.334,4.323,4.375,118.285,121.722,4.358,4.426,3656.0,0.348,,4.44,107.237,4.363,2.436,0.098,3.495,113.959,0.333
1533.601,8.5,8.458,0.137,4.321,99.445,3701.401,3.415,0.12,0.315,4.258,4.321,116.109,117.17,4.298,4.385,3734.0,0.337,,4.314,110.598,4.172,2.457,0.099,3.515,108.198,0.314
1533.754,8.5,8.266,0.127,4.262,92.724,3724.812,3.485,0.112,0.292,4.196,4.267,103.86,108.502,4.236,4.331,3752.666,0.273,,4.217,106.216,4.092,2.499,0.099,4.592,104.412,0.291
1533.906,8.5,8.325,0.093,5.746,84.7,3759.813,3.536,0.101,0.255,5.618,5.74,101.524,86.68,5.699,5.829,3752.333,0.276,,5.593,97.543,5.391,2.516,0.104,5.788,107.832,0.254
1534.058,8.5,8.325,0.07,13.413,84.182,3714.813,3.524,0.083,0.291,11.943,12.36,104.842,109.57,12.209,12.542,3738.667,0.279,,11.286,118.52,7.791,2.491,0.109,4.447,114.994,0.29
1534.211,8.5,8.019,0.086,5.784,84.743,3687.937,3.461,0.105,0.318,5.558,5.653,111.075,117.501,5.62,5.745,3702.001,0.331,,5.468,126.326,4.501,2.448,0.105,3.24,124.119,0.317
1534.363,8.5,7.937,0.132,4.569,92.267,3694.375,3.391,0.119,0.36,4.399,4.505,110.455,107.971,4.459,4.599,3667.0,0.327,,4.374,127.637,3.816,2.433,0.101,3.116,123.041,0.359
1534.516,8.5,7.902,0.163,4.511,101.218,3731.5,3.34,0.127,0.329,4.392,4.501,110.165,106.47,4.459,4.589,3755.501,0.343,,4.451,114.82,4.141,2.441,0.101,3.507,120.458,0.329
1534.668,8.5,7.902,0.155,4.305,100.26,3736.437,3.295,0.088,0.333,4.22,4.286,111.166,115.565,4.262,4.372,3691.999,0.343,,4.246,118.5,3.967,2.45,0.103,3.522,116.716,0.333
1534.82,8.5,7.925,0.131,4.607,98.864,3779.25,3.259,0.067,0.33,4.505,4.526,113.842,110.923,4.497,4.613,3750.499,0.348,,4.401,116.337,3.823,2.451,0.105,3.376,120.317,0.331
1534.973,8.5,8.098,0.087,4.579,98.221,3771.188,3.213,0.064,0.338,4.479,4.464,111.87,115.124,4.442,4.542,3763.0,0.352,,4.303,126.923,3.638,2.428,0.106,3.044,118.549,0.338
1535.125,8.5,8.266,0.059,4.493,97.147,3737.75,3.192,0.038,0.35,4.359,4.362,113.306,109.52,4.357,4.432,3677.0,0.34,,4.178,112.324,3.482,2.397,0.107,2.44,121.254,0.353
1535.278,8.5,8.396,0.055,4.568,100.251,3724.625,3.181,0.003,0.337,4.404,4.439,114.047,114.985,4.466,4.499,3706.499,0.34,,4.242,123.856,3.539,2.376,0.107,2.127,119.205,0.338
1535.43,8.5,8.643,0.103,4.551,100.34,3761.501,3.224,0.012,0.344,4.412,4.464,117.31,118.171,4.509,4.518,3769.999,0.322,,4.302,121.637,3.705,2.392,0.107,2.137,125.364,0.346
1535.582,8.5,8.662,0.144,4.555,100.251,3775.313,3.271,0.064,0.33,4.35,4.466,118.391,117.579,4.465,4.493,3766.0,0.331,,4.261,129.296,3.528,2.408,0.106,2.255,124.51,0.331
1535.735,8.5,8.69,0.181,4.278,100.918,3732.687,3.313,0.092,0.331,4.096,4.227,117.837,119.094,4.183,4.221,3767.0,0.324,,4.0,122.931,3.368,2.424,0.105,2.129,123.717,0.333
1535.887,8.5,8.725,0.193,4.466,100.717,3677.625,3.326,0.109,0.322,4.239,4.388,119.969,116.504,4.333,4.383,3684.0,0.313,,4.133,119.466,3.374,2.423,0.105,1.906,119.9,0.325
1536.04,8.5,8.713,0.195,4.39,100.618,3685.999,3.304,0.108,0.314,4.184,4.328,119.212,123.703,4.278,4.32,3707.5,0.324,,4.088,117.291,3.382,2.421,0.104,1.847,119.438,0.316
1536.192,8.5,8.937,0.186,4.623,99.471,3679.625,3.274,0.107,0.324,4.36,4.498,120.63,118.638,4.448,4.496,3734.499,0.317,,4.21,122.902,3.33,2.416,0.103,1.933,123.679,0.325
1536.344,8.5,8.96,0.181,4.554,99.911,3679.688,3.268,0.096,0.326,4.271,4.405,120.107,118.781,4.357,4.408,3690.0,0.336,,4.109,130.717,3.196,2.418,0.101,1.933,121.12,0.327
1536.497,8.5,9.031,0.18,4.384,99.435,3724.376,3.293,0.075,0.339,4.116,4.251,123.373,123.065,4.201,4.262,3742.999,0.324,,3.979,110.758,3.128,2.423,0.099,2.138,119.419,0.34
1536.649,8.5,8.819,0.186,4.498,99.918,3703.375,3.328,0.076,0.329,4.153,4.303,123.961,126.679,4.257,4.327,3748.999,0.324,,3.995,116.277,3.004,2.432,0.099,2.19,113.29,0.33
1536.802,8.5,8.537,0.183,4.562,100.071,3670.188,3.33,0.088,0.325,4.181,4.337,120.79,121.419,4.294,4.378,3674.001,0.307,,4.028,112.471,2.971,2.437,0.098,2.104,113.064,0.325
1536.954,8.5,8.694,0.166,4.448,100.472,3722.751,3.303,0.092,0.303,4.054,4.196,116.18,116.266,4.154,4.247,3705.0,0.303,,3.882,112.503,2.829,2.442,0.099,2.174,117.735,0.302
1537.106,8.5,8.78,0.118,4.896,99.902,3758.5,3.256,0.064,0.298,4.355,4.513,112.44,110.188,4.476,4.574,3774.5,0.295,,4.099,127.953,2.864,2.429,0.099,2.588,116.28,0.298
1537.259,8.5,8.796,0.101,4.866,99.522,3763.563,3.257,0.054,0.295,4.353,4.502,109.797,110.26,4.459,4.577,3736.999,0.311,,4.115,107.683,2.909,2.433,0.098,2.849,123.787,0.295
1537.411,8.5,8.749,0.085,4.896,99.921,3722.126,3.262,0.041,0.313,4.394,4.542,113.735,107.823,4.491,4.644,3706.0,0.308,,4.184,135.014,2.991,2.428,0.099,2.91,123.119,0.315
1537.564,8.5,8.76,0.1,5.064,99.625,3696.626,3.278,0.05,0.305,4.496,4.659,113.012,122.562,4.592,4.776,3663.334,0.321,,4.272,126.557,3.003,2.444,0.098,2.71,126.924,0.307
1537.716,8.5,8.741,0.077,4.601,98.509,3694.438,3.248,0.032,0.317,4.152,4.309,118.685,108.566,4.241,4.411,3659.334,0.312,,4.004,119.041,2.896,2.436,0.097,2.955,122.138,0.318
1537.868,8.5,8.804,0.065,4.643,99.126,3678.187,3.223,0.039,0.297,4.189,4.365,114.949,126.251,4.289,4.461,3671.667,0.308,,4.057,121.228,2.951,2.44,0.098,2.897,119.252,0.299
