DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
772.973,8.5,8.513,119.477,-9.911,5.765,12.982,16.813,2.319,0.366,2.895,112.963
773.125,8.5,8.545,123.052,-9.554,5.575,12.641,16.38,2.316,0.365,2.859,112.903
773.278,8.5,8.537,111.22,-9.512,5.569,12.994,16.942,2.307,0.351,2.844,113.195
773.43,8.5,8.537,107.021,-9.397,5.619,13.386,17.412,2.313,0.337,2.825,113.247
773.582,8.5,8.572,101.978,-9.196,5.624,13.678,17.834,2.319,0.333,2.822,112.843
773.735,8.5,8.596,106.669,-9.133,5.665,14.285,18.668,2.326,0.351,2.809,112.62
773.887,8.5,8.584,101.482,-9.125,5.701,14.535,19.005,2.318,0.361,2.838,112.24
774.04,8.5,8.584,101.738,-9.279,5.742,14.505,18.947,2.31,0.36,2.846,112.268
774.192,8.5,8.576,100.291,-9.156,5.634,14.149,18.493,2.306,0.316,2.839,112.394
774.344,8.5,8.498,101.881,-9.163,5.583,14.005,18.333,2.312,0.317,2.825,112.891
774.497,8.5,8.584,103.088,-9.038,5.573,13.905,18.273,2.318,0.306,2.82,112.929
774.649,8.5,8.572,104.996,-8.496,5.638,13.809,18.184,2.322,0.312,2.831,112.713
774.802,8.5,8.56,104.411,-7.875,5.596,13.639,17.869,2.321,0.297,2.828,112.914
774.954,8.5,8.56,106.661,-7.704,5.405,13.314,17.405,2.317,0.316,2.81,113.112
775.106,8.5,8.568,104.574,-7.283,5.413,13.56,17.737,2.312,0.328,2.801,113.292
775.259,8.5,8.584,98.831,-6.779,5.578,14.13,18.482,2.307,0.332,2.805,113.629
775.411,8.5,8.553,95.548,-6.362,5.659,14.455,18.929,2.305,0.31,2.818,114.073
775.564,8.5,8.568,95.69,-6.346,5.527,13.999,18.289,2.304,0.313,2.818,114.053
775.716,8.5,8.576,104.133,-6.238,5.489,13.584,17.756,2.309,0.332,2.808,114.056
775.868,8.5,8.56,105.188,-5.835,5.528,13.354,17.441,2.315,0.345,2.819,114.343
776.021,8.5,8.607,105.938,-6.133,5.38,12.68,16.515,2.319,0.359,2.858,114.148
776.173,8.5,8.607,104.896,-6.367,5.376,12.806,16.735,2.325,0.352,2.906,114.136
776.326,8.5,8.596,110.484,-6.808,5.436,13.095,17.164,2.328,0.325,2.93,113.995
