TVD,ROP,GR,T-TEMP
76.6572,30.2185,48.9641,23.5976
76.8096,29.1053,50.5754,23.6055
76.962,27.7277,48.4865,23.6125
77.1144,30.9955,50.1056,23.622
77.2668,32.9939,51.4832,23.6267
77.4192,36.0887,50.561,23.6352
77.5716,38.0165,50.6997,23.6559
77.724,35.4637,51.207,23.6603
77.8764,32.9796,48.5081,23.669
78.0288,32.7391,48.6075,23.6772
78.1812,32.5376,48.3942,23.686
78.3336,33.9203,49.3023,23.6936
78.486,34.4694,51.0047,23.7013
78.6384,34.1015,52.082,23.7058
78.7908,33.6103,52.5375,23.7129
78.9432,33.5911,52.9737,23.7201
79.0956,33.7898,53.6941,23.7273
79.248,34.8261,55.4013,23.7342
79.4004,36.9027,54.7286,23.7469
79.5528,35.7569,55.8453,23.7597
79.7052,34.5235,56.4694,23.7669
79.8576,32.705,58.0912,23.7751
80.01,30.5562,62.0564,23.7833
80.1624,30.3311,66.7808,23.7891
80.3148,30.125,68.8317,23.7964
80.4672,31.8816,68.4533,23.8045
80.6196,32.2439,68.1484,23.812
80.772,32.5281,65.8446,23.8212
80.9244,32.8388,65.2193,23.8402
81.0768,31.4487,63.5778,23.8578
81.2292,30.8741,64.1662,23.8615
81.3816,31.4471,64.7302,23.867
81.534,32.1686,65.2413,23.8724
81.6864,32.5088,66.1118,23.8746
81.8388,32.7182,65.8673,23.8777
81.9912,31.2301,66.819,23.8831
82.1436,30.346,67.8544,23.9012
82.296,29.3003,68.9342,23.9068
82.4484,30.9531,70.2278,23.9144
82.6008,30.771,70.182,23.9168
82.7532,29.0695,70.3301,23.9193
82.9056,29.537,70.9414,23.925
83.058,26.8973,70.8722,23.9276
83.2104,31.2849,69.6293,23.9233
83.3628,35.6725,68.555,23.92
83.5152,39.4682,66.909,23.9001
83.6676,41.8514,65.9983,23.8929
83.82,41.1387,65.3228,23.8858
83.9724,39.1187,62.8236,23.8786
84.1248,38.3379,61.0668,23.8715
84.2772,37.4544,60.9701,23.8692
84.4296,38.2348,61.27,23.8741
84.582,39.4474,63.7739,23.8794
84.7344,41.4601,65.2865,23.882
84.8868,43.2003,63.4848,23.9002
85.0392,44.1639,62.6914,23.9288
85.1916,44.932,61.8033,23.9574
85.344,41.5315,59.7272,23.986
85.4964,36.7131,59.9578,23.997
85.6488,33.1332,60.6198,24.004
85.8012,29.5655,59.4944,24.0109
85.9536,29.1475,61.287,24.0179
86.106,28.7958,60.9928,24.0248
86.2584,28.9914,61.2188,24.0296
86.4108,28.1867,62.646,24.0436
86.5632,27.3158,63.2733,24.0577
86.7156,27.7944,63.2849,24.0717
86.868,27.4859,63.1691,24.079
87.0204,27.3064,62.4766,24.0827
87.1728,27.8047,61.6619,24.0882
87.3252,27.4933,60.6442,24.0936
87.4776,26.6183,59.0748,24.0991
87.63,26.3356,57.718,24.1078
87.7824,24.9057,57.3387,24.1286
87.9348,24.4536,57.9296,24.1477
88.0872,23.1072,58.324,24.1571
88.2396,21.9344,57.7521,24.171
88.392,21.71,57.8573,24.1796
88.5444,21.4582,57.67,24.197
88.6968,21.3609,56.6895,24.2143
88.8492,21.5481,57.4053,24.22
89.0016,22.0305,57.4626,24.2267
89.154,22.0091,55.8023,24.2335
89.3064,22.512,54.7202,24.2392
89.4588,22.9812,53.4618,24.239
89.6112,24.5165,51.8861,24.2373
89.7636,24.7023,52.2265,24.2356
89.916,24.4602,52.8071,24.2338
90.0684,24.3512,54.3957,24.2321
90.2208,24.6895,55.5329,24.2322
90.3732,24.9977,57.381,24.2391
90.5256,25.0307,58.8406,24.246
90.678,25.5683,59.5502,24.253
90.8304,24.1473,62.1668,24.2599
90.9828,23.568,68.2143,24.2625
91.1352,23.6138,76.3423,24.2671
91.2876,23.3278,87.5594,24.2716
91.44,22.2799,91.1082,24.2762
91.5924,20.0359,90.6424,24.28
91.7448,17.9191,88.2887,24.2836
91.8972,15.0418,89.3896,24.2882
92.0496,14.3093,89.1409,24.2935
92.202,14.7586,90.4379,24.2995
92.3544,16.1949,88.1109,24.3026
92.5068,17.9486,87.6807,24.3052
92.6592,19.3266,88.9801,24.3078
92.8116,19.22,89.4455,24.3117
92.964,19.0893,89.9893,24.3186
93.1164,18.0985,89.2511,24.3318
93.2688,15.7284,87.4315,24.3366
93.4212,16.989,85.6435,24.3452
93.5736,19.0334,86.5235,24.3652
93.726,21.27,87.4833,24.3754
93.8784,27.5772,86.5468,24.3783
94.0308,31.6141,86.396,24.3839
