TVD,ROP,GR,T-TEMP
56.5404,46.9167,,22.0472
56.6928,47.7254,,22.0472
56.8452,49.2711,,22.0472
56.9976,50.2028,,22.0472
57.15,48.0297,,22.0472
57.3024,45.5195,,22.0472
57.4548,42.2693,,22.0472
57.6072,38.5947,,22.0472
57.7596,36.531,,22.0472
57.912,35.6879,,22.0472
58.0644,36.9769,,22.0472
58.2168,38.1604,,22.0472
58.3692,39.3872,,22.0472
58.5216,38.6562,,22.0472
58.674,37.4742,54.0,22.3354
58.8264,35.6635,53.4357,22.6635
58.9788,34.2398,52.4004,22.9916
59.1312,33.8782,50.143,23.3197
59.2836,32.7172,48.9259,23.4252
59.436,32.611,48.0926,23.4252
59.5884,32.8434,47.6,23.4252
59.7408,32.1714,48.9752,23.4252
59.8932,31.9746,48.8138,23.4252
60.0456,31.6203,49.0127,23.4252
60.198,32.2487,50.0831,23.4252
60.3504,33.5989,48.2081,23.4252
60.5028,33.5478,46.5247,23.4252
60.6552,34.2456,46.8025,23.4252
60.8076,34.4759,47.0,23.4252
60.96,34.7583,48.0373,23.4252
61.1124,34.1734,49.204,23.4252
61.2648,33.5964,49.6,23.4252
61.4172,33.609,50.0241,23.4252
61.5696,32.73,50.1074,23.4252
61.722,33.462,49.6123,23.4252
61.8744,33.6142,49.4,23.4252
62.0268,34.0072,50.257,23.4252
62.1792,34.2776,52.4856,23.4252
62.3316,34.8345,54.2602,23.4252
62.484,34.8801,54.4,23.4252
62.6364,34.4228,53.9093,23.4252
62.7888,33.3858,53.1797,23.4252
62.9412,31.8922,52.8,23.4252
63.0936,31.6114,52.7702,23.4252
63.246,31.5379,52.124,23.4252
63.3984,32.0589,51.337,23.4252
63.5508,32.456,50.2599,23.4252
63.7032,32.8836,49.4394,23.4252
63.8556,33.0316,48.6188,23.4252
64.008,33.2443,48.2,23.4252
64.1604,35.5479,48.2,23.4252
64.3128,37.429,48.7064,23.4252
64.4652,39.8889,49.4628,23.4252
64.6176,42.0178,50.0,23.4252
64.77,40.6914,50.0,23.4252
64.9224,38.5803,50.8668,23.4252
65.0748,37.4679,52.7009,23.4252
65.2272,35.2567,54.4,23.4252
65.3796,34.1269,54.4,23.4252
65.532,34.5484,54.3615,23.4252
65.6844,34.6355,53.9329,23.4252
65.8368,37.6269,53.5043,23.4252
65.9892,40.5003,53.2,23.4252
66.1416,43.0452,53.2,23.4252
66.294,45.608,51.5614,23.4252
66.4464,46.2035,49.1864,23.4252
66.5988,48.7973,47.5,23.4252
66.7512,46.1266,46.8991,23.4252
66.9036,46.1747,46.423,23.4252
67.056,44.5844,47.8188,23.4252
67.2084,40.4651,48.5827,23.4252
67.3608,41.1094,49.4983,23.4252
67.5132,41.0996,51.1953,23.4252
67.6656,41.8657,52.4,23.4252
67.818,44.9219,52.4,23.4252
67.9704,45.9212,51.8196,23.4252
68.1228,44.3322,49.8196,23.4252
68.2752,42.8397,48.0,23.4252
68.4276,37.6245,48.0,23.4252
68.58,33.8045,48.0771,23.4252
68.7324,29.1517,48.5759,23.4252
68.8848,29.7733,47.991,23.4252
69.0372,29.5225,47.8,23.4252
69.1896,30.4043,47.8272,23.4252
69.342,33.5092,47.8828,23.4252
69.4944,37.0204,47.9384,23.4252
69.6468,39.8102,47.9939,23.4252
69.7992,42.8256,47.9661,23.4252
69.9516,43.2189,47.5911,23.4252
70.104,40.6664,47.2161,23.4252
70.2564,38.2485,46.8411,23.4252
70.4088,36.1103,46.5,23.4252
70.5612,37.5409,46.7862,23.4252
70.7136,36.7194,47.3695,23.4252
70.866,35.9217,47.9529,23.4252
71.0184,35.7091,47.0643,23.4252
71.1708,34.777,46.8,23.4252
71.3232,34.2927,46.3502,23.4252
71.4756,32.6869,47.6009,23.4252
71.628,29.5715,49.1176,23.4252
71.7804,28.6733,50.6343,23.4252
71.9328,27.6974,50.8,23.4252
72.0852,27.1613,50.3556,23.4252
72.2376,28.503,51.0053,23.4252
72.39,27.9429,51.4564,23.4252
72.5424,25.7259,51.6498,23.4252
72.6948,24.6034,52.8373,23.4252
72.8472,24.753,53.3256,23.4252
72.9996,24.3155,53.8,23.4252
73.152,27.0573,54.5232,23.4252
73.3044,33.2898,54.8603,23.4252
73.4568,35.4034,54.9468,23.4252
73.6092,38.5995,54.2,23.4252
73.7616,41.1192,54.1902,23.4252
73.914,38.2682,52.2016,23.4252
74.0664,35.853,52.0,23.4252
74.2188,34.51,51.2452,23.4252
74.3712,32.5316,48.8104,23.4252
74.5236,30.1682,47.3641,23.4252
74.676,27.5746,47.5589,23.4252
74.8284,27.3304,47.025,23.4252
74.9808,27.9755,47.6381,23.4252
75.1332,28.4428,46.7485,23.4252
75.2856,29.122,45.558,23.4252
75.438,29.77,45.9583,23.4252
75.5904,30.2248,46.3976,23.4252
75.7428,30.1034,46.7906,23.4252
