DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
1155.192,2374.5,8.746,8.5,115.731,95.416,121.782,2.69,17.669,0.091,6.946,1.123,0.356,0.0,10.642,0.355,25.578,116.009,3.936,1.845,13.85,0.356,98.926,2.273
1155.344,2395.438,8.736,8.5,114.494,96.943,110.473,2.693,18.004,0.09,7.065,1.109,0.37,0.0,10.737,0.369,25.993,118.804,3.911,1.813,14.118,0.365,96.02,2.261
1155.497,2410.813,8.717,8.5,110.385,97.92,111.504,2.717,18.263,0.09,7.171,1.136,0.374,0.0,10.856,0.373,26.272,120.689,3.911,1.797,14.296,0.354,96.08,2.258
1155.649,2443.374,8.708,8.5,109.595,96.304,109.223,2.717,18.449,0.09,7.234,1.161,0.36,0.0,11.037,0.362,26.48,120.207,3.903,1.762,14.49,0.346,101.929,2.263
1155.802,2435.25,8.708,8.5,115.435,98.747,108.104,2.736,17.967,0.091,7.052,1.15,0.363,0.0,10.954,0.364,25.847,118.148,3.879,1.742,14.207,0.356,91.173,2.273
1155.954,2403.999,8.701,8.5,118.936,95.296,128.945,2.787,17.635,0.091,6.98,1.2,0.363,0.0,10.888,0.364,25.277,116.518,3.834,1.699,13.986,0.36,103.112,2.293
1156.106,2414.001,8.701,8.5,119.184,96.752,118.975,2.804,18.055,0.092,7.114,1.367,0.362,0.0,11.216,0.361,25.797,111.979,3.828,1.649,14.381,0.343,91.333,2.31
1156.259,2438.251,8.72,8.5,110.95,92.141,108.908,2.804,20.654,0.095,7.988,1.428,0.355,0.0,12.685,0.355,29.559,107.285,4.184,1.768,16.502,0.339,95.593,2.312
1156.411,2468.0,8.765,8.5,112.974,98.419,104.254,2.795,20.475,0.095,8.003,1.399,0.364,0.0,12.6,0.364,29.325,110.031,4.209,1.788,16.424,0.339,89.293,2.286
1156.564,2442.001,8.676,8.5,112.214,98.681,125.084,2.793,20.311,0.094,8.022,1.202,0.365,0.0,12.582,0.367,29.194,109.979,4.3,1.856,16.343,0.343,109.0,2.262
