TVD,ROP,GR
124.0536,0.4657,16.5907
124.206,0.4643,17.8907
124.3584,0.4715,19.1553
124.5108,0.5051,19.691
124.6632,0.5288,21.4371
124.8156,0.4835,23.8399
124.968,0.4353,25.5257
125.1204,0.4626,26.7721
125.2728,0.5055,28.7986
125.4252,0.5011,31.1771
125.5776,0.4549,32.9714
125.73,0.4171,34.6905
125.8824,0.4136,36.0066
126.0348,0.4761,35.7564
126.1872,0.5369,35.4263
126.3396,0.5181,34.3981
126.492,0.484,33.7729
126.6444,0.4757,30.2918
126.7968,0.4747,22.5973
126.9492,0.4826,18.6064
127.1016,0.4796,18.1155
127.254,0.4813,17.8252
127.4064,0.5162,17.6337
127.5588,0.5516,17.7478
127.7112,0.5604,17.9146
127.8636,0.5451,18.0815
128.016,0.5328,18.2483
128.1684,0.5412,18.845
128.3208,0.5401,18.7908
128.4732,0.5301,19.1715
128.6256,0.5202,18.7561
128.778,0.5142,17.7847
128.9304,0.5083,16.9865
129.0828,0.4904,15.2916
129.2352,0.4691,14.7458
129.3876,0.4729,15.5967
129.54,0.4932,17.7358
129.6924,0.4856,23.9211
129.8448,0.4315,31.3053
129.9972,0.3479,37.2449
130.1496,0.3192,41.6706
130.302,0.3338,43.3527
130.4544,0.3121,44.7106
130.6068,0.2697,45.1453
130.7592,0.2282,46.0339
130.9116,0.2027,47.8712
131.064,0.2034,49.4702
131.2164,0.2219,48.9724
131.3688,0.23,48.632
131.5212,0.2382,49.0526
131.6736,0.2463,48.3248
131.826,0.2544,49.2755
131.9784,0.2625,51.2277
132.1308,0.2707,51.1584
132.2832,0.2788,51.515
132.4356,0.2869,52.8628
132.588,0.295,52.2281
132.7404,0.2982,52.0129
132.8928,0.2845,51.3498
133.0452,0.2794,50.3222
133.1976,0.2931,50.1786
133.35,0.2982,51.0323
133.5024,0.2974,50.5814
133.6548,0.3058,49.9176
133.8072,0.318,51.4081
133.9596,0.3278,51.9933
134.112,0.328,52.5524
134.2644,0.3174,53.5928
134.4168,0.3111,52.1202
134.5692,0.3101,50.7189
134.7216,0.3123,50.099
134.874,0.3141,50.5985
135.0264,0.3017,50.9393
135.1788,0.2878,52.1692
135.3312,0.2917,51.6648
135.4836,0.2922,52.9231
135.636,0.2862,53.5501
135.7884,0.295,52.9273
135.9408,0.304,51.1335
136.0932,0.3022,52.0727
136.2456,0.3055,52.1991
136.398,0.307,52.9455
136.5504,0.3051,55.563
136.7028,0.3126,55.5855
136.8552,0.305,55.5916
137.0076,0.29,55.5976
137.16,0.2894,55.6036
137.3124,0.2907,55.6097
137.4648,0.293,55.6157
137.6172,0.2891,55.6217
137.7696,0.274,55.6278
137.922,0.2796,55.6338
138.0744,0.2964,55.6398
138.2268,0.3034,55.6459
138.3792,0.298,55.6519
138.5316,0.2905,54.7349
138.684,0.286,54.9721
138.8364,0.2934,53.1511
138.9888,0.2987,52.779
139.1412,0.311,53.0007
139.2936,0.4213,53.426
139.446,0.6251,52.874
139.5984,0.7482,53.7195
139.7508,0.7714,54.1671
139.9032,0.7735,51.8857
140.0556,0.7101,49.6042
140.208,0.5568,48.9415
140.3604,0.422,50.9989
140.5128,0.3598,53.0562
140.6652,0.3137,54.7402
140.8176,0.3044,55.0155
140.97,0.3023,55.5488
141.1224,0.3001,54.2187
141.2748,0.2994,52.1192
141.4272,0.3129,54.5046
141.5796,0.3588,54.7231
141.732,0.4884,54.2551
141.8844,0.5466,56.5333
142.0368,0.4503,57.0916
142.1892,0.3291,54.4755
142.3416,0.2835,54.9344
142.494,0.3061,52.3771
142.6464,0.3041,50.2849
142.7988,0.2933,50.9509
142.9512,0.3021,51.038
143.1036,0.275,50.6518
143.256,0.3015,50.7947
143.4084,0.4342,50.1256
143.5608,0.4825,49.4885
143.7132,0.4272,48.8117
143.8656,0.3819,50.6813
144.018,0.3592,49.8351
144.1704,0.37,50.1568
144.3228,0.3715,50.8669
144.4752,0.3727,48.9168
144.6276,0.3763,48.1887
144.78,0.3731,48.9356
144.9324,0.3786,49.1827
145.0848,0.3603,50.523
145.2372,0.296,52.245
145.3896,0.2611,53.143
145.542,0.3018,53.8964
145.6944,0.3441,53.0149
145.8468,0.3952,53.3976
145.9992,0.4885,53.1104
146.1516,0.525,50.8297
146.304,0.4439,48.6467
146.4564,0.3915,48.3643
146.6088,0.3919,47.7179
146.7612,0.362,49.4668
146.9136,0.346,51.7999
147.066,0.3567,50.7238
147.2184,0.3669,48.4517
147.3708,0.3675,46.3786
147.5232,0.3645,44.3625
147.6756,0.3845,42.7191
147.828,0.4479,42.7276
147.9804,0.6723,44.1538
148.1328,0.9006,46.6096
148.2852,1.0576,47.3962
148.4376,1.0537,48.1879
148.59,0.7538,50.7861
148.7424,0.5735,50.6782
148.8948,0.5946,51.5264
149.0472,0.5786,50.51
149.1996,0.4835,49.1971
149.352,0.4181,48.9563
149.5044,0.464,49.6907
149.6568,0.5198,52.0078
149.8092,0.5166,54.4867
149.9616,0.5097,53.9088
150.114,0.5028,53.4102
150.2664,0.4959,52.6811
