DEPTH,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
115.519,12.25,,51.145,,,,,,,
115.672,12.25,,51.287,,,,,,,
115.824,12.25,,49.681,,,,,,,
115.976,12.25,,46.201,,,,,,,
116.129,12.25,,45.74,,,,,,,
116.281,12.25,,50.906,,,,,,,
116.434,12.25,,57.232,,,,,,,
116.586,12.25,,57.56,,,,,,,
116.738,12.25,,53.75,,,,,,,
116.891,12.25,,49.147,,,,,,,
117.043,12.25,,47.461,,,,,,,
117.196,12.25,,48.813,,,,,,,
117.348,12.25,,53.437,,,,,,,
117.5,12.25,,58.283,,,,,,,
117.653,12.25,,57.465,,,,,,,
117.805,12.25,,54.254,,,,,,,
117.958,12.25,,52.375,,,,,,,
118.11,12.25,,53.659,,,,,,,
118.262,12.25,,51.998,,,,,,,
118.415,12.25,,49.755,,,,,,,
118.567,12.25,,49.696,,,,,,,
118.72,12.25,,51.696,,,,,,,
118.872,12.25,,52.156,,,,,,,
119.024,12.25,,50.631,,,,,,,
119.177,12.25,,49.931,,,,,,,
119.329,12.25,,52.018,,,,,,,
119.482,12.25,,53.452,,,,,,,
119.634,12.25,,51.513,,,,,,,
119.786,12.25,,47.226,,,,,,,
119.939,12.25,,43.827,,,,,,,
120.091,12.25,,43.12,,,,,,,
120.244,12.25,,43.097,,,,,,,
120.396,12.25,,42.613,,,,,,,
120.548,12.25,,44.618,,,,,,,
120.701,12.25,,45.984,,,,,,,
120.853,12.25,,46.759,,,,,,,
121.006,12.25,,47.773,,,,,,,
121.158,12.25,,47.414,,,,,,,
121.31,12.25,,45.507,,,,,,,
121.463,12.25,,44.616,,,,,,,
121.615,12.25,,46.234,,,,,,,
121.768,12.25,,46.697,,,,,,,
121.92,12.25,,46.005,,,,,,,
122.072,12.25,,46.925,,,,,,,
122.225,12.25,,49.366,,,,,,,
122.377,12.25,,48.335,,,,,,,
122.53,12.25,,46.131,,,,,,,
122.682,12.25,,46.851,,,,,,,
122.834,12.25,,48.017,,,,,,,
122.987,12.25,,48.88,,,,,,,
123.139,12.25,,50.013,,,,,,,
123.292,12.25,,54.952,,,,,,,
123.444,12.25,,58.823,,,,,,,
123.596,12.25,,58.179,,,,,,,
123.749,12.25,,54.379,,,,,,,
123.901,12.25,,49.471,,,,,,,
124.054,12.25,,46.464,,,,,,,
124.206,12.25,,48.188,,,,,,,
124.358,12.25,,52.73,,,,,,,
124.511,12.25,,54.631,,,,,,,
124.663,12.25,,52.803,,,,,,,
124.816,12.25,,51.984,,,,,,,
124.968,12.25,,54.448,,,,,,,
125.12,12.25,,53.909,,,,,,,
125.273,12.25,,51.851,,,,,,,
125.425,12.25,,50.025,,,,,,,
125.578,12.25,,49.942,,,,,,,
125.73,12.25,,48.773,,,,,,,
125.882,12.25,,50.431,,,,,,,
126.035,12.25,,56.359,,,,,,,
126.187,12.25,,62.533,,,,,,,
126.34,12.25,,63.19,,,,,,,
126.492,12.25,,55.512,,,,,,,
126.644,12.25,,47.004,,,,,,,
126.797,12.25,,43.508,,,,,,,
126.949,12.25,,45.4,,,,,,,
127.102,12.25,,50.503,,,,,,,
127.254,12.25,,54.786,,,,,,,
127.406,12.25,,57.783,,,,,,,
127.559,12.25,,56.364,,,,,,,
127.711,12.25,,54.307,,,,,,,
127.864,12.25,,55.426,,,,,,,
128.016,12.25,,56.981,,,,,,,
128.168,12.25,,54.832,,,,,,,
128.321,12.25,,49.931,,,,,,,
128.473,12.25,,46.858,,,,,,,
128.626,12.25,,46.229,,,,,,,
128.778,12.25,,47.537,,,,,,,
128.93,12.25,,49.618,,,,,,,
129.083,12.25,,53.206,,,,,,,
129.235,12.25,,57.791,,,,,,,
129.388,12.25,,57.923,,,,,,,
129.54,12.25,,52.612,,,,,,,
129.692,12.25,,45.73,,,,,,,
129.845,12.25,,42.954,,,,,,,
129.997,12.25,,46.052,,,,,,,
130.15,12.25,,48.728,,,,,,,
130.302,12.25,,48.923,,,,,,,
130.454,12.25,,46.96,,,,,,,
130.607,12.25,,49.415,,,,,,,
130.759,12.25,,51.927,,,,,,,
130.912,12.25,,53.186,,,,,,,
131.064,12.25,,51.061,,,,,,,
131.216,12.25,,49.927,,,,,,,
131.369,12.25,,49.987,,,,,,,
131.521,12.25,,47.465,,,,,,,
131.674,12.25,,46.561,,,,,,,
131.826,12.25,,48.542,,,,,,,
131.978,12.25,,49.469,,,,,,,
132.131,12.25,,49.288,,,,,,,
132.283,12.25,,47.338,,,,,,,
132.436,12.25,,47.719,,,,,,,
132.588,12.25,,49.764,,,,,,,
132.74,12.25,,53.733,,,,,,,
132.893,12.25,,60.028,,,,,,,
133.045,12.25,,64.305,,,,,,,
133.198,12.25,,64.196,,,,,,,
133.35,12.25,,59.651,,,,,,,
133.502,12.25,,54.69,,,,,,,
133.655,12.25,,54.867,,,,,,,
