DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
767.7912,8.29407,8.5,94.69732,-87.64063,0.04794,0.0892,8.58109,15.06332,18.62638,20.59933,23.0527,31.0618,110.35446,0.00189,2.79841,2.26071,0.37322,1.10671,1706.43746
767.9436,8.40144,8.5,111.3284,-87.34167,-0.00655,0.04711,8.89339,15.43239,18.99902,20.97283,23.50302,31.61855,111.46816,0.00167,2.65956,2.2662,0.35445,1.1757,1722.6001
768.096,8.47815,8.5,113.0914,-87.93333,-0.02113,0.05331,8.58791,14.49979,17.48824,19.13964,21.47094,28.65133,111.72517,0.00138,2.65023,2.24775,0.33997,1.04832,1765.40013
768.2484,8.49348,8.5,112.0535,-88.27084,0.03245,0.08072,9.20612,16.11202,19.42075,21.24057,23.84324,31.87143,113.37966,0.00431,2.77818,2.25823,0.35096,1.23632,1727.80016
768.4008,8.34009,8.5,112.4325,-88.3125,0.07584,0.09792,9.08274,14.91753,17.69554,19.18744,21.54169,28.58598,112.05655,0.00719,2.75522,2.28322,0.37345,1.22498,1784.73347
768.5532,8.28256,8.5,106.601,-89.27232,0.03636,0.10331,9.01666,14.99317,17.82646,19.25602,21.67408,28.75017,112.34382,0.00646,2.74214,2.28079,0.39755,1.15575,1686.50006
768.7056,8.27106,8.5,106.5499,-90.08984,0.00392,0.05951,8.4314,13.99485,16.4808,17.76391,20.01955,26.48751,112.82273,0.00279,2.91152,2.2685,0.40129,1.17574,1738.20004
768.858,8.26339,8.5,122.8211,-90.3875,-0.00354,0.03369,8.20951,13.33841,15.5786,16.75438,18.89954,24.91178,114.43926,-0.00044,2.93091,2.26951,0.38614,1.11438,1772.13338
769.0104,8.25572,8.5,117.9251,-90.475,-0.01749,0.03658,8.39442,13.52765,15.86213,17.09166,19.23893,25.3843,114.63098,-0.00194,2.77547,2.2761,0.37987,1.12788,1734.8668
769.1628,8.29407,8.5,114.9921,-90.85,0.0017,0.0733,8.42289,13.44047,15.71729,16.89734,18.96774,25.0045,112.70038,-0.00218,2.8245,2.25909,0.37247,1.04293,1691.86669
769.3152,8.30174,8.5,117.8088,-91.10416,0.04749,0.09969,8.6,14.1498,16.6058,17.96212,20.10018,26.63615,112.05878,-0.00082,2.78213,2.24324,0.39096,1.05024,1787.86663
769.4676,8.36309,8.5,111.8455,-91.35938,-0.03392,0.10324,8.55498,14.13885,16.65273,18.02265,20.11979,26.71993,111.49252,0.00136,2.68766,2.2431,0.39857,1.20326,1767.33326
769.62,8.38611,8.5,115.8484,-91.76667,0.0115,0.05878,8.77344,14.18849,16.79375,18.15661,20.21945,26.87766,110.58754,0.00391,2.66655,2.26981,0.39705,1.28791,1835.43755
769.7724,8.44363,8.5,105.234,-92.29166,0.03026,0.0704,9.35331,14.96978,17.87468,19.40533,21.58288,28.79091,109.81606,0.00511,2.80696,2.2911,0.39736,1.35603,1754.4
