DEPT,UZ,RLA3,AZIM,CVEL:1,TNPH_LIM:1,RT,DPHI_LIM:1,NPOR:1,CVEL:2,DCAL,NPHI_SAN,NPOR:2,INCL,RHOZ,BS,TNPH_SAN:1,DT,DPHI_SAN:1,RLA2,NPOR_DOL:1,SMIN,DPHI_DOL:1,ITT,TNPH_DOL:1,GR:1,TENS:1,DPHI_DOL:2,RLA5,CALI,RLA4,TNPH:1,TNPH_DOL:2,NPHI_LIM,NPOR_SAN:1,RLA0,GR:2,RO,NPOR_DOL:2,CS:1,GR:3,NPOR_LIM:1,RSOZ,RHGX,MRES,PEFZ,VCL,SPHI,GR:4,NPHI_DOL,DPHI_SAN:2,DPHI_LIM:2,GDEV_EDTC,DSOZ,TNPH_LIM:2,TENS:2,SMNO,NPOR_SAN:2,CS:2,TNPH:2,NPHI,TNPH_SAN:2,DPHZ,HTEN,SVEL,RLA1,RXOZ,RXO,NPOR_LIM:2
1582.2168,8.19307,4.17981,317.37,-522.3312,0.29247,4.47118,0.17101,0.27347,-521.3757,-0.04552,0.36512,0.27208,33.6,2.4298,8.5,0.34066,95.66276,0.14087,4.08797,0.23883,0.51468,0.23375,0.03528,0.25639,103.9071,3896.66736,0.22713,4.31487,8.45448,4.24058,0.29182,0.25584,0.31761,0.32224,0.09959,116.8314,12.999,0.2376,522.3312,125.1016,0.27208,0.15924,2.88349,0.1031,3.34971,0.74486,0.25913,128.5773,0.26883,0.13345,0.16386,33.66935,0.1658,0.29182,3911.13382,0.65665,0.32088,521.3757,0.29247,0.31761,0.34127,0.16386,1347.09408,3186.192,3.96036,2.38703,2.92648,0.27347
1582.3692,8.12139,4.18336,317.37,-524.9528,0.31536,4.48568,0.16144,0.30904,-526.4709,-0.02199,0.35452,0.31483,33.6,2.42765,8.5,0.36188,95.45931,0.13095,4.09214,0.26992,0.53629,0.2249,0.03523,0.27579,115.6433,3993.66568,0.2283,4.32762,8.47801,4.25083,0.31464,0.27518,0.30875,0.35627,0.0981,110.1688,11.94626,0.27535,524.9528,122.617,0.31483,0.15459,2.90692,0.10275,3.32313,0.69361,0.25835,132.2166,0.25569,0.13476,0.16512,33.72428,0.15724,0.31464,3969.24918,0.68129,0.36207,526.4709,0.31536,0.30875,0.36255,0.16512,1349.58901,3192.984,3.96468,2.40141,2.92668,0.30904
1582.5216,8.0547,4.1899,317.37,-526.0922,0.30795,4.50297,0.1624,0.33288,-526.7491,-0.01022,0.3625,0.32135,33.6,2.43097,8.5,0.35579,95.88938,0.13194,4.08996,0.29276,0.53326,0.22578,0.03518,0.26952,110.9076,4018.00125,0.2265,4.33464,8.48978,4.25039,0.30805,0.26961,0.31542,0.38042,0.09696,117.9826,12.32435,0.28198,526.0922,119.0323,0.32135,0.15695,2.90145,0.10178,3.29166,0.75371,0.26,106.9837,0.26558,0.13275,0.16318,33.76007,0.16442,0.30805,3998.68791,0.68099,0.369,526.7491,0.30795,0.31542,0.3557,0.16318,1376.76796,3178.663,3.96192,2.43994,2.89724,0.33288
1582.674,7.97648,4.2156,317.37,-524.6107,0.30149,4.538,0.15865,0.2998,-521.821,-0.03375,0.36604,0.29601,33.6,2.43401,8.5,0.34978,95.97826,0.12806,4.11387,0.26248,0.50071,0.22232,0.03514,0.26405,127.2127,4075.99971,0.22486,4.36568,8.46625,4.27288,0.30159,0.26413,0.31838,0.34801,0.09774,117.1814,12.67876,0.25896,524.6107,115.4464,0.29601,0.16704,2.89667,0.10104,3.25592,0.74755,0.26033,118.1325,0.26997,0.1309,0.1614,33.70555,0.18071,0.30159,4056.37389,0.64473,0.34422,521.821,0.30149,0.31838,0.34969,0.1614,1415.48995,3175.72,3.98193,2.41467,2.9082,0.2998
1582.8264,7.91169,4.21851,317.37,-522.8246,0.30156,4.52016,0.15941,0.29981,-520.6921,-0.09258,0.38201,0.31767,33.6,2.43462,8.5,0.35002,95.73195,0.12885,4.11728,0.26248,0.48203,0.22302,0.03509,0.26411,113.2513,4026.33267,0.22453,4.36939,8.40743,4.28118,0.30185,0.26435,0.33175,0.34801,0.09915,117.9131,12.69008,0.27907,522.8246,122.3926,0.31767,0.17935,2.89721,0.09934,3.22871,0.75318,0.2594,120.9135,0.28978,0.13053,0.16104,33.71935,0.19919,0.30185,4008.13438,0.6194,0.36576,520.6921,0.30156,0.33175,0.34976,0.16104,1448.68479,3183.89,4.00479,2.26081,2.95301,0.29981
1582.9788,7.89908,4.24104,317.37,-522.9879,0.3229,4.54204,0.16008,0.31771,-520.8824,-0.17493,0.37426,0.34681,33.6,2.42967,8.5,0.36977,95.87819,0.12954,4.14022,0.27733,0.44756,0.22364,0.03504,0.28215,113.1946,3926.00044,0.2272,4.38177,8.32507,4.29125,0.32321,0.28241,0.32526,0.36435,0.0982,111.0415,11.70751,0.30443,522.9879,126.6792,0.34681,0.18818,2.9162,0.0983,3.22966,0.70032,0.25995,127.8625,0.28017,0.13353,0.16393,33.69144,0.21204,0.32321,3911.50026,0.57482,0.39306,520.8824,0.3229,0.32526,0.36949,0.16393,1399.05979,3179.034,4.01264,2.10743,2.95264,0.31771
1583.1312,7.95415,4.22292,317.37,-524.6331,0.3218,4.54625,0.16639,0.30742,-523.7353,-0.25728,0.36191,0.32432,33.6,2.42663,8.5,0.36876,96.0943,0.13608,4.11913,0.26788,0.43328,0.22948,0.03499,0.28122,106.6985,3826.66636,0.22885,4.36685,8.24272,4.2676,0.32211,0.28148,0.31493,0.35422,0.09747,111.3779,11.67796,0.28354,524.6331,124.6822,0.32432,0.19446,2.91291,0.0972,3.25597,0.70291,0.26077,130.6944,0.26486,0.13538,0.16571,33.66842,0.22128,0.32211,3826.201,0.55658,0.37095,523.7353,0.3218,0.31493,0.36848,0.16571,1319.81599,3171.885,3.979,1.98486,2.89371,0.30742
1583.2836,8.03635,4.13401,317.37,-530.4126,0.31712,4.45467,0.16203,0.3191,-532.5266,-0.24551,0.35756,0.3056,33.6,2.42725,8.5,0.36412,96.22182,0.13155,4.03303,0.27911,0.43904,0.22544,0.03494,0.27727,114.6046,3819.00037,0.22851,4.26977,8.25448,4.16935,0.31706,0.27722,0.31129,0.36613,0.09755,112.1842,11.86775,0.26659,530.4126,121.8517,0.3056,0.19021,2.90848,0.09609,3.28884,0.70911,0.26126,115.9871,0.25945,0.135,0.16535,33.67356,0.22507,0.31706,3813.24976,0.56078,0.35274,532.5266,0.31712,0.31129,0.36417,0.16535,1295.26438,3167.68,3.88257,1.90459,2.81958,0.3191
1583.436,8.11201,4.18693,317.37,-532.4388,0.31399,4.49487,0.16206,0.32188,-535.3927,-0.25728,0.36173,0.32185,33.6,2.43826,8.5,0.36123,96.2716,0.13159,4.08899,0.28197,0.45792,0.22547,0.0349,0.27462,114.4893,3813.4993,0.22256,4.32655,8.24272,4.22311,0.31393,0.27458,0.31478,0.36911,0.09608,113.5959,12.24973,0.28194,532.4388,118.7278,0.32185,0.17602,2.9131,0.09568,3.30588,0.71997,0.26145,118.7506,0.26463,0.12833,0.15891,33.70139,0.22688,0.31393,3826.99907,0.57541,0.36908,535.3927,0.31399,0.31478,0.36128,0.15891,1283.91962,3166.042,3.94704,1.9159,2.89551,0.32188
1583.5884,8.0991,4.13459,317.37,-527.5947,0.31109,4.41425,0.16449,0.30774,-525.4735,-0.22199,0.38077,0.30915,33.6,2.43776,8.5,0.3586,96.31095,0.13411,4.05507,0.26907,0.50324,0.22772,0.03485,0.27217,111.2713,3826.66636,0.22283,4.26788,8.27802,4.17194,0.31109,0.27217,0.33071,0.35527,0.09488,111.7957,12.35538,0.27037,527.5947,120.3695,0.30915,0.1638,2.9097,0.09486,3.30125,0.70612,0.26159,121.6829,0.28823,0.12863,0.1592,33.719,0.20985,0.31109,3840.60001,0.62954,0.35667,525.4735,0.31109,0.33071,0.3586,0.1592,1280.3555,3164.749,3.91479,2.00667,2.91655,0.30774
