TVD,GR,T-TEMP
53.7972,59.2677,22.2024
53.9496,60.7296,22.2073
54.102,61.603,22.2027
54.2544,60.4976,22.1982
54.4068,60.1237,22.2295
54.5592,60.2865,22.3877
54.7116,59.7289,22.4133
54.864,59.0996,22.4116
55.0164,59.3317,22.4171
55.1688,58.8413,22.4225
55.3212,58.5441,22.4308
55.4736,58.1963,22.4398
55.626,58.3396,22.4487
55.7784,58.6258,22.454
55.9308,57.6585,22.454
56.0832,58.9129,22.454
56.2356,58.3013,22.454
56.388,57.0884,22.454
56.5404,58.0548,22.454
56.6928,58.2986,22.454
56.8452,58.082,22.456
56.9976,58.6024,22.465
57.15,57.3582,22.474
57.3024,56.7823,22.4829
57.4548,56.0431,22.4992
57.6072,56.6003,22.517
57.7596,57.0777,22.5348
57.912,56.2442,22.5439
58.0644,55.7784,22.5396
58.2168,55.1441,22.5354
58.3692,54.729,22.5311
58.5216,55.3644,22.542
58.674,55.3864,22.5562
58.8264,53.9729,22.5704
58.9788,53.9239,22.5815
59.1312,52.776,22.5905
59.2836,54.2304,22.5996
59.436,53.4505,22.6086
59.5884,54.4188,22.6176
59.7408,55.4334,22.6266
59.8932,54.9344,22.6355
60.0456,55.9676,22.6445
60.198,56.1574,22.6534
60.3504,56.0134,22.6624
60.5028,54.6348,22.6705
60.6552,53.8601,22.6775
60.8076,54.6178,22.6844
60.96,55.0442,22.6914
61.1124,55.9401,22.6983
61.2648,56.1514,22.7023
61.4172,56.8979,22.7063
61.5696,56.1212,22.7103
61.722,55.1454,22.7161
61.8744,55.0809,22.7281
62.0268,54.3192,22.7402
62.1792,54.6791,22.7522
62.3316,54.2333,22.7607
62.484,55.1667,22.7641
62.6364,55.7502,22.7676
62.7888,55.3843,22.7711
62.9412,55.3237,22.7746
63.0936,57.0908,22.7819
63.246,58.28,22.7892
63.3984,59.4581,22.7964
63.5508,60.7558,22.8037
63.7032,60.0185,22.8154
63.8556,59.7299,22.8281
64.008,58.9887,22.8859
64.1604,57.8131,23.0034
64.3128,56.2046,23.0034
64.4652,54.5717,23.0034
64.6176,52.979,23.0034
64.77,52.0581,23.0034
64.9224,51.1472,23.0034
65.0748,51.4612,23.0034
65.2272,51.8052,23.0037
65.3796,51.966,23.0179
65.532,51.7243,23.0321
65.6844,51.7085,23.0464
65.8368,50.4385,23.0491
65.9892,51.5461,23.0491
66.1416,52.0679,23.0491
66.294,51.1804,23.0491
66.4464,49.0718,23.0491
66.5988,46.8681,23.0491
66.7512,47.1141,23.0491
66.9036,47.1946,23.0491
67.056,50.3505,23.0493
67.2084,49.172,23.0573
67.3608,47.4349,23.0654
67.5132,45.7702,23.0734
67.6656,43.4371,23.0797
67.818,43.2385,23.0797
67.9704,43.3825,23.0797
68.1228,43.6467,23.0797
68.2752,44.731,23.0805
68.4276,45.6776,23.0845
68.58,46.603,23.0885
68.7324,47.207,23.0926
