wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-A10,Clean,292.456,8.5,8.34,2.242,0.036,134.196,106.159,0.407,2.925,25.692,21.782,11.386,-114.188,292.446
Cheal-A10,Clean,292.608,8.5,8.168,2.227,0.029,133.456,104.131,0.377,2.855,27.422,23.184,11.534,-114.025,292.598
Cheal-A10,Clean,292.76,8.5,8.444,2.198,0.015,133.602,110.935,0.379,2.833,28.626,24.017,11.962,-114.254,292.75
Cheal-A10,Clean,292.913,8.5,8.486,2.232,0.002,133.689,110.701,0.382,2.773,31.071,25.943,12.544,-114.496,292.903
Cheal-A10,Clean,293.065,8.5,8.455,2.208,-0.003,133.813,112.845,0.397,2.838,26.63,22.408,11.423,-114.625,293.055
Cheal-A10,Clean,293.218,8.5,8.478,2.181,-0.001,133.812,107.801,0.395,2.875,24.693,20.854,11.18,-114.817,293.208
Cheal-A10,Clean,293.37,8.5,8.225,2.207,0.003,133.467,112.493,0.398,2.809,25.201,21.232,11.291,-115.125,293.36
Cheal-A10,Clean,293.522,8.5,8.194,2.212,0.006,128.572,115.074,0.39,2.748,24.298,20.503,10.99,-115.411,293.512
Cheal-A10,Clean,293.675,8.5,8.21,2.23,0.007,127.067,114.956,0.398,2.763,27.686,23.312,11.741,-115.52,293.665
Cheal-A10,Clean,293.827,8.5,8.194,2.227,0.004,126.025,109.678,0.393,2.93,30.342,25.408,12.269,-115.688,293.817
Cheal-A10,Clean,293.98,8.5,8.168,2.239,0.003,127.74,107.801,0.418,2.898,24.85,20.993,10.996,-115.633,293.97
Cheal-A10,Clean,294.132,8.5,7.949,2.214,0.003,133.089,107.215,0.418,2.792,22.974,19.52,10.393,-115.512,294.122
Cheal-A10,Clean,294.284,8.5,7.926,2.21,0.005,134.866,111.085,0.43,2.865,25.108,21.29,11.032,-115.346,294.274
Cheal-A10,Clean,294.437,8.5,8.087,2.221,0.005,135.256,114.37,0.39,2.939,28.083,23.674,11.879,-115.4,294.427
Cheal-A10,Clean,294.589,8.5,8.639,2.22,0.005,133.95,111.108,0.382,2.805,27.181,22.903,11.647,-115.608,294.579
Cheal-A10,Clean,294.742,8.5,8.674,2.229,0.006,134.356,110.404,0.402,2.851,23.793,20.193,11.009,-115.625,294.732
Cheal-A10,Clean,294.894,8.5,8.685,2.232,0.004,134.206,112.046,0.411,2.862,24.836,21.042,11.747,-115.554,294.884
