wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-G3,Clean,1814,8.5,8.445,2.482,0.052,89.85,117.643,0.305,3.389,4.693,4.8,5.06,-149.689,1741.4
Cheal-G3,Clean,1814.1,8.5,8.448,2.47,0.048,90.364,118.39,0.313,3.386,4.549,4.657,4.92,-149.68,1741.5
Cheal-G3,Clean,1814.2,8.5,8.457,2.459,0.045,90.785,120.229,0.318,3.388,4.607,4.722,5.003,-149.664,1741.6
Cheal-G3,Clean,1814.3,8.5,8.472,2.454,0.045,91.172,121.369,0.32,3.377,4.779,4.899,5.19,-149.613,1741.7
Cheal-G3,Clean,1814.4,8.5,8.493,2.45,0.045,91.491,121.629,0.32,3.374,5.082,5.21,5.519,-149.658,1741.8
Cheal-G3,Clean,1814.5,8.5,8.512,2.452,0.048,91.698,118.086,0.32,3.361,4.984,5.102,5.39,-149.692,1741.9
Cheal-G3,Clean,1814.6,8.5,8.523,2.457,0.051,91.624,114.125,0.315,3.357,4.833,4.94,5.2,-149.695,1742
Cheal-G3,Clean,1814.7,8.5,8.527,2.465,0.056,91.214,110.051,0.309,3.372,4.675,4.77,4.999,-149.713,1742.1
Cheal-G3,Clean,1814.8,8.5,8.532,2.468,0.057,90.459,107.827,0.302,3.415,4.873,4.967,5.195,-149.795,1742.2
Cheal-G3,Clean,1814.9,8.5,8.542,2.473,0.056,89.562,106.992,0.299,3.438,5.216,5.314,5.549,-149.884,1742.3
Cheal-G3,Clean,1815,8.5,8.554,2.476,0.051,88.704,107.726,0.299,3.446,5.518,5.623,5.873,-149.905,1742.4
Cheal-G3,Clean,1815.1,8.5,8.562,2.478,0.045,88.058,108.966,0.303,3.44,5.437,5.539,5.785,-149.917,1742.5
Cheal-G3,Clean,1815.2,8.5,8.564,2.477,0.039,87.707,109.683,0.307,3.428,5.196,5.291,5.52,-149.96,1742.6
Cheal-G3,Clean,1815.3,8.5,8.564,2.474,0.034,87.65,111.191,0.31,3.392,4.932,5.015,5.215,-149.926,1742.7
Cheal-G3,Clean,1815.4,8.5,8.563,2.467,0.029,87.848,111.003,0.309,3.349,4.849,4.925,5.107,-149.887,1742.8
Cheal-G3,Clean,1815.5,8.5,8.561,2.457,0.026,88.22,110.704,0.305,3.286,4.982,5.058,5.239,-149.838,1742.9
Cheal-G3,Clean,1815.6,8.5,8.56,2.448,0.024,88.771,109.547,0.3,3.23,5.362,5.445,5.643,-149.823,1743
Cheal-G3,Clean,1815.7,8.5,8.559,2.44,0.023,89.423,110.146,0.297,3.184,5.301,5.385,5.586,-149.786,1743.1
Cheal-G3,Clean,1815.8,8.5,8.562,2.439,0.027,90.086,111.453,0.295,3.167,5.111,5.198,5.405,-149.829,1743.2
Cheal-G3,Clean,1815.9,8.5,8.57,2.439,0.031,90.621,113.959,0.292,3.17,4.843,4.926,5.123,-149.838,1743.3
Cheal-G3,Clean,1816,8.5,8.58,2.445,0.037,90.975,116.335,0.29,3.199,4.653,4.725,4.897,-149.88,1743.4
Cheal-G3,Clean,1816.1,8.5,8.589,2.448,0.041,91.15,118.095,0.292,3.23,4.824,4.883,5.026,-149.932,1743.5
Cheal-G3,Clean,1816.2,8.5,8.594,2.452,0.042,91.188,118.249,0.294,3.258,5.175,5.227,5.351,-150.005,1743.6
Cheal-G3,Clean,1816.3,8.5,8.6,2.455,0.042,91.163,117.595,0.298,3.268,5.206,5.25,5.354,-149.999,1743.7
Cheal-G3,Clean,1816.4,8.5,8.604,2.455,0.039,91.115,117.403,0.3,3.288,4.866,4.905,4.998,-150.036,1743.8
Cheal-G3,Clean,1816.5,8.5,8.6,2.454,0.036,91.064,118.55,0.303,3.306,4.755,4.796,4.893,-150.097,1743.9
Cheal-G3,Clean,1816.6,8.5,8.587,2.452,0.032,90.959,119.768,0.303,3.334,4.79,4.84,4.956,-150.136,1744
Cheal-G3,Clean,1816.7,8.5,8.563,2.453,0.029,90.763,120.566,0.305,3.35,4.847,4.898,5.019,-150.164,1744.1
Cheal-G3,Clean,1816.8,8.5,8.532,2.452,0.026,90.396,118.28,0.307,3.365,4.89,4.936,5.046,-150.228,1744.2
Cheal-G3,Clean,1816.9,8.5,8.505,2.458,0.025,89.846,114.528,0.313,3.374,4.955,4.996,5.093,-150.243,1744.3
Cheal-G3,Clean,1817,8.5,8.492,2.463,0.023,89.132,110.346,0.317,3.384,5.229,5.274,5.381,-150.252,1744.4
Cheal-G3,Clean,1817.1,8.5,8.493,2.47,0.023,88.311,106.801,0.319,3.4,5.264,5.314,5.432,-150.261,1744.5
Cheal-G3,Clean,1817.2,8.5,8.5,2.473,0.022,87.508,103.79,0.316,3.413,5.537,5.598,5.742,-150.224,1744.6
Cheal-G3,Clean,1817.3,8.5,8.508,2.477,0.021,86.889,102.196,0.311,3.447,5.897,5.973,6.153,-150.176,1744.7
Cheal-G3,Clean,1817.4,8.5,8.514,2.479,0.022,86.629,102.547,0.304,3.458,6.079,6.166,6.374,-150.17,1744.8
