DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
1658.6,47.385372,2397.460938,123.705317,0.295941,7.903884,0.053989,2.453314,3.29508,87.475066,-152.32111,2.050737,5.166049,5.142652,5.127115,5.10776,5.073109,5.050141,4.934063,8.5
1658.7,47.395869,2397.460938,121.594445,0.298175,7.91639,0.051637,2.448363,3.25316,87.793006,-152.271449,2.070332,5.089731,5.060244,5.040681,5.016334,4.972806,4.943997,4.798379,8.5
1658.8,47.412651,2397.460938,120.245977,0.299946,7.9376,0.050165,2.447802,3.22163,88.077029,-152.219533,2.087032,5.239463,5.209288,5.189267,5.164349,5.119799,5.090313,4.941214,8.5
1658.9,47.407623,2392.91227,119.844438,0.301157,7.965173,0.048675,2.447668,3.218362,88.305229,-152.181546,2.117494,5.339699,5.314417,5.297629,5.276719,5.239289,5.214484,5.089049,8.5
1659.0,47.371283,2392.578125,120.886857,0.301494,7.992775,0.049047,2.450853,3.21822,88.468091,-152.170459,2.157219,5.311449,5.294629,5.283445,5.2695,5.244491,5.227886,5.143928,8.5
1659.1,47.405892,2387.951091,122.252496,0.300737,8.03052,0.050164,2.452742,3.209831,88.551798,-152.216061,2.194211,5.232645,5.224494,5.219068,5.212294,5.200123,5.192027,5.151094,8.5
1659.2,47.404939,2397.027747,123.573882,0.298117,8.084292,0.052668,2.454987,3.18633,88.567588,-152.302998,2.218263,5.233394,5.23093,5.229289,5.227238,5.223549,5.221091,5.208675,8.5
1659.3,47.399345,2392.755537,123.698802,0.294586,8.138814,0.055265,2.455211,3.160112,88.53323,-152.436005,2.227427,5.217254,5.218508,5.219345,5.220391,5.222274,5.22353,5.229874,8.5
1659.4,47.430098,2387.833541,122.686117,0.29073,8.173436,0.057945,2.454696,3.13993,88.48002,-152.508898,2.210062,5.095835,5.097462,5.098548,5.099904,5.102347,5.103977,5.112205,8.5
1659.5,47.439117,2382.911545,120.318945,0.288799,8.176335,0.060698,2.454992,3.132074,88.405847,-152.636154,2.171974,5.037141,5.036779,5.036537,5.036236,5.035692,5.03533,5.0335,8.5
1659.6,47.468491,2387.63545,119.18282,0.289214,8.166988,0.063424,2.457101,3.137125,88.341117,-152.76205,2.135171,4.997953,4.991717,4.987565,4.98238,4.973059,4.966855,4.935503,8.5
1659.7,47.448462,2387.695313,119.987837,0.293108,8.186389,0.065861,2.460439,3.156136,88.279282,-152.833291,2.135815,5.020025,5.005843,4.996411,4.984647,4.96354,4.949518,4.878614,8.5
1659.8,47.422831,2377.948192,122.946894,0.297834,8.21469,0.067499,2.462921,3.184365,88.226237,-152.861354,2.182598,5.084076,5.06051,5.04486,5.025365,4.990465,4.967333,4.850318,8.5
1659.9,47.523414,2382.927876,125.263872,0.303136,8.249391,0.067457,2.461433,3.20893,88.143747,-152.952455,2.272722,5.09857,5.066839,5.045794,5.019611,4.972824,4.941875,4.785298,8.5
1660.0,47.504254,2392.578125,127.957003,0.305542,8.285425,0.066866,2.458053,3.224554,88.053579,-152.959116,2.402113,5.149035,5.112358,5.088052,5.057832,5.003888,4.968245,4.787866,8.5
1660.1,47.461906,2392.850234,128.407168,0.305445,8.319899,0.067145,2.455182,3.234774,87.940153,-152.838416,2.558987,5.217881,5.179866,5.154677,5.123362,5.067475,5.030556,4.84377,8.5
1660.2,47.534149,2402.168512,127.390312,0.301098,8.350894,0.069366,2.455214,3.239521,87.821458,-152.684628,2.716541,5.381727,5.347171,5.324257,5.295753,5.244831,5.211156,5.040823,8.5
1660.3,47.519603,2397.675358,124.729689,0.295919,8.352577,0.072223,2.456034,3.242802,87.674573,-152.606435,2.850204,5.298059,5.273637,5.257419,5.237218,5.201053,5.177083,5.055888,8.5
1660.4,47.522369,2402.090146,122.856026,0.290626,8.352674,0.074887,2.457436,3.244943,87.518898,-152.567586,2.94333,5.254588,5.24302,5.235324,5.225719,5.208479,5.197018,5.139082,8.5
1660.5,47.56394,2396.875363,121.337124,0.288107,8.352589,0.07618,2.457485,3.248013,87.339354,-152.607133,2.999895,5.162463,5.162485,5.162501,5.16252,5.162556,5.162582,5.162707,8.5
1660.6,47.558464,2387.031371,120.986603,0.287935,8.351786,0.076293,2.457211,3.256128,87.166701,-152.69663,3.008542,5.224251,5.232475,5.237964,5.244834,5.257224,5.2655,5.307276,8.5
1660.7,47.519211,2377.929688,120.251689,0.290276,8.350741,0.074595,2.454961,3.262615,87.013444,-152.874227,2.971842,5.255866,5.268125,5.276312,5.286566,5.305071,5.317444,5.379882,8.5
1660.8,47.58951,2377.51935,119.492121,0.292877,8.34854,0.071872,2.451384,3.262203,86.927859,-153.003374,2.90486,5.354419,5.365906,5.373577,5.383183,5.400515,5.412101,5.470522,8.5
1660.9,47.583952,2373.945916,117.965884,0.294594,8.339274,0.070065,2.448153,3.254978,86.901675,-153.069784,2.832647,5.613047,5.623056,5.629739,5.638103,5.65319,5.663271,5.714081,8.5
