DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1706.4,49.557211,2870.53329,103.284935,0.268559,8.528222,0.046224,2.47157,3.312154,82.233887,-133.780587,5.007492,6.669619,6.677941,6.683495,6.690443,6.70297,6.711335,6.753551,0.129761,0.04208,8.5
1706.5,49.558108,2866.210938,104.179812,0.273523,8.502986,0.045105,2.469104,3.342317,83.058595,-133.8575,4.944114,6.557244,6.568764,6.576456,6.586083,6.603448,6.615051,6.67366,0.128621,0.040939,8.5
1706.6,49.555356,2866.772109,106.153344,0.280042,8.453199,0.046759,2.467927,3.371173,83.889337,-133.957426,4.928986,6.364542,6.370187,6.373953,6.378663,6.387153,6.39282,6.42141,0.127052,0.039371,8.5
1706.7,49.553921,2871.655277,108.469162,0.287388,8.39928,0.051503,2.469106,3.36458,84.550977,-134.004035,4.882897,5.810638,5.809742,5.809147,5.808404,5.807069,5.806181,5.801699,0.12582,0.038138,8.5
1706.8,49.570867,2878.224096,110.773028,0.292936,8.3713,0.057096,2.468478,3.342975,84.966786,-134.03448,4.792851,5.485398,5.474945,5.467988,5.459305,5.443712,5.433344,5.380957,0.125461,0.037779,8.5
1706.9,49.556286,2892.696616,113.215198,0.297367,8.37536,0.062669,2.465561,3.301851,85.121056,-134.065636,4.686312,5.630482,5.61088,5.59785,5.581608,5.552494,5.533171,5.435434,0.125665,0.037983,8.5
1707.0,49.574755,2867.718179,114.464798,0.300845,8.384884,0.067002,2.459191,3.259359,85.065442,-134.093387,4.609837,6.046316,6.014679,5.99368,5.967536,5.920765,5.889789,5.733102,0.125833,0.038152,8.5
1707.1,49.552883,2837.293266,113.647459,0.304645,8.386605,0.070089,2.45119,3.213339,84.904445,-134.059084,4.564687,6.114286,6.074338,6.047851,6.014905,5.956055,5.917141,5.720216,0.12583,0.038149,8.5
1707.2,49.55448,2802.734375,112.128178,0.307455,8.38468,0.07158,2.441462,3.181583,84.723121,-134.065186,4.563979,5.9825,5.938846,5.909921,5.873962,5.809788,5.767394,5.55276,0.125881,0.0382,8.5
1707.3,49.569528,2804.425364,110.684111,0.309087,8.390009,0.073536,2.436353,3.160158,84.594298,-134.064597,4.587675,5.842267,5.797548,5.767926,5.731112,5.665436,5.622071,5.402483,0.126057,0.038375,8.5
1707.4,49.564141,2820.202907,110.990735,0.310214,8.39635,0.073917,2.431872,3.138852,84.521861,-134.010373,4.623488,5.788183,5.744063,5.714837,5.678513,5.613711,5.57092,5.354153,0.126118,0.038436,8.5
1707.5,49.574563,2845.183124,111.043838,0.31213,8.394104,0.073746,2.430235,3.126003,84.504975,-133.944332,4.675966,5.802833,5.758907,5.729808,5.693641,5.629115,5.586505,5.370771,0.125922,0.038241,8.5
