DEPT,GR,ROP
120.2436,64.4612,42.4185
120.396,63.8873,39.4347
120.5484,64.5884,39.0112
120.7008,63.6756,42.8984
120.8532,62.1895,43.2729
121.0056,63.7338,40.4348
121.158,64.7822,39.246
121.3104,65.0439,31.5742
121.4628,66.2227,25.9208
121.6152,65.5641,31.003
121.7676,64.7083,32.9665
121.92,66.0424,37.5765
122.0724,65.8662,42.6618
122.2248,65.0117,41.7779
122.3772,65.9649,40.0988
122.5296,66.5109,40.8955
122.682,67.9563,40.0159
122.8344,68.562,36.8547
122.9868,65.7763,34.5382
123.1392,63.1981,33.6412
123.2916,61.3862,42.2888
123.444,62.155,44.614
123.5964,63.9331,45.7657
123.7488,66.211,42.1538
123.9012,66.5991,29.7234
124.0536,66.3498,21.3055
124.206,64.9423,19.3844
124.3584,66.0131,15.4196
124.5108,66.3129,11.4549
124.6632,66.2246,11.5606
124.8156,66.1862,11.7621
124.968,65.2162,13.0353
125.1204,64.71,13.8684
125.2728,64.9242,14.9322
125.4252,65.0898,15.1425
125.5776,65.9933,19.6814
125.73,65.6437,20.2561
125.8824,67.7291,22.783
126.0348,71.1776,27.817
126.1872,71.7516,23.4953
126.3396,71.7276,25.1123
126.492,69.4495,25.4973
126.6444,66.3688,28.5293
126.7968,61.9915,31.7698
126.9492,59.4638,32.9082
127.1016,58.6248,30.4543
127.254,58.115,28.3647
127.4064,56.5204,24.6248
127.5588,57.5362,24.0762
127.7112,57.0563,20.8098
127.8636,56.291,17.3431
128.016,58.4243,20.6587
128.1684,60.3022,23.4279
128.3208,61.0067,32.2158
128.4732,61.0537,41.1741
128.6256,60.3662,44.0392
128.778,59.3498,41.7924
128.9304,59.4866,35.8262
129.0828,59.9122,27.1943
129.2352,63.2049,21.3585
129.3876,64.8444,21.2333
129.54,64.973,23.875
129.6924,66.4602,26.1976
129.8448,64.4869,27.3863
129.9972,64.1265,26.3987
130.1496,64.7044,23.9527
130.302,63.5546,22.1742
130.4544,61.1703,22.8985
130.6068,61.1155,25.5575
130.7592,62.099,27.1851
130.9116,62.7337,29.8917
131.064,63.6768,32.6746
131.2164,63.4706,35.1391
131.3688,62.0241,37.6297
131.5212,60.2839,37.9345
131.6736,60.9995,35.2
131.826,60.973,31.5337
131.9784,60.6574,28.6512
132.1308,61.9878,26.9879
132.2832,61.3284,27.9197
132.4356,60.961,28.1113
132.588,62.6009,28.7945
132.7404,62.7497,29.1785
132.8928,62.57,28.0538
133.0452,61.5797,26.673
133.1976,61.6831,25.2273
133.35,61.6225,23.3383
133.5024,62.6947,21.4314
133.6548,62.6999,20.2143
133.8072,62.3159,18.9971
133.9596,62.4784,17.78
134.112,61.428,18.3533
134.2644,62.2846,19.1735
134.4168,63.8352,22.3479
134.5692,65.0365,24.6801
134.7216,66.3437,26.4262
134.874,66.4684,26.9931
135.0264,66.887,26.9199
135.1788,67.0674,23.9573
135.3312,66.2197,23.9486
135.4836,67.3091,23.2693
135.636,68.4915,22.7777
135.7884,69.8422,23.1343
135.9408,69.0899,24.3688
