DEPT,GR,ROP
149.8092,69.4263,19.9475
149.9616,68.3351,20.6096
150.114,70.4208,22.6974
150.2664,70.2,23.5732
150.4188,70.1034,23.0864
150.5712,72.5042,23.5044
150.7236,73.2958,21.8063
150.876,74.2,21.3147
151.0284,74.0,22.1376
151.1808,72.7232,21.7993
151.3332,70.8476,21.4975
151.4856,69.8068,22.2678
151.638,68.6927,21.8948
151.7904,69.7155,22.1894
151.9428,72.4981,23.3274
152.0952,74.25,27.7673
152.2476,72.872,29.1128
152.4,72.9749,32.4917
152.5524,70.2298,35.0855
152.7048,70.907,33.9608
152.8572,72.6911,33.2384
153.0096,74.6667,32.4795
153.162,75.4763,32.2565
153.3144,76.9717,30.7848
153.4668,77.9092,31.5163
153.6192,77.2184,30.271
153.7716,76.3906,29.5917
153.924,75.359,29.1737
154.0764,72.7841,27.4046
154.2288,71.3617,29.974
154.3812,71.406,29.4345
154.5336,71.907,29.6357
154.686,72.7544,30.7238
154.8384,74.0316,30.48
154.9908,73.8463,30.8153
155.1432,72.0231,32.6326
155.2956,71.7959,32.7786
155.448,71.8888,33.8617
155.6004,71.8061,34.0797
155.7528,73.4943,33.7283
155.9052,74.9483,33.7544
156.0576,73.5916,33.6591
156.21,73.2766,32.7812
156.3624,72.6896,31.8851
156.5148,71.6538,31.6286
156.6672,71.4497,31.1445
156.8196,71.6847,31.2725
156.972,71.4,29.0779
157.1244,71.2797,26.7096
157.2768,71.8535,24.4385
157.4292,72.9249,21.082
157.5816,73.25,21.2946
157.734,70.4,21.2526
157.8864,69.9034,20.2997
158.0388,67.9828,20.3863
158.1912,67.8042,20.3863
158.3436,70.9882,20.6815
158.496,73.0,21.6103
158.6484,74.0908,22.2921
158.8008,73.4746,22.1468
158.9532,73.9508,22.0462
159.1056,72.8158,22.2565
159.258,72.6,22.4577
159.4104,73.3795,22.1193
159.5628,72.5057,22.7555
159.7152,71.1293,22.4333
159.8676,71.1465,21.6669
160.02,70.4615,22.1459
160.1724,71.127,21.815
160.3248,70.5353,21.6611
160.4772,70.6544,21.59
160.6296,71.0282,21.336
160.782,70.2312,21.6713
160.9344,71.3051,21.4318
161.0868,72.4226,21.3012
161.2392,72.2732,21.6713
161.3916,72.6896,20.0953
161.544,72.701,26.7691
161.6964,72.4615,27.8378
161.8488,71.835,28.7
162.0012,73.8131,29.7557
162.1536,74.3707,24.35
162.306,74.8571,23.9862
162.4584,74.0854,24.4236
162.6108,72.6685,24.5495
162.7632,72.25,25.1155
162.9156,71.4506,24.8543
163.068,72.7542,24.2969
163.2204,71.7778,23.7396
163.3728,71.4449,22.4159
163.5252,71.7034,22.7032
163.6776,69.7148,22.2069
163.83,70.3406,22.5291
163.9824,71.3667,24.7323
164.1348,70.6433,22.7381
164.2872,71.9483,22.8077
164.4396,72.4338,22.651
164.592,72.1034,21.6164
164.7444,72.9295,21.1044
164.8968,72.9436,20.9601
165.0492,71.6364,21.3868
165.2016,71.6364,22.3114
165.354,71.5154,22.6263
165.5064,70.8748,22.8234
165.6588,71.5136,23.7378
165.8112,72.7636,22.8774
165.9636,73.7399,22.9149
166.116,73.3118,22.3937
166.2684,73.3333,22.7503
166.4208,73.7587,22.4211
166.5732,73.8251,22.7555
166.7256,72.7502,22.9297
166.878,72.0877,23.1213
167.0304,73.0,23.5434
167.1828,73.1245,23.3413
167.3352,73.3748,23.9669
167.4876,73.2906,24.1198
167.64,71.655,24.2133
167.7924,71.1187,23.8384
167.9448,72.7932,24.6431
168.0972,73.3839,25.908
168.2496,72.6913,25.2897
168.402,72.6573,24.7933
168.5544,70.3196,23.9298
168.7068,68.2953,23.4269
168.8592,68.9403,23.3629
169.0116,70.0927,24.067
169.164,70.9484,23.757
169.3164,72.2825,23.7047
169.4688,73.1256,22.9471
169.6212,72.9034,23.3081
169.7736,72.8142,21.6256
169.926,72.0444,21.4427
170.0784,71.2206,21.7627
170.2308,70.4165,22.1633
170.3832,69.5531,22.3114
170.5356,69.8344,22.54
170.688,70.2222,23.0703
170.8404,70.7464,20.3863
170.9928,72.5583,21.8782
171.1452,73.0001,23.9298
171.2976,73.4736,23.2989
171.45,73.5556,24.7345
171.6024,73.8146,25.4813
171.7548,75.1909,21.963
171.9072,75.1487,22.6249
172.0596,73.7359,22.6482
172.212,72.6176,21.1852
172.3644,71.4497,20.6146
172.5168,71.5324,19.9847
172.6692,70.3333,19.5393
172.8216,71.7988,19.8242
172.974,70.8833,19.2808
173.1264,70.7293,19.7075
173.2788,72.1936,19.1061
173.4312,71.5,19.2698
173.5836,72.0256,19.5248
173.736,71.1388,19.7895
173.8884,71.3764,19.5864
174.0408,73.0734,19.7597
174.1932,73.2679,19.5856
174.3456,74.948,18.8105
174.498,73.8621,18.4186
174.6504,72.3793,17.5276
174.8028,72.1171,17.5565
174.9552,73.772,16.748
175.1076,74.7744,16.9501
175.26,73.8927,17.4025
175.4124,73.4912,16.7287
175.5648,73.4089,17.3736
175.7172,72.9886,17.8164
175.8696,76.322,16.9817
176.022,77.0344,17.4559
176.1744,76.5429,17.8741
176.3268,76.138,17.4346
176.4792,74.9523,18.2982
176.6316,74.0039,18.4861
176.784,72.1253,18.134
176.9364,68.7162,18.4709
177.0888,67.4286,19.2938
177.2412,67.3855,19.4985
177.3936,67.2688,21.1226
177.546,69.62,23.9847
177.6984,72.6885,24.7528
177.8508,72.4301,27.624
178.0032,73.5556,28.8167
178.1556,73.5109,27.3536
178.308,74.0197,25.969
178.4604,75.2102,24.5059
178.6128,74.3941,22.2839
178.7652,74.774,21.1866
178.9176,75.1111,20.766
179.07,74.6638,20.4441
179.2224,76.1191,20.8772
179.3748,77.0226,21.166
179.5272,75.7031,20.3454
179.6796,74.8889,19.9775
179.832,73.899,20.1429
179.9844,72.5938,19.4401
180.1368,73.0972,19.8425
180.2892,71.1076,19.239
180.4416,71.8277,18.8976
180.594,74.2319,29.6554
180.7464,73.6,31.0318
180.8988,74.2696,31.8211
181.0512,73.7607,32.8799
181.2036,72.1251,23.0337
181.356,73.4433,21.7444
181.5084,73.2052,21.6347
181.6608,73.3316,22.0279
181.8132,72.9514,21.275
181.9656,72.0843,20.9267
182.118,72.9483,21.0138
182.2704,72.6059,20.0471
182.4228,72.044,19.9252
182.5752,73.0,19.2198
182.7276,72.2241,19.8991
182.88,73.7511,21.1096
183.0324,75.1207,20.83
183.1848,74.1915,21.1409
183.3372,75.738,20.702
183.4896,76.2057,20.574
183.642,75.0114,21.2964
183.7944,73.8025,20.9441
183.9468,71.7711,21.0861
184.0992,72.3371,19.9156
184.2516,71.75,19.1933
