DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,DSLL,DDLL,SPDL,MRRS,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRL,DPRS,DPRD,BIT
2347.6,51.556892,3491.210938,121.767387,0.300304,8.613434,0.032007,2.483145,3.525822,91.021751,5.331225,5.13934,91.550194,3.124451,0.131917,0.044236,0.285014,0.362447,0.272977,0.132663,0.132663,0.101124,0.206874,8.5
2347.7,51.536743,3491.210938,121.253731,0.300597,8.558681,0.033295,2.482793,3.547451,91.117302,5.318335,5.117679,91.653519,2.929406,0.13018,0.042498,0.285015,0.362706,0.273245,0.13287,0.13287,0.101338,0.207063,8.5
2347.8,51.538532,3466.796875,120.838936,0.302071,8.499959,0.036002,2.485183,3.53307,91.206276,5.305155,5.093011,91.589706,2.818188,0.128916,0.041234,0.286249,0.36404,0.274598,0.131472,0.131472,0.099889,0.205784,8.5
2347.9,51.37431,3466.796875,118.91037,0.307302,8.475684,0.038708,2.486609,3.51917,91.275192,5.291254,5.070054,91.656555,2.779211,0.129351,0.041669,0.291242,0.368815,0.279398,0.130638,0.130638,0.099025,0.205022,8.5
2348.0,51.457523,3461.914063,115.628151,0.313008,8.528557,0.041302,2.487078,3.463368,91.334457,5.276268,5.046432,91.647438,2.840077,0.131568,0.043886,0.296895,0.374029,0.284634,0.130364,0.130364,0.09874,0.204771,8.5
2348.1,51.365517,3481.445313,114.944267,0.319195,8.620736,0.043281,2.486064,3.409414,91.38517,5.26078,5.025544,91.729477,2.966522,0.134092,0.04641,0.303138,0.379687,0.29031,0.130957,0.130957,0.099355,0.205314,8.5
2348.2,51.346085,3491.210938,116.50396,0.321753,8.692323,0.045202,2.486088,3.353289,91.457512,5.244781,5.01057,91.756836,3.181234,0.135546,0.047865,0.305951,0.382034,0.292658,0.130943,0.130943,0.099341,0.205301,8.5
2348.3,51.399853,3471.679688,118.18959,0.32385,8.714417,0.045917,2.485249,3.339767,91.553749,5.228918,4.999395,91.76899,3.297391,0.1357,0.048018,0.308204,0.383941,0.294582,0.131433,0.131433,0.099849,0.205749,8.5
2348.4,51.378422,3466.796875,119.011909,0.325026,8.702176,0.045106,2.483689,3.340874,91.663887,5.21516,4.993348,91.68998,3.225497,0.135311,0.047629,0.309369,0.384984,0.295662,0.132346,0.132346,0.100795,0.206584,8.5
2348.5,51.426975,3461.914063,120.271004,0.32908,8.689456,0.043351,2.482861,3.357435,91.753471,5.204849,4.992665,91.650475,2.970942,0.134477,0.046795,0.313065,0.388593,0.299383,0.13283,0.13283,0.101296,0.207026,8.5
2348.6,51.419582,3471.679688,119.753899,0.332911,8.648453,0.041077,2.482517,3.371486,91.806625,5.197471,4.990985,91.635284,2.727759,0.132886,0.045204,0.316485,0.392004,0.302901,0.133031,0.133031,0.101505,0.20721,8.5
2348.7,51.381611,3461.914063,119.376129,0.337301,8.586578,0.037802,2.479162,3.406541,91.822525,5.190197,4.984529,91.577545,2.560122,0.131587,0.043905,0.320532,0.395929,0.306932,0.134993,0.134993,0.103538,0.209004,8.5
2348.8,51.328411,3466.796875,119.330162,0.339101,8.564059,0.035308,2.476234,3.412383,91.811691,5.180464,4.97413,91.483353,2.545489,0.132182,0.044501,0.322319,0.39755,0.308583,0.136705,0.136705,0.105313,0.21057,8.5
2348.9,51.43961,3466.796875,121.690269,0.34054,8.625282,0.032622,2.471656,3.391243,91.799385,5.170372,4.961432,91.562355,2.703733,0.134793,0.047111,0.323979,0.398842,0.309904,0.139383,0.139383,0.108088,0.213018,8.5
2349.0,51.455406,3471.679688,121.690804,0.338497,8.732888,0.031774,2.471235,3.366238,91.79528,5.162929,4.949803,91.641357,3.002642,0.137729,0.050047,0.32249,0.397027,0.308028,0.139629,0.139629,0.108343,0.213244,8.5
2349.1,51.521515,3476.5625,120.505997,0.335882,8.813367,0.032215,2.472556,3.362059,91.7967,5.159061,4.942554,91.650482,3.332948,0.139499,0.051818,0.320506,0.394695,0.305628,0.138856,0.138856,0.107542,0.212537,8.5
